binaerDigitalOpenColl_MN,binaerOpenColl_MP,occurrences,percentage
"in {NOVALUE, 'MN1', 'MN2', 'MN3', 'MN4'}",NOVALUE,558,52.84090909090909
NOVALUE,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",404,38.25757575757576
NOVALUE,'MP4',36,3.4090909090909087
NOVALUE,NOVALUE,26,2.462121212121212
'MN4',NOVALUE,8,0.7575757575757576
"in {'MN2', 'MN4'}",NOVALUE,6,0.5681818181818182
'MN2',NOVALUE,4,0.3787878787878788
"in {NOVALUE, 'MN2'}",NOVALUE,3,0.2840909090909091
"in {NOVALUE, 'MN2', 'MN4'}",NOVALUE,3,0.2840909090909091
NOVALUE,'MP2',2,0.1893939393939394
NOVALUE,"in {NOVALUE, 'MP2'}",2,0.1893939393939394
NOVALUE,"in {'MP2', 'MP4'}",2,0.1893939393939394
NOVALUE,"in {NOVALUE, 'MP2', 'MP4'}",2,0.1893939393939394
