explosionApproval,certification,occurrences,percentage
'N',"in {'NN', 'WN', 'FN'}",176,16.666666666666664
'K',"in {'NN', 'WN'}",172,16.28787878787879
"in {'A', 'E', 'P', 'J', 'S'}","in {'NN', 'WN'}",172,16.28787878787879
'A','MN',116,10.984848484848484
'F','NN',116,10.984848484848484
'N','MN',116,10.984848484848484
'F','MN',58,5.492424242424242
'N',"in {'NN', 'FN'}",40,3.787878787878788
'K','NN',40,3.787878787878788
"in {'A', 'E', 'P', 'J', 'S'}",'NN',40,3.787878787878788
'N','CN',10,0.946969696969697
