packageFixed_dev,binaerDigitalOpenColl_MN,binaerOpenColl_MP,occurrences
"in {NOVALUE, 'F731PW'}",'MN2',NOVALUE,3
"in {NOVALUE, 'F731PW'}",NOVALUE,'MP2',2
"in {NOVALUE, 'F731PW'}",NOVALUE,"in {'MP2', 'MP4'}",2
"in {NOVALUE, 'F731PW'}",NOVALUE,"in {NOVALUE, 'MP2', 'MP4'}",2
"in {NOVALUE, 'F731PW'}",NOVALUE,"in {NOVALUE, 'MP2'}",2
"in {NOVALUE, 'F731PW'}","in {'MN2', 'MN4'}",NOVALUE,3
"in {NOVALUE, 'F731PW'}","in {NOVALUE, 'MN2', 'MN4'}",NOVALUE,3
"in {NOVALUE, 'F731PW'}","in {NOVALUE, 'MN2'}",NOVALUE,3
"in {NOVALUE, 'F731TE'}",'MN4',NOVALUE,4
"in {NOVALUE, 'F731TE'}",NOVALUE,'MP4',12
"in {NOVALUE, 'F731TE'}",NOVALUE,NOVALUE,10
"in {NOVALUE, 'F731WD_DualChannel'}",NOVALUE,'MP4',8
"in {NOVALUE, 'F731WD_DualChannel'}",NOVALUE,NOVALUE,4
"in {NOVALUE, 'F731WD_SingleChannel'}",NOVALUE,'MP4',4
"in {NOVALUE, 'F731WD_SingleChannel'}",NOVALUE,NOVALUE,4
"in {NOVALUE, 'G731CA'}",'MN4',NOVALUE,4
"in {NOVALUE, 'G731CA'}",NOVALUE,'MP4',12
"in {NOVALUE, 'G731CA'}",NOVALUE,NOVALUE,8
"in {NOVALUE, 'G731ST-HT'}",NOVALUE,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",57
"in {NOVALUE, 'G731ST-HT'}","in {NOVALUE, 'MN1', 'MN2', 'MN3', 'MN4'}",NOVALUE,76
"in {NOVALUE, 'G731ST-LT'}",NOVALUE,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",57
"in {NOVALUE, 'G731ST-LT'}","in {NOVALUE, 'MN1', 'MN2', 'MN3', 'MN4'}",NOVALUE,76
"in {NOVALUE, 'G731VG'}",'MN2',NOVALUE,1
"in {NOVALUE, 'G731VG'}","in {'MN2', 'MN4'}",NOVALUE,3
"in {NOVALUE, 'x731'}",NOVALUE,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",290
"in {NOVALUE, 'x731'}","in {NOVALUE, 'MN1', 'MN2', 'MN3', 'MN4'}",NOVALUE,406
