stromEingaenge,temperaturEingaenge,occurrences,percentage
"in {NOVALUE, 'IS1', 'IS2'}","in {NOVALUE, 'TT1', 'TT2'}",114,10.795454545454545
NOVALUE,"in {NOVALUE, 'TT1', 'TT2', 'TT3', 'TT4'}",114,10.795454545454545
NOVALUE,"in {NOVALUE, 'TT1', 'TT2'}",114,10.795454545454545
"in {NOVALUE, 'IS1'}","in {NOVALUE, 'TT1', 'TT2', 'TT3'}",114,10.795454545454545
"in {NOVALUE, 'IS1', 'IS2', 'IS3'}","in {NOVALUE, 'TT1'}",114,10.795454545454545
"in {'IS1', 'IS2'}","in {'TT1', 'TT2'}",80,7.575757575757576
"in {NOVALUE, 'IS1', 'IS2', 'IS3', 'IS4'}",NOVALUE,76,7.196969696969697
'IS1',"in {'TT1', 'TT2', 'TT3'}",72,6.8181818181818175
"in {'IS1', 'IS2', 'IS3'}",'TT1',72,6.8181818181818175
NOVALUE,NOVALUE,60,5.681818181818182
"in {NOVALUE, 'IS1'}","in {NOVALUE, 'TT1'}",38,3.5984848484848486
'IS1','TT1',30,2.840909090909091
NOVALUE,"in {'TT2', 'TT4'}",13,1.231060606060606
NOVALUE,'TT2',13,1.231060606060606
"in {NOVALUE, 'IS1'}",NOVALUE,10,0.946969696969697
"in {NOVALUE, 'IS1', 'IS2'}",NOVALUE,8,0.7575757575757576
"in {'IS1', 'IS2'}",'TT1',8,0.7575757575757576
'IS1',"in {'TT1', 'TT2'}",4,0.3787878787878788
'IS2',"in {NOVALUE, 'TT1'}",2,0.1893939393939394
