stromSchaltbar,stromEingaenge,occurrences,percentage
"in {NOVALUE, 'CS1', 'CS2', 'CS3'}",NOVALUE,114,10.795454545454545
"in {NOVALUE, 'CS1', 'CS2'}",NOVALUE,81,7.670454545454546
"in {NOVALUE, 'CS1', 'CS2', 'CS3', 'CS4'}",NOVALUE,76,7.196969696969697
"in {NOVALUE, 'CS1', 'CS2', 'CS3'}","in {NOVALUE, 'IS1'}",76,7.196969696969697
NOVALUE,"in {NOVALUE, 'IS1', 'IS2', 'IS3', 'IS4'}",76,7.196969696969697
"in {NOVALUE, 'CS1', 'CS2'}","in {NOVALUE, 'IS1', 'IS2'}",76,7.196969696969697
"in {NOVALUE, 'CS1', 'CS2'}","in {NOVALUE, 'IS1'}",76,7.196969696969697
"in {NOVALUE, 'CS1'}","in {NOVALUE, 'IS1', 'IS2', 'IS3'}",76,7.196969696969697
"in {NOVALUE, 'CS1', 'CS2', 'CS3'}",'IS1',48,4.545454545454546
"in {NOVALUE, 'CS1', 'CS2'}",'IS1',48,4.545454545454546
"in {NOVALUE, 'CS1'}","in {'IS1', 'IS2', 'IS3'}",48,4.545454545454546
"in {NOVALUE, 'CS1', 'CS2'}","in {'IS1', 'IS2'}",48,4.545454545454546
"in {NOVALUE, 'CS1'}","in {NOVALUE, 'IS1', 'IS2'}",38,3.5984848484848486
NOVALUE,"in {NOVALUE, 'IS1', 'IS2', 'IS3'}",38,3.5984848484848486
NOVALUE,"in {'IS1', 'IS2', 'IS3'}",24,2.272727272727273
"in {NOVALUE, 'CS1'}","in {'IS1', 'IS2'}",24,2.272727272727273
NOVALUE,NOVALUE,10,0.946969696969697
'CS2','IS1',9,0.8522727272727272
"in {'CS2', 'CS3'}",NOVALUE,8,0.7575757575757576
NOVALUE,"in {'IS1', 'IS2'}",8,0.7575757575757576
'CS2',"in {'IS1', 'IS2'}",8,0.7575757575757576
"in {'CS2', 'CS4'}",NOVALUE,6,0.5681818181818182
"in {NOVALUE, 'CS1', 'CS2', 'CS4'}",NOVALUE,5,0.4734848484848485
"in {'CS1', 'CS2', 'CS4'}",NOVALUE,5,0.4734848484848485
"in {'CS1', 'CS2'}",NOVALUE,5,0.4734848484848485
'CS2',NOVALUE,4,0.3787878787878788
'CS2',"in {NOVALUE, 'IS1'}",4,0.3787878787878788
'CS2',"in {NOVALUE, 'IS1', 'IS2'}",4,0.3787878787878788
NOVALUE,"in {NOVALUE, 'IS1', 'IS2'}",4,0.3787878787878788
NOVALUE,"in {NOVALUE, 'IS1'}",4,0.3787878787878788
"in {'CS2', 'CS3'}","in {NOVALUE, 'IS1'}",2,0.1893939393939394
'CS1','IS2',1,0.0946969696969697
"in {'CS2', 'CS3'}",'IS1',1,0.0946969696969697
'CS2','IS2',1,0.0946969696969697
