stromSchaltbar,temperaturEingaenge,occurrences,percentage
NOVALUE,NOVALUE,84,7.954545454545454
"in {NOVALUE, 'CS1', 'CS2', 'CS3'}","in {NOVALUE, 'TT1', 'TT2'}",76,7.196969696969697
"in {NOVALUE, 'CS1', 'CS2'}","in {NOVALUE, 'TT1', 'TT2'}",76,7.196969696969697
"in {NOVALUE, 'CS1'}","in {NOVALUE, 'TT1'}",76,7.196969696969697
"in {NOVALUE, 'CS1', 'CS2'}","in {NOVALUE, 'TT1', 'TT2', 'TT3', 'TT4'}",76,7.196969696969697
"in {NOVALUE, 'CS1', 'CS2'}","in {NOVALUE, 'TT1', 'TT2', 'TT3'}",76,7.196969696969697
"in {NOVALUE, 'CS1', 'CS2'}","in {'TT1', 'TT2', 'TT3'}",48,4.545454545454546
"in {NOVALUE, 'CS1', 'CS2'}","in {'TT1', 'TT2'}",48,4.545454545454546
"in {NOVALUE, 'CS1'}",'TT1',48,4.545454545454546
"in {NOVALUE, 'CS1', 'CS2', 'CS3', 'CS4'}",NOVALUE,38,3.5984848484848486
NOVALUE,"in {NOVALUE, 'TT1'}",38,3.5984848484848486
"in {NOVALUE, 'CS1', 'CS2', 'CS3'}","in {NOVALUE, 'TT1'}",38,3.5984848484848486
"in {NOVALUE, 'CS1'}","in {NOVALUE, 'TT1', 'TT2'}",38,3.5984848484848486
"in {NOVALUE, 'CS1', 'CS2', 'CS3'}","in {NOVALUE, 'TT1', 'TT2', 'TT3'}",38,3.5984848484848486
"in {NOVALUE, 'CS1', 'CS2', 'CS3', 'CS4'}","in {NOVALUE, 'TT1', 'TT2'}",38,3.5984848484848486
"in {NOVALUE, 'CS1', 'CS2', 'CS3'}","in {NOVALUE, 'TT1', 'TT2', 'TT3', 'TT4'}",38,3.5984848484848486
NOVALUE,'TT1',28,2.6515151515151514
"in {NOVALUE, 'CS1', 'CS2', 'CS3'}","in {'TT1', 'TT2', 'TT3'}",24,2.272727272727273
"in {NOVALUE, 'CS1'}","in {'TT1', 'TT2'}",24,2.272727272727273
"in {NOVALUE, 'CS1', 'CS2', 'CS3'}",'TT1',24,2.272727272727273
'CS2','TT1',9,0.8522727272727272
'CS2',NOVALUE,8,0.7575757575757576
'CS2',"in {'TT1', 'TT2'}",8,0.7575757575757576
"in {NOVALUE, 'CS1', 'CS2', 'CS4'}",NOVALUE,5,0.4734848484848485
NOVALUE,"in {'TT2', 'TT4'}",5,0.4734848484848485
"in {NOVALUE, 'CS1', 'CS2'}",NOVALUE,5,0.4734848484848485
"in {'CS1', 'CS2'}",NOVALUE,5,0.4734848484848485
NOVALUE,'TT2',5,0.4734848484848485
"in {'CS1', 'CS2', 'CS4'}",NOVALUE,5,0.4734848484848485
'CS2',"in {'TT2', 'TT4'}",4,0.3787878787878788
"in {'CS2', 'CS3'}",'TT2',4,0.3787878787878788
"in {'CS2', 'CS4'}",'TT2',4,0.3787878787878788
"in {'CS2', 'CS3'}","in {'TT2', 'TT4'}",4,0.3787878787878788
NOVALUE,"in {'TT1', 'TT2'}",4,0.3787878787878788
"in {'CS2', 'CS3'}",NOVALUE,2,0.1893939393939394
"in {'CS2', 'CS4'}",NOVALUE,2,0.1893939393939394
'CS1',"in {NOVALUE, 'TT1'}",1,0.0946969696969697
'CS2',"in {NOVALUE, 'TT1'}",1,0.0946969696969697
"in {'CS2', 'CS3'}",'TT1',1,0.0946969696969697
