characteristic_a,characteristic_b,package,package_sample_size,conditional_mutual_information,global_mutual_information
devCategory,housing,"in {NOVALUE, 'x731'}",696,0.0,0.03427468458811278
devCategory,powerSupply,"in {NOVALUE, 'x731'}",696,0.0,0.05294882448677063
devCategory,explosionApproval,"in {NOVALUE, 'x731'}",696,0.0,0.017044333552945545
devCategory,protectionArea,"in {NOVALUE, 'x731'}",696,2.220446049250313e-16,0.0016125238486606186
devCategory,certification,"in {NOVALUE, 'x731'}",696,0.3737817839288953,0.3624010325328366
devCategory,dataInterface,"in {NOVALUE, 'x731'}",696,0.40611280413887774,0.3959657150371103
devCategory,stromSchaltbar,"in {NOVALUE, 'x731'}",696,0.06741664593269703,0.11869353113658887
devCategory,stromEingaenge,"in {NOVALUE, 'x731'}",696,0.9293636260137188,0.6924927405449879
devCategory,temperaturEingaenge,"in {NOVALUE, 'x731'}",696,0.9293636260137188,0.7326262863687178
devCategory,binaerDigitalOpenColl_MN,"in {NOVALUE, 'x731'}",696,0.0,0.024064578509900514
devCategory,binaerOpenColl_MP,"in {NOVALUE, 'x731'}",696,0.0,0.03891813690120682
devCategory,waveInjector,"in {NOVALUE, 'x731'}",696,0.6631968402398287,0.46852930704789575
devCategory,dev_advMeterVerification,"in {NOVALUE, 'x731'}",696,0.9293636260137188,0.5352606795232013
devCategory,dynamicGasMaster,"in {NOVALUE, 'x731'}",696,0.9124411797645411,0.26970687645682423
devCategory,customUserFluid,"in {NOVALUE, 'x731'}",696,0.9293636260137188,0.5372853339772234
housing,powerSupply,"in {NOVALUE, 'x731'}",696,0.9798687566511528,0.8480179054769685
housing,explosionApproval,"in {NOVALUE, 'x731'}",696,0.4798687566511528,0.3974470775642532
housing,protectionArea,"in {NOVALUE, 'x731'}",696,0.010246088034509437,0.007080559850078494
housing,certification,"in {NOVALUE, 'x731'}",696,0.9798687566511528,0.8480179054769685
housing,dataInterface,"in {NOVALUE, 'x731'}",696,0.008993622864302053,0.03932490662961163
housing,stromSchaltbar,"in {NOVALUE, 'x731'}",696,0.0,0.03088755198003268
housing,stromEingaenge,"in {NOVALUE, 'x731'}",696,0.0,0.014202719859072066
housing,temperaturEingaenge,"in {NOVALUE, 'x731'}",696,0.0,0.02460300565381557
housing,binaerDigitalOpenColl_MN,"in {NOVALUE, 'x731'}",696,0.000589596275060833,0.014595197400778526
housing,binaerOpenColl_MP,"in {NOVALUE, 'x731'}",696,0.000589596275060833,0.019790852260436198
housing,waveInjector,"in {NOVALUE, 'x731'}",696,0.0,0.14172455552299368
housing,dev_advMeterVerification,"in {NOVALUE, 'x731'}",696,0.0,0.0018720090998265437
housing,dynamicGasMaster,"in {NOVALUE, 'x731'}",696,0.0,0.020464112288343883
housing,customUserFluid,"in {NOVALUE, 'x731'}",696,0.0,0.0010190622294601326
powerSupply,explosionApproval,"in {NOVALUE, 'x731'}",696,0.4798687566511528,0.41434066469007025
powerSupply,protectionArea,"in {NOVALUE, 'x731'}",696,0.010246088034509437,0.023974146975895616
powerSupply,certification,"in {NOVALUE, 'x731'}",696,0.9798687566511528,0.920863636627075
powerSupply,certification,"in {NOVALUE, 'F731WD_DualChannel'}",12,1.0,0.920863636627075
powerSupply,dataInterface,"in {NOVALUE, 'x731'}",696,0.008993622864302053,0.07404669051929014
powerSupply,dataInterface,"in {NOVALUE, 'F731WD_DualChannel'}",12,1.1102230246251565e-16,0.07404669051929014
powerSupply,stromSchaltbar,"in {NOVALUE, 'x731'}",696,0.0,0.055226315708203355
powerSupply,stromSchaltbar,"in {NOVALUE, 'F731WD_DualChannel'}",12,1.1102230246251565e-16,0.055226315708203355
powerSupply,stromEingaenge,"in {NOVALUE, 'x731'}",696,0.0,0.027184973714406313
powerSupply,stromEingaenge,"in {NOVALUE, 'F731WD_DualChannel'}",12,0.0,0.027184973714406313
powerSupply,temperaturEingaenge,"in {NOVALUE, 'x731'}",696,0.0,0.04995669142104486
powerSupply,binaerDigitalOpenColl_MN,"in {NOVALUE, 'x731'}",696,0.000589596275060833,0.025090141849774428
powerSupply,binaerOpenColl_MP,"in {NOVALUE, 'x731'}",696,0.000589596275060833,0.03942529862192834
powerSupply,binaerOpenColl_MP,"in {NOVALUE, 'F731WD_DualChannel'}",12,0.0,0.03942529862192834
powerSupply,waveInjector,"in {NOVALUE, 'x731'}",696,0.0,0.1585564531260244
powerSupply,dev_advMeterVerification,"in {NOVALUE, 'x731'}",696,0.0,0.008054818644688488
powerSupply,dynamicGasMaster,"in {NOVALUE, 'x731'}",696,0.0,0.023175811937911073
powerSupply,customUserFluid,"in {NOVALUE, 'x731'}",696,0.0,0.017426762231138815
numberOfChannels,explosionApproval,"in {NOVALUE, 'F731TE'}",26,0.0,0.039377150327867594
numberOfChannels,explosionApproval,"in {NOVALUE, 'G731CA'}",24,0.0,0.039377150327867594
numberOfChannels,protectionArea,"in {NOVALUE, 'F731TE'}",26,0.0,0.0017631359848158112
numberOfChannels,protectionArea,"in {NOVALUE, 'G731CA'}",24,0.0,0.0017631359848158112
numberOfChannels,certification,"in {NOVALUE, 'F731TE'}",26,0.0,0.15219935092289127
numberOfChannels,certification,"in {NOVALUE, 'G731CA'}",24,0.0,0.15219935092289127
