characteristic_a,characteristic_b,global_mi,mean_conditional_mi,median_conditional_mi,max_conditional_mi,supporting_package_count,package_count_analyzed
stromEingaenge,temperaturEingaenge,2.1146917705843946,1.3721432882335731,1.5552296471946299,2.3781138585450328,3,4
explosionApproval,certification,1.2350153026194586,1.2658772982655218,1.3787834934861756,1.5262349099495225,6,6
numberOfChannels,temperaturEingaenge,0.17485492617345755,1.0,1.0,1.0,2,2
powerSupply,certification,0.920863636627075,0.9899343783255764,0.9899343783255764,1.0,2,2
housing,certification,0.8480179054769685,0.9798687566511528,0.9798687566511528,0.9798687566511528,1,1
housing,powerSupply,0.8480179054769685,0.9798687566511528,0.9798687566511528,0.9798687566511528,1,1
devCategory,temperaturEingaenge,0.7326262863687178,0.9293636260137188,0.9293636260137188,0.9293636260137188,1,1
devCategory,stromEingaenge,0.6924927405449879,0.9293636260137188,0.9293636260137188,0.9293636260137188,1,1
devCategory,customUserFluid,0.5372853339772234,0.9293636260137188,0.9293636260137188,0.9293636260137188,1,1
devCategory,dev_advMeterVerification,0.5352606795232013,0.9293636260137188,0.9293636260137188,0.9293636260137188,1,1
dev_advMeterVerification,customUserFluid,0.20544882939374443,0.9293636260137187,0.9293636260137187,0.9293636260137187,1,1
temperaturEingaenge,customUserFluid,0.7652054354766347,0.9293636260137186,0.9293636260137186,0.9293636260137186,1,1
temperaturEingaenge,dev_advMeterVerification,0.36306015881861375,0.9293636260137186,0.9293636260137186,0.9293636260137186,1,1
stromEingaenge,customUserFluid,0.6252235877146917,0.9293636260137184,0.9293636260137184,0.9293636260137184,1,1
stromEingaenge,dev_advMeterVerification,0.3731454296226122,0.9293636260137184,0.9293636260137184,0.9293636260137184,1,1
devCategory,dynamicGasMaster,0.26970687645682423,0.9124411797645411,0.9124411797645411,0.9124411797645411,1,1
stromSchaltbar,stromEingaenge,1.0374912097227131,0.8898616358649413,1.1236124651793848,1.1407926481984605,5,5
explosionApproval,protectionArea,0.9085336377223228,0.8692613471732754,0.8631205685666312,0.9182958340544893,5,5
protectionArea,certification,0.6418900085633701,0.788348797635386,0.863120568566631,0.8904916402194913,5,5
explosionApproval,dataInterface,0.60770086749467,0.7722153226447407,0.6982359780946957,1.0978548143998657,6,6
dataInterface,stromSchaltbar,0.44858324209626455,0.739617610431394,0.7924812503605781,1.9999999999999998,7,7
binaerDigitalOpenColl_MN,binaerOpenColl_MP,0.8457266993965157,0.7111291822076686,0.9754096755529107,0.9852281360342515,6,6
devCategory,waveInjector,0.46852930704789575,0.6631968402398287,0.6631968402398287,0.6631968402398287,1,1
certification,dataInterface,0.5675197873471658,0.6394877243579877,0.6745438613020293,1.0978548143998654,7,7
stromSchaltbar,temperaturEingaenge,0.9644060770183973,0.5787518622467174,0.8582628821852687,0.869541239170742,4,5
protectionArea,dataInterface,0.41180046974310336,0.5335193469748619,0.5117029376432258,0.7366454863733375,5,5
powerSupply,explosionApproval,0.41434066469007025,0.4798687566511528,0.4798687566511528,0.4798687566511528,1,1
housing,explosionApproval,0.3974470775642532,0.4798687566511528,0.4798687566511528,0.4798687566511528,1,1
dataInterface,binaerOpenColl_MP,0.18433275135944793,0.4343031490350168,0.5849625007211563,0.9709505944546686,7,7
devCategory,dataInterface,0.3959657150371103,0.40611280413887774,0.40611280413887774,0.40611280413887774,1,1
stromSchaltbar,binaerOpenColl_MP,0.24478295430256258,0.3819890180823463,0.4591479170272448,0.9182958340544893,4,7
certification,customUserFluid,0.2015743730049453,0.3737817839288955,0.3737817839288955,0.3737817839288955,1,1
certification,dev_advMeterVerification,0.14071345541612734,0.3737817839288955,0.3737817839288955,0.3737817839288955,1,1
devCategory,certification,0.3624010325328366,0.3737817839288953,0.3737817839288953,0.3737817839288953,1,1
dataInterface,stromEingaenge,0.3487157343189775,0.371819264943402,0.2642012958739608,0.8035088547976783,5,5
dataInterface,binaerDigitalOpenColl_MN,0.20148794081178245,0.33567495458489033,0.131307620226784,1.3709505944546683,6,6
stromEingaenge,waveInjector,0.08707172186628132,0.3183692540329326,0.3183692540329326,0.3183692540329326,1,1
waveInjector,dev_advMeterVerification,0.540261929293289,0.31836925403293215,0.31836925403293215,0.31836925403293215,1,1
waveInjector,customUserFluid,0.04810891515754445,0.31836925403293215,0.31836925403293215,0.31836925403293215,1,1
temperaturEingaenge,waveInjector,0.14354708434296182,0.31836925403293126,0.31836925403293126,0.31836925403293126,1,1
dev_advMeterVerification,dynamicGasMaster,0.19519749792571883,0.25726876597143744,0.25726876597143744,0.25726876597143744,1,1
dynamicGasMaster,customUserFluid,0.14244217390969127,0.25726876597143744,0.25726876597143744,0.25726876597143744,1,1
stromEingaenge,dynamicGasMaster,0.1270305073851019,0.2572687659714372,0.2572687659714372,0.2572687659714372,1,1
temperaturEingaenge,dynamicGasMaster,0.12653675781951446,0.2572687659714368,0.2572687659714368,0.2572687659714368,1,1
stromSchaltbar,binaerDigitalOpenColl_MN,0.17568347805207196,0.23821740946068784,0.0545851693377995,1.2,3,6
explosionApproval,binaerDigitalOpenColl_MN,0.15938817072040656,0.23359546835423808,0.15874300888624382,0.42044846313473183,6,6
dataInterface,customUserFluid,0.28022760175000183,0.21645763172508392,0.21645763172508392,0.21645763172508392,1,1
dataInterface,dev_advMeterVerification,0.1659651725229816,0.21645763172508392,0.21645763172508392,0.21645763172508392,1,1
certification,binaerDigitalOpenColl_MN,0.08630798797961914,0.21217943413286436,0.14951793667303143,0.4204484631347316,6,6
explosionApproval,binaerOpenColl_MP,0.16477174968068908,0.19152349965338997,0.1587430088862437,0.31127812445913294,6,6
numberOfChannels,stromSchaltbar,0.17660470974920783,0.15384615384615385,0.15384615384615385,0.3076923076923077,1,2
certification,binaerOpenColl_MP,0.09719752116256819,0.14580639894172828,0.1280852788913942,0.31127812445913294,6,7
certification,waveInjector,0.19308739332872493,0.14210392820517437,0.14210392820517437,0.14210392820517437,1,1
waveInjector,dynamicGasMaster,0.23148244548800267,0.1109562069975103,0.1109562069975103,0.1109562069975103,1,1
dataInterface,temperaturEingaenge,0.4446682020121959,0.09835050852362164,0.09561946136037047,0.2859921388308351,4,5
certification,dynamicGasMaster,0.05167806920949891,0.09004120766966928,0.09004120766966928,0.09004120766966928,1,1
certification,temperaturEingaenge,0.3117583495770717,0.0747563567857791,0.0,0.3737817839288955,1,5
certification,stromEingaenge,0.29600196173643756,0.0747563567857791,0.0,0.3737817839288955,1,5
devCategory,stromSchaltbar,0.11869353113658887,0.06741664593269703,0.06741664593269703,0.06741664593269703,1,1
stromSchaltbar,customUserFluid,0.152275389698052,0.06741664593269636,0.06741664593269636,0.06741664593269636,1,1
stromSchaltbar,dev_advMeterVerification,0.08248559979535752,0.06741664593269636,0.06741664593269636,0.06741664593269636,1,1
dataInterface,dynamicGasMaster,0.07019519067651903,0.0661235679324248,0.0661235679324248,0.0661235679324248,1,1
dataInterface,waveInjector,0.20804298722252978,0.06315306313140656,0.06315306313140656,0.06315306313140656,1,1
stromEingaenge,binaerOpenColl_MP,0.031520414611335035,0.04381984138484498,4.440892098500626e-16,0.12581458369391152,4,5
protectionArea,binaerDigitalOpenColl_MN,0.024503789951767052,0.03787761779511765,0.010246088034509437,0.09031753632664208,5,5
stromSchaltbar,waveInjector,0.16003300296450496,0.02861349822248016,0.02861349822248016,0.02861349822248016,1,1
stromSchaltbar,dynamicGasMaster,0.045314737092740476,0.013119956955712997,0.013119956955712997,0.013119956955712997,1,1
powerSupply,protectionArea,0.023974146975895616,0.010246088034509437,0.010246088034509437,0.010246088034509437,1,1
housing,protectionArea,0.007080559850078494,0.010246088034509437,0.010246088034509437,0.010246088034509437,1,1
protectionArea,binaerOpenColl_MP,0.018289976785407225,0.010245214398877244,0.0059777114237739015,0.027118996607711,5,5
housing,dataInterface,0.03932490662961163,0.008993622864302053,0.008993622864302053,0.008993622864302053,1,1
numberOfChannels,dataInterface,0.1547047656218482,0.007260740533266086,0.007260740533266086,0.014521481066532171,1,2
certification,stromSchaltbar,0.08781628319968249,0.00602175297408731,0.0,0.02435124351807394,3,7
powerSupply,dataInterface,0.07404669051929014,0.004496811432151082,0.004496811432151082,0.008993622864302053,2,2
stromEingaenge,binaerDigitalOpenColl_MN,0.045591450501973,0.004305021173894974,4.440892098500626e-16,0.017220084695579008,3,4
protectionArea,stromSchaltbar,0.010761614148120158,0.0035602054601074017,0.0,0.01780102730053701,1,5
explosionApproval,stromSchaltbar,0.02550224542154389,0.0029668378834227793,0.0,0.01780102730053712,1,6
powerSupply,binaerDigitalOpenColl_MN,0.025090141849774428,0.000589596275060833,0.000589596275060833,0.000589596275060833,1,1
housing,binaerOpenColl_MP,0.019790852260436198,0.000589596275060833,0.000589596275060833,0.000589596275060833,1,1
housing,binaerDigitalOpenColl_MN,0.014595197400778526,0.000589596275060833,0.000589596275060833,0.000589596275060833,1,1
powerSupply,binaerOpenColl_MP,0.03942529862192834,0.0002947981375304165,0.0002947981375304165,0.000589596275060833,1,2
devCategory,protectionArea,0.0016125238486606186,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1,1
explosionApproval,stromEingaenge,0.013298884972171798,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,2,4
explosionApproval,temperaturEingaenge,0.011540164390076768,8.881784197001253e-17,0.0,2.220446049250313e-16,2,5
powerSupply,stromSchaltbar,0.055226315708203355,5.551115123125783e-17,5.551115123125783e-17,1.1102230246251565e-16,1,2
powerSupply,waveInjector,0.1585564531260244,0.0,0.0,0.0,0,1
numberOfChannels,certification,0.15219935092289127,0.0,0.0,0.0,0,2
housing,waveInjector,0.14172455552299368,0.0,0.0,0.0,0,1
numberOfChannels,binaerOpenColl_MP,0.113130898899785,0.0,0.0,0.0,0,2
temperaturEingaenge,binaerOpenColl_MP,0.10419646073034139,0.0,0.0,0.0,0,5
binaerOpenColl_MP,waveInjector,0.10242224649917131,0.0,0.0,0.0,0,1
temperaturEingaenge,binaerDigitalOpenColl_MN,0.08316652575186056,0.0,0.0,0.0,0,5
binaerOpenColl_MP,customUserFluid,0.0755326946924646,0.0,0.0,0.0,0,1
binaerDigitalOpenColl_MN,waveInjector,0.07110294754117996,0.0,0.0,0.0,0,1
numberOfChannels,binaerDigitalOpenColl_MN,0.06304354147281388,0.0,0.0,0.0,0,2
explosionApproval,waveInjector,0.05655644989573272,0.0,0.0,0.0,0,1
numberOfChannels,stromEingaenge,0.055313826440796854,0.0,0.0,0.0,0,1
devCategory,powerSupply,0.05294882448677063,0.0,0.0,0.0,0,1
powerSupply,temperaturEingaenge,0.04995669142104486,0.0,0.0,0.0,0,1
binaerDigitalOpenColl_MN,customUserFluid,0.048232763046929916,0.0,0.0,0.0,0,1
binaerDigitalOpenColl_MN,dev_advMeterVerification,0.04165302592548836,0.0,0.0,0.0,0,1
numberOfChannels,explosionApproval,0.039377150327867594,0.0,0.0,0.0,0,2
devCategory,binaerOpenColl_MP,0.03891813690120682,0.0,0.0,0.0,0,1
binaerDigitalOpenColl_MN,dynamicGasMaster,0.03538791979478284,0.0,0.0,0.0,0,1
devCategory,housing,0.03427468458811278,0.0,0.0,0.0,0,1
housing,stromSchaltbar,0.03088755198003268,0.0,0.0,0.0,0,1
binaerOpenColl_MP,dev_advMeterVerification,0.030739762285076466,0.0,0.0,0.0,0,1
powerSupply,stromEingaenge,0.027184973714406313,0.0,0.0,0.0,0,2
housing,temperaturEingaenge,0.02460300565381557,0.0,0.0,0.0,0,1
devCategory,binaerDigitalOpenColl_MN,0.024064578509900514,0.0,0.0,0.0,0,1
powerSupply,dynamicGasMaster,0.023175811937911073,0.0,0.0,0.0,0,1
housing,dynamicGasMaster,0.020464112288343883,0.0,0.0,0.0,0,1
binaerOpenColl_MP,dynamicGasMaster,0.018278501999753116,0.0,0.0,0.0,0,1
explosionApproval,dynamicGasMaster,0.017671752051255485,0.0,0.0,0.0,0,1
powerSupply,customUserFluid,0.017426762231138815,0.0,0.0,0.0,0,1
devCategory,explosionApproval,0.017044333552945545,0.0,0.0,0.0,0,1
housing,stromEingaenge,0.014202719859072066,0.0,0.0,0.0,0,1
explosionApproval,dev_advMeterVerification,0.01028642052283324,0.0,0.0,0.0,0,1
powerSupply,dev_advMeterVerification,0.008054818644688488,0.0,0.0,0.0,0,1
explosionApproval,customUserFluid,0.002558298274732973,0.0,0.0,0.0,0,1
protectionArea,dev_advMeterVerification,0.0022814335096231764,0.0,0.0,0.0,0,1
protectionArea,dynamicGasMaster,0.0022049779501704947,0.0,0.0,0.0,0,1
housing,dev_advMeterVerification,0.0018720090998265437,0.0,0.0,0.0,0,1
numberOfChannels,protectionArea,0.0017631359848158112,0.0,0.0,0.0,0,2
housing,customUserFluid,0.0010190622294601326,0.0,0.0,0.0,0,1
protectionArea,temperaturEingaenge,0.0009640223091631483,0.0,0.0,0.0,0,5
protectionArea,customUserFluid,0.0004620194682758427,0.0,0.0,0.0,0,1
protectionArea,waveInjector,0.00038488690336624387,0.0,0.0,0.0,0,1
protectionArea,stromEingaenge,0.0028219486680116646,-2.7755575615628914e-17,0.0,0.0,0,4
