column_name,data_type,unique_values,missing_count,novalue_count,novalue_percentage,initial_type,configuration_role,observed_rule_states,total_occurrences,maximum_rule_frequency
certification,str,6,0,0,0.0,variable_characteristic,core_configuration,6.0,1056.0,32.58
characteristic,str,7,0,0,0.0,variable_characteristic,core_configuration,7.0,1056.0,65.91
dataInterface,str,27,0,0,0.0,variable_characteristic,core_configuration,27.0,1056.0,26.42
devCategory,str,4,0,0,0.0,variable_characteristic,core_configuration,4.0,1056.0,49.43
explosionApproval,str,5,0,0,0.0,variable_characteristic,core_configuration,5.0,1056.0,32.39
housing,str,2,0,0,0.0,variable_characteristic,core_configuration,2.0,1056.0,72.54
numberOfChannels,object,3,0,0,0.0,variable_characteristic,core_configuration,3.0,1056.0,80.4
packageFixed_dev,str,9,0,0,0.0,variable_characteristic,core_configuration,9.0,1056.0,65.91
powerSupply,str,3,0,0,0.0,variable_characteristic,core_configuration,3.0,1056.0,71.59
protectionArea,str,2,0,0,0.0,variable_characteristic,core_configuration,2.0,1056.0,67.61
stromEingaenge,str,10,0,314,29.73,variable_characteristic,core_configuration,9.0,1056.0,29.73
stromSchaltbar,str,12,0,164,15.53,variable_characteristic,core_configuration,12.0,1056.0,31.16
temperaturEingaenge,str,10,0,154,14.58,variable_characteristic,core_configuration,10.0,1056.0,21.59
binaerDigitalOpenColl_MN,str,7,0,474,44.89,variable_characteristic,conditional_feature,7.0,1056.0,52.84
binaerOpenColl_MP,str,7,0,608,57.58,variable_characteristic,conditional_feature,7.0,1056.0,57.58
customUserFluid,str,2,0,334,31.63,variable_characteristic,conditional_feature,2.0,1056.0,68.37
dev_advMeterVerification,object,3,0,373,35.32,variable_characteristic,conditional_feature,3.0,1056.0,64.3
dynamicGasMaster,object,3,0,824,78.03,variable_characteristic,conditional_feature,3.0,1056.0,78.03
steamApplication,str,3,0,790,74.81,variable_characteristic,conditional_feature,3.0,1056.0,74.81
waveInjector,str,3,0,227,21.5,variable_characteristic,conditional_feature,3.0,1056.0,54.55
OrgUnitAreaOfDocument,object,2,0,0,0.0,variable_characteristic,context_or_administrative,2.0,1056.0,79.55
StromPassivExia,str,1,0,1056,100.0,constant_metadata,unclassified,,,
binaerDigitalOpenCollExia_MA,str,1,0,1056,100.0,constant_metadata,unclassified,,,
binaerDigitalOptoRelay,str,1,0,1056,100.0,constant_metadata,unclassified,,,
binaerDigitalReedRelay,str,1,0,1056,100.0,constant_metadata,unclassified,,,
binaerEingaenge,str,1,0,1056,100.0,constant_metadata,unclassified,,,
binaerOpenColl30v,str,1,0,1056,100.0,constant_metadata,unclassified,,,
binaerOpenCollExib,str,1,0,1056,100.0,constant_metadata,unclassified,,,
binaerOpenCollNamur,str,1,0,1056,100.0,constant_metadata,unclassified,,,
binaerOpenColl_BC,str,1,0,1056,100.0,constant_metadata,unclassified,,,
binaerOpenColl_SC,str,1,0,1056,100.0,constant_metadata,unclassified,,,
binaerOptoRelay_BO,str,1,0,1056,100.0,constant_metadata,unclassified,,,
binaerOptoRelay_SO,str,1,0,1056,100.0,constant_metadata,unclassified,,,
binaerReedRelay_BR,str,1,0,1056,100.0,constant_metadata,unclassified,,,
binaerReedRelay_SR,str,1,0,1056,100.0,constant_metadata,unclassified,,,
carryingCase,str,1,0,1056,100.0,constant_metadata,unclassified,,,
frequenz0_5khzNamur,str,1,0,1056,100.0,constant_metadata,unclassified,,,
frequenz0_5khz_FC,str,1,0,1056,100.0,constant_metadata,unclassified,,,
frequenz0_5khz_FO,str,1,0,1056,100.0,constant_metadata,unclassified,,,
frequenz5_15HzExia,str,1,0,1056,100.0,constant_metadata,unclassified,,,
hardwareAP,str,1,0,1056,100.0,constant_metadata,unclassified,,,
inclusiveManual,str,1,0,0,0.0,constant_metadata,unclassified,,,
installationsart,str,1,0,0,0.0,constant_metadata,unclassified,,,
intrinsicSafety,str,1,0,0,0.0,constant_metadata,unclassified,,,
marke,str,1,0,0,0.0,constant_metadata,unclassified,,,
measuringTape,str,1,0,1056,100.0,constant_metadata,unclassified,,,
powerCable,str,1,0,1056,100.0,constant_metadata,unclassified,,,
spannung0_10v,str,1,0,1056,100.0,constant_metadata,unclassified,,,
spannung0_1v,str,1,0,1056,100.0,constant_metadata,unclassified,,,
spannungsEingaenge,str,1,0,1056,100.0,constant_metadata,unclassified,,,
stromAktiv,str,1,0,1056,100.0,constant_metadata,unclassified,,,
stromAktiv24,str,1,0,1056,100.0,constant_metadata,unclassified,,,
stromEingaengeExia,str,1,0,1056,100.0,constant_metadata,unclassified,,,
stromEingaenge_passiv,str,1,0,1056,100.0,constant_metadata,unclassified,,,
stromPassiv,str,1,0,1056,100.0,constant_metadata,unclassified,,,
stromPassivExib,str,1,0,1056,100.0,constant_metadata,unclassified,,,
tagPlate,str,1,0,0,0.0,constant_metadata,unclassified,,,
temperaturEingaengeExi,str,1,0,1056,100.0,constant_metadata,unclassified,,,
type,str,1,0,0,0.0,constant_metadata,unclassified,,,
