package_context,characteristic,observed_values,observed_value_count,rule_occurrences,source_rows
F731PW,OrgUnitAreaOfDocument,0|1|2|3,4,20,20
F731PW,StromPassivExia,NOVALUE,1,20,20
F731PW,binaerDigitalOpenCollExia_MA,NOVALUE,1,20,20
F731PW,binaerDigitalOpenColl_MN,MN2|MN4|NOVALUE,3,20,20
F731PW,binaerDigitalOptoRelay,NOVALUE,1,20,20
F731PW,binaerDigitalReedRelay,NOVALUE,1,20,20
F731PW,binaerEingaenge,NOVALUE,1,20,20
F731PW,binaerOpenColl30v,NOVALUE,1,20,20
F731PW,binaerOpenCollExib,NOVALUE,1,20,20
F731PW,binaerOpenCollNamur,NOVALUE,1,20,20
F731PW,binaerOpenColl_BC,NOVALUE,1,20,20
F731PW,binaerOpenColl_MP,MP2|MP4|NOVALUE,3,20,20
F731PW,binaerOpenColl_SC,NOVALUE,1,20,20
F731PW,binaerOptoRelay_BO,NOVALUE,1,20,20
F731PW,binaerOptoRelay_SO,NOVALUE,1,20,20
F731PW,binaerReedRelay_BR,NOVALUE,1,20,20
F731PW,binaerReedRelay_SR,NOVALUE,1,20,20
F731PW,carryingCase,NOVALUE,1,20,20
F731PW,certification,NN|WN,2,20,20
F731PW,characteristic,PW,1,20,20
F731PW,customUserFluid,NOVALUE,1,20,20
F731PW,dataInterface,BM|BT|FF|HS|MR|MT|NN|PA,8,20,20
F731PW,devCategory,F,1,20,20
F731PW,dev_advMeterVerification,1|NOVALUE,2,20,20
F731PW,dynamicGasMaster,NOVALUE,1,20,20
F731PW,explosionApproval,A|E|F|J|K|P|S,7,20,20
F731PW,frequenz0_5khzNamur,NOVALUE,1,20,20
F731PW,frequenz0_5khz_FC,NOVALUE,1,20,20
F731PW,frequenz0_5khz_FO,NOVALUE,1,20,20
F731PW,frequenz5_15HzExia,NOVALUE,1,20,20
F731PW,hardwareAP,NOVALUE,1,20,20
F731PW,housing,AL|ST,2,20,20
F731PW,inclusiveManual,QI,1,20,20
F731PW,installationsart,stationaer,1,20,20
F731PW,intrinsicSafety,N,1,20,20
F731PW,marke,flexim,1,20,20
F731PW,measuringTape,NOVALUE,1,20,20
F731PW,numberOfChannels,1|2,2,20,20
F731PW,packageFixed_dev,F731PW|NOVALUE,2,20,20
F731PW,powerCable,NOVALUE,1,20,20
F731PW,powerSupply,1|4,2,20,20
F731PW,protectionArea,2,1,20,20
F731PW,spannung0_10v,NOVALUE,1,20,20
F731PW,spannung0_1v,NOVALUE,1,20,20
F731PW,spannungsEingaenge,NOVALUE,1,20,20
F731PW,steamApplication,NOVALUE,1,20,20
F731PW,stromAktiv,NOVALUE,1,20,20
F731PW,stromAktiv24,NOVALUE,1,20,20
F731PW,stromEingaenge,NOVALUE,1,20,20
F731PW,stromEingaengeExia,NOVALUE,1,20,20
F731PW,stromEingaenge_passiv,NOVALUE,1,20,20
F731PW,stromPassiv,NOVALUE,1,20,20
F731PW,stromPassivExib,NOVALUE,1,20,20
F731PW,stromSchaltbar,CS1|CS2|CS4|NOVALUE,4,20,20
F731PW,tagPlate,1|NOVALUE,2,20,20
F731PW,temperaturEingaenge,NOVALUE,1,20,20
F731PW,temperaturEingaengeExi,NOVALUE,1,20,20
F731PW,type,731,1,20,20
F731PW,waveInjector,NOVALUE,1,20,20
F731TE,OrgUnitAreaOfDocument,0|1|2|3,4,26,26
F731TE,StromPassivExia,NOVALUE,1,26,26
F731TE,binaerDigitalOpenCollExia_MA,NOVALUE,1,26,26
F731TE,binaerDigitalOpenColl_MN,MN4|NOVALUE,2,26,26
F731TE,binaerDigitalOptoRelay,NOVALUE,1,26,26
F731TE,binaerDigitalReedRelay,NOVALUE,1,26,26
F731TE,binaerEingaenge,NOVALUE,1,26,26
F731TE,binaerOpenColl30v,NOVALUE,1,26,26
F731TE,binaerOpenCollExib,NOVALUE,1,26,26
F731TE,binaerOpenCollNamur,NOVALUE,1,26,26
F731TE,binaerOpenColl_BC,NOVALUE,1,26,26
F731TE,binaerOpenColl_MP,MP4|NOVALUE,2,26,26
F731TE,binaerOpenColl_SC,NOVALUE,1,26,26
F731TE,binaerOptoRelay_BO,NOVALUE,1,26,26
F731TE,binaerOptoRelay_SO,NOVALUE,1,26,26
F731TE,binaerReedRelay_BR,NOVALUE,1,26,26
F731TE,binaerReedRelay_SR,NOVALUE,1,26,26
F731TE,carryingCase,NOVALUE,1,26,26
F731TE,certification,FN|NN|WN,3,26,26
F731TE,characteristic,TE,1,26,26
F731TE,customUserFluid,NOVALUE,1,26,26
F731TE,dataInterface,BM|BT|DB|FF|HS|MR|MT|NN|PA,9,26,26
F731TE,devCategory,F,1,26,26
F731TE,dev_advMeterVerification,1|NOVALUE,2,26,26
F731TE,dynamicGasMaster,NOVALUE,1,26,26
F731TE,explosionApproval,A|E|F|J|K|N|P|S,8,26,26
F731TE,frequenz0_5khzNamur,NOVALUE,1,26,26
F731TE,frequenz0_5khz_FC,NOVALUE,1,26,26
F731TE,frequenz0_5khz_FO,NOVALUE,1,26,26
F731TE,frequenz5_15HzExia,NOVALUE,1,26,26
F731TE,hardwareAP,NOVALUE,1,26,26
F731TE,housing,AL|ST,2,26,26
F731TE,inclusiveManual,QI,1,26,26
F731TE,installationsart,stationaer,1,26,26
F731TE,intrinsicSafety,N,1,26,26
F731TE,marke,flexim,1,26,26
F731TE,measuringTape,NOVALUE,1,26,26
F731TE,numberOfChannels,1|2,2,26,26
F731TE,packageFixed_dev,F731TE|NOVALUE,2,26,26
F731TE,powerCable,NOVALUE,1,26,26
F731TE,powerSupply,1|4,2,26,26
F731TE,protectionArea,2|N,2,26,26
F731TE,spannung0_10v,NOVALUE,1,26,26
F731TE,spannung0_1v,NOVALUE,1,26,26
F731TE,spannungsEingaenge,NOVALUE,1,26,26
F731TE,steamApplication,NOVALUE,1,26,26
F731TE,stromAktiv,NOVALUE,1,26,26
F731TE,stromAktiv24,NOVALUE,1,26,26
F731TE,stromEingaenge,NOVALUE,1,26,26
F731TE,stromEingaengeExia,NOVALUE,1,26,26
F731TE,stromEingaenge_passiv,NOVALUE,1,26,26
F731TE,stromPassiv,NOVALUE,1,26,26
F731TE,stromPassivExib,NOVALUE,1,26,26
F731TE,stromSchaltbar,CS2|CS3|CS4|NOVALUE,4,26,26
F731TE,tagPlate,1|NOVALUE,2,26,26
F731TE,temperaturEingaenge,TT2|TT4,2,26,26
F731TE,temperaturEingaengeExi,NOVALUE,1,26,26
F731TE,type,731,1,26,26
F731TE,waveInjector,NOVALUE,1,26,26
F731WD_DualChannel,OrgUnitAreaOfDocument,0|1|2|3,4,12,12
F731WD_DualChannel,StromPassivExia,NOVALUE,1,12,12
F731WD_DualChannel,binaerDigitalOpenCollExia_MA,NOVALUE,1,12,12
F731WD_DualChannel,binaerDigitalOpenColl_MN,NOVALUE,1,12,12
F731WD_DualChannel,binaerDigitalOptoRelay,NOVALUE,1,12,12
F731WD_DualChannel,binaerDigitalReedRelay,NOVALUE,1,12,12
F731WD_DualChannel,binaerEingaenge,NOVALUE,1,12,12
F731WD_DualChannel,binaerOpenColl30v,NOVALUE,1,12,12
F731WD_DualChannel,binaerOpenCollExib,NOVALUE,1,12,12
F731WD_DualChannel,binaerOpenCollNamur,NOVALUE,1,12,12
F731WD_DualChannel,binaerOpenColl_BC,NOVALUE,1,12,12
F731WD_DualChannel,binaerOpenColl_MP,MP4|NOVALUE,2,12,12
