source_row,package_context,characteristic,raw_value,rule_type,allowed_values,allowed_count
0,x731,OrgUnitAreaOfDocument,"in {0, 1, 2, 3}",allowed_values,0|1|2|3,4
0,x731,marke,'flexim',fixed_value,flexim,1
0,x731,packageFixed_dev,"in {NOVALUE, 'x731'}",allowed_values,NOVALUE|x731,2
0,x731,installationsart,'stationaer',fixed_value,stationaer,1
0,x731,devCategory,'F',fixed_value,F,1
0,x731,type,'731',fixed_value,731,1
0,x731,characteristic,'GP',fixed_value,GP,1
0,x731,housing,"in {'ST', 'AL'}",allowed_values,AL|ST,2
0,x731,powerSupply,"in {'1', '4'}",allowed_values,1|4,2
0,x731,numberOfChannels,"in {1, 2}",allowed_values,1|2,2
0,x731,explosionApproval,'N',fixed_value,N,1
0,x731,protectionArea,'N',fixed_value,N,1
0,x731,intrinsicSafety,'N',fixed_value,N,1
0,x731,certification,"in {'NN', 'WN', 'FN'}",allowed_values,FN|NN|WN,3
0,x731,dataInterface,"in {'NN', 'MT', 'BT'}",allowed_values,BT|MT|NN,3
0,x731,binaerDigitalOptoRelay,NOVALUE,novalue,NOVALUE,1
0,x731,binaerDigitalReedRelay,NOVALUE,novalue,NOVALUE,1
0,x731,binaerDigitalOpenColl_MN,NOVALUE,novalue,NOVALUE,1
0,x731,binaerDigitalOpenCollExia_MA,NOVALUE,novalue,NOVALUE,1
0,x731,binaerOpenColl_MP,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",allowed_values,MP1|MP2|MP3|MP4|NOVALUE,5
0,x731,binaerOpenColl_BC,NOVALUE,novalue,NOVALUE,1
0,x731,binaerOpenColl_SC,NOVALUE,novalue,NOVALUE,1
0,x731,binaerOpenColl30v,NOVALUE,novalue,NOVALUE,1
0,x731,binaerOpenCollExib,NOVALUE,novalue,NOVALUE,1
0,x731,binaerOpenCollNamur,NOVALUE,novalue,NOVALUE,1
0,x731,binaerOptoRelay_BO,NOVALUE,novalue,NOVALUE,1
0,x731,binaerOptoRelay_SO,NOVALUE,novalue,NOVALUE,1
0,x731,binaerReedRelay_BR,NOVALUE,novalue,NOVALUE,1
0,x731,binaerReedRelay_SR,NOVALUE,novalue,NOVALUE,1
0,x731,frequenz0_5khz_FO,NOVALUE,novalue,NOVALUE,1
0,x731,frequenz0_5khz_FC,NOVALUE,novalue,NOVALUE,1
0,x731,frequenz0_5khzNamur,NOVALUE,novalue,NOVALUE,1
0,x731,frequenz5_15HzExia,NOVALUE,novalue,NOVALUE,1
0,x731,spannung0_10v,NOVALUE,novalue,NOVALUE,1
0,x731,spannung0_1v,NOVALUE,novalue,NOVALUE,1
0,x731,stromAktiv,NOVALUE,novalue,NOVALUE,1
0,x731,stromAktiv24,NOVALUE,novalue,NOVALUE,1
0,x731,stromPassiv,NOVALUE,novalue,NOVALUE,1
