column_number,column_name,data_type,unique_values,missing_values
1,Unnamed: 0,str,1,0
2,OrgUnitAreaOfDocument,object,2,0
3,marke,str,1,0
4,packageFixed_dev,str,9,0
5,installationsart,str,1,0
6,devCategory,str,4,0
7,type,str,1,0
8,characteristic,str,7,0
9,housing,str,2,0
10,powerSupply,str,3,0
11,numberOfChannels,object,3,0
12,explosionApproval,str,5,0
13,protectionArea,str,2,0
14,intrinsicSafety,str,1,0
15,certification,str,6,0
16,dataInterface,str,27,0
17,binaerDigitalOptoRelay,str,1,0
18,binaerDigitalReedRelay,str,1,0
19,binaerDigitalOpenColl_MN,str,7,0
20,binaerDigitalOpenCollExia_MA,str,1,0
21,binaerOpenColl_MP,str,7,0
22,binaerOpenColl_BC,str,1,0
23,binaerOpenColl_SC,str,1,0
24,binaerOpenColl30v,str,1,0
25,binaerOpenCollExib,str,1,0
26,binaerOpenCollNamur,str,1,0
27,binaerOptoRelay_BO,str,1,0
28,binaerOptoRelay_SO,str,1,0
29,binaerReedRelay_BR,str,1,0
30,binaerReedRelay_SR,str,1,0
31,frequenz0_5khz_FO,str,1,0
32,frequenz0_5khz_FC,str,1,0
33,frequenz0_5khzNamur,str,1,0
34,frequenz5_15HzExia,str,1,0
35,spannung0_10v,str,1,0
36,spannung0_1v,str,1,0
37,stromAktiv,str,1,0
38,stromAktiv24,str,1,0
39,stromPassiv,str,1,0
40,stromPassivExib,str,1,0
41,StromPassivExia,str,1,0
42,stromSchaltbar,str,12,0
43,binaerEingaenge,str,1,0
44,spannungsEingaenge,str,1,0
45,stromEingaenge,str,10,0
46,stromEingaenge_passiv,str,1,0
47,stromEingaengeExia,str,1,0
48,temperaturEingaenge,str,10,0
49,temperaturEingaengeExi,str,1,0
50,hardwareAP,str,1,0
51,steamApplication,str,3,0
52,waveInjector,str,3,0
53,tagPlate,str,1,0
54,inclusiveManual,str,1,0
55,powerCable,str,1,0
56,carryingCase,str,1,0
57,measuringTape,str,1,0
58,dev_advMeterVerification,object,3,0
59,dynamicGasMaster,object,3,0
60,customUserFluid,str,2,0
