characteristic_a,characteristic_b,mutual_information,unique_a,unique_b
stromEingaenge,temperaturEingaenge,2.1146917705843946,9,10
certification,explosionApproval,1.235015302619458,6,5
stromSchaltbar,stromEingaenge,1.0374912097227131,12,9
packageFixed_dev,waveInjector,1.0105061623031593,9,3
stromSchaltbar,temperaturEingaenge,0.9644060770183973,12,10
certification,powerSupply,0.920863636627075,6,3
housing,powerSupply,0.8480179054769685,2,3
certification,housing,0.8480179054769681,6,2
binaerDigitalOpenColl_MN,binaerOpenColl_MP,0.8457266993965157,7,7
packageFixed_dev,numberOfChannels,0.790620269459744,9,3
temperaturEingaenge,customUserFluid,0.7652054354766347,10,2
stromEingaenge,customUserFluid,0.6252235877146917,9,2
dataInterface,explosionApproval,0.607700867494668,27,5
dataInterface,certification,0.5675197873471656,27,6
waveInjector,dev_advMeterVerification,0.540261929293289,3,3
packageFixed_dev,temperaturEingaenge,0.4660242032223989,9,10
packageFixed_dev,dataInterface,0.46077486975405213,9,27
dataInterface,stromSchaltbar,0.44858324209626455,27,12
dataInterface,temperaturEingaenge,0.4446682020121959,27,10
explosionApproval,powerSupply,0.4143406646900707,5,3
packageFixed_dev,stromSchaltbar,0.3979712913659914,9,12
housing,explosionApproval,0.3974470775642532,2,5
stromEingaenge,dev_advMeterVerification,0.3731454296226122,9,3
temperaturEingaenge,dev_advMeterVerification,0.36306015881861375,10,3
packageFixed_dev,certification,0.3579742758668929,9,6
packageFixed_dev,dev_advMeterVerification,0.35791422865492617,9,3
dataInterface,stromEingaenge,0.3487157343189775,27,9
waveInjector,numberOfChannels,0.33357531912085037,3,3
packageFixed_dev,stromEingaenge,0.31425909962654175,9,9
temperaturEingaenge,certification,0.31175834957707194,10,6
stromEingaenge,certification,0.296001961736438,9,6
packageFixed_dev,customUserFluid,0.28776377200578396,9,2
dataInterface,customUserFluid,0.28022760175000183,27,2
packageFixed_dev,powerSupply,0.2561016530766942,9,3
stromSchaltbar,binaerOpenColl_MP,0.24478295430256258,12,7
waveInjector,dynamicGasMaster,0.23148244548800267,3,3
packageFixed_dev,binaerOpenColl_MP,0.23079423136260435,9,7
packageFixed_dev,binaerDigitalOpenColl_MN,0.21108779325090898,9,7
dataInterface,waveInjector,0.20804298722252978,27,3
dev_advMeterVerification,customUserFluid,0.20544882939374443,3,2
packageFixed_dev,housing,0.20219531586598172,9,2
certification,customUserFluid,0.2015743730049453,6,2
dataInterface,binaerDigitalOpenColl_MN,0.20148794081178245,27,7
dynamicGasMaster,dev_advMeterVerification,0.1951974979257186,3,3
certification,waveInjector,0.19308739332872493,6,3
packageFixed_dev,dynamicGasMaster,0.1858387985775316,9,3
dataInterface,binaerOpenColl_MP,0.18433275135944793,27,7
stromSchaltbar,numberOfChannels,0.17660470974920717,12,3
stromSchaltbar,binaerDigitalOpenColl_MN,0.17568347805207196,12,7
temperaturEingaenge,numberOfChannels,0.17485492617345688,10,3
dataInterface,dev_advMeterVerification,0.1659651725229816,27,3
binaerOpenColl_MP,explosionApproval,0.16477174968068953,7,5
stromSchaltbar,waveInjector,0.16003300296450496,12,3
binaerDigitalOpenColl_MN,explosionApproval,0.15938817072040723,7,5
waveInjector,powerSupply,0.1585564531260244,3,3
dataInterface,numberOfChannels,0.15470476562184743,27,3
stromSchaltbar,customUserFluid,0.152275389698052,12,2
certification,numberOfChannels,0.15219935092289116,6,3
temperaturEingaenge,waveInjector,0.14354708434296182,10,3
dynamicGasMaster,customUserFluid,0.14244217390969127,3,2
waveInjector,housing,0.14172455552299357,3,2
certification,dev_advMeterVerification,0.14071345541612734,6,3
packageFixed_dev,explosionApproval,0.137052475547911,9,5
dev_advMeterVerification,numberOfChannels,0.13206642756806086,3,3
stromEingaenge,dynamicGasMaster,0.1270305073851019,9,3
temperaturEingaenge,dynamicGasMaster,0.12653675781951446,10,3
numberOfChannels,powerSupply,0.1238151535025439,3,3
binaerOpenColl_MP,numberOfChannels,0.11313089889978545,7,3
temperaturEingaenge,binaerOpenColl_MP,0.10419646073034139,10,7
housing,numberOfChannels,0.10327683080570405,2,3
binaerOpenColl_MP,waveInjector,0.10242224649917131,7,3
binaerOpenColl_MP,certification,0.09719752116256886,7,6
stromSchaltbar,certification,0.08781628319968204,12,6
stromEingaenge,waveInjector,0.08707172186628132,9,3
dynamicGasMaster,numberOfChannels,0.08636093635196473,3,3
binaerDigitalOpenColl_MN,certification,0.0863079879796198,7,6
temperaturEingaenge,binaerDigitalOpenColl_MN,0.08316652575186056,10,7
stromSchaltbar,dev_advMeterVerification,0.08248559979535752,12,3
binaerOpenColl_MP,customUserFluid,0.0755326946924646,7,2
dataInterface,powerSupply,0.07404669051928936,27,3
binaerDigitalOpenColl_MN,waveInjector,0.07110294754117996,7,3
dataInterface,dynamicGasMaster,0.07019519067651903,27,3
binaerDigitalOpenColl_MN,numberOfChannels,0.06304354147281388,7,3
waveInjector,explosionApproval,0.056556449895732275,3,5
customUserFluid,numberOfChannels,0.055941484018926846,2,3
stromEingaenge,numberOfChannels,0.05531382644079663,9,3
stromSchaltbar,powerSupply,0.0552263157082038,12,3
certification,dynamicGasMaster,0.05167806920949891,6,3
temperaturEingaenge,powerSupply,0.04995669142104431,10,3
binaerDigitalOpenColl_MN,customUserFluid,0.048232763046929916,7,2
waveInjector,customUserFluid,0.04810891515754445,3,2
stromEingaenge,binaerDigitalOpenColl_MN,0.045591450501973,9,7
stromSchaltbar,dynamicGasMaster,0.045314737092740476,12,3
binaerDigitalOpenColl_MN,dev_advMeterVerification,0.04165302592548836,7,3
binaerOpenColl_MP,powerSupply,0.039425298621928784,7,3
explosionApproval,numberOfChannels,0.03937715032786793,5,3
dataInterface,housing,0.039324906629610634,27,2
binaerDigitalOpenColl_MN,dynamicGasMaster,0.03538791979478284,7,3
stromEingaenge,binaerOpenColl_MP,0.031520414611335035,9,7
stromSchaltbar,housing,0.030887551980032235,12,2
binaerOpenColl_MP,dev_advMeterVerification,0.030739762285076466,7,3
stromEingaenge,powerSupply,0.02718497371440609,9,3
stromSchaltbar,explosionApproval,0.025502245421543446,12,5
binaerDigitalOpenColl_MN,powerSupply,0.02509014184977465,7,3
temperaturEingaenge,housing,0.02460300565381557,10,2
dynamicGasMaster,powerSupply,0.023175811937911073,3,3
housing,dynamicGasMaster,0.020464112288343883,2,3
binaerOpenColl_MP,housing,0.019790852260437086,7,2
binaerOpenColl_MP,dynamicGasMaster,0.018278501999753116,7,3
explosionApproval,dynamicGasMaster,0.017671752051255485,5,3
customUserFluid,powerSupply,0.017426762231139037,2,3
binaerDigitalOpenColl_MN,housing,0.014595197400778748,7,2
stromEingaenge,housing,0.014202719859071955,9,2
stromEingaenge,explosionApproval,0.013298884972171798,9,5
temperaturEingaenge,explosionApproval,0.011540164390076768,10,5
explosionApproval,dev_advMeterVerification,0.01028642052283324,5,3
dev_advMeterVerification,powerSupply,0.008054818644688488,3,3
explosionApproval,customUserFluid,0.002558298274732973,5,2
housing,dev_advMeterVerification,0.0018720090998265437,2,3
housing,customUserFluid,0.0010190622294601326,2,2
