source_row,characteristic,raw_value,rule_type,parsed_values,value_count
0,OrgUnitAreaOfDocument,"in {0, 1, 2, 3}",allowed_values,0|1|2|3,4
0,packageFixed_dev,"in {NOVALUE, 'x731'}",allowed_values,NOVALUE|x731,2
0,housing,"in {'ST', 'AL'}",allowed_values,ST|AL,2
0,powerSupply,"in {'1', '4'}",allowed_values,1|4,2
0,numberOfChannels,"in {1, 2}",allowed_values,1|2,2
0,certification,"in {'NN', 'WN', 'FN'}",allowed_values,NN|WN|FN,3
0,dataInterface,"in {'NN', 'MT', 'BT'}",allowed_values,NN|MT|BT,3
0,binaerOpenColl_MP,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",allowed_values,NOVALUE|MP1|MP2|MP3|MP4,5
0,stromSchaltbar,"in {NOVALUE, 'CS1', 'CS2', 'CS3', 'CS4'}",allowed_values,NOVALUE|CS1|CS2|CS3|CS4,5
0,temperaturEingaenge," in {NOVALUE, 'TT1', 'TT2'}",allowed_values,NOVALUE|TT1|TT2,3
0,waveInjector,"in {'FWI', 'FWY', NOVALUE}",allowed_values,FWI|FWY|NOVALUE,3
0,tagPlate,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
0,dev_advMeterVerification,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
0,customUserFluid,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
1,OrgUnitAreaOfDocument,"in {0, 1, 2, 3}",allowed_values,0|1|2|3,4
1,packageFixed_dev,"in {NOVALUE, 'x731'}",allowed_values,NOVALUE|x731,2
1,housing,"in {'ST', 'AL'}",allowed_values,ST|AL,2
1,powerSupply,"in {'1', '4'}",allowed_values,1|4,2
1,numberOfChannels,"in {1, 2}",allowed_values,1|2,2
1,certification,"in {'NN', 'WN', 'FN'}",allowed_values,NN|WN|FN,3
1,dataInterface,"in {'NN', 'MT', 'BT'}",allowed_values,NN|MT|BT,3
1,binaerOpenColl_MP,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",allowed_values,NOVALUE|MP1|MP2|MP3|MP4,5
1,stromSchaltbar,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}",allowed_values,NOVALUE|CS1|CS2|CS3,4
1,temperaturEingaenge," in {NOVALUE, 'TT1', 'TT2', 'TT3', 'TT4'}",allowed_values,NOVALUE|TT1|TT2|TT3|TT4,5
1,waveInjector,"in {'FWI', 'FWY', NOVALUE}",allowed_values,FWI|FWY|NOVALUE,3
1,tagPlate,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
1,dev_advMeterVerification,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
1,customUserFluid,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
2,OrgUnitAreaOfDocument,"in {0, 1, 2, 3}",allowed_values,0|1|2|3,4
2,packageFixed_dev,"in {NOVALUE, 'x731'}",allowed_values,NOVALUE|x731,2
2,housing,"in {'ST', 'AL'}",allowed_values,ST|AL,2
2,powerSupply,"in {'1', '4'}",allowed_values,1|4,2
2,numberOfChannels,"in {1, 2}",allowed_values,1|2,2
2,certification,"in {'NN', 'WN', 'FN'}",allowed_values,NN|WN|FN,3
2,dataInterface,"in {'NN', 'MT', 'BT'}",allowed_values,NN|MT|BT,3
