evidence_source,package,characteristic_a,characteristic_b,relationship_type,observed_state,sample_size,support_rate,package_coverage,global_mi,conditional_mi,evidence_strength,action,reason
source_observed_rule,x731,x731,characteristic,package_to_characteristic,'GP',696.0,1.0,1,,,HARD_SOURCE_OBSERVED,ENFORCE,Perfect observed support with 696 observations.
source_observed_rule,x731,x731,numberOfChannels,package_to_characteristic,"in {1, 2}",696.0,1.0,1,,,HARD_SOURCE_OBSERVED,ENFORCE,Perfect observed support with 696 observations.
source_observed_rule,G731ST-LT,G731ST-LT,devCategory,package_to_characteristic,'G',133.0,1.0,1,,,HARD_SOURCE_OBSERVED,ENFORCE,Perfect observed support with 133 observations.
source_observed_rule,G731ST-LT,G731ST-LT,characteristic,package_to_characteristic,'ST',133.0,1.0,1,,,HARD_SOURCE_OBSERVED,ENFORCE,Perfect observed support with 133 observations.
source_observed_rule,G731ST-LT,G731ST-LT,housing,package_to_characteristic,"in {'ST', 'AL'}",133.0,1.0,1,,,HARD_SOURCE_OBSERVED,ENFORCE,Perfect observed support with 133 observations.
source_observed_rule,G731ST-LT,G731ST-LT,powerSupply,package_to_characteristic,"in {'1', '4'}",133.0,1.0,1,,,HARD_SOURCE_OBSERVED,ENFORCE,Perfect observed support with 133 observations.
source_observed_rule,G731ST-LT,G731ST-LT,numberOfChannels,package_to_characteristic,"in {1, 2}",133.0,1.0,1,,,HARD_SOURCE_OBSERVED,ENFORCE,Perfect observed support with 133 observations.
source_observed_rule,G731ST-HT,G731ST-HT,devCategory,package_to_characteristic,'G',133.0,1.0,1,,,HARD_SOURCE_OBSERVED,ENFORCE,Perfect observed support with 133 observations.
source_observed_rule,G731ST-HT,G731ST-HT,characteristic,package_to_characteristic,'ST',133.0,1.0,1,,,HARD_SOURCE_OBSERVED,ENFORCE,Perfect observed support with 133 observations.
source_observed_rule,G731ST-HT,G731ST-HT,housing,package_to_characteristic,"in {'ST', 'AL'}",133.0,1.0,1,,,HARD_SOURCE_OBSERVED,ENFORCE,Perfect observed support with 133 observations.
source_observed_rule,G731ST-HT,G731ST-HT,powerSupply,package_to_characteristic,"in {'1', '4'}",133.0,1.0,1,,,HARD_SOURCE_OBSERVED,ENFORCE,Perfect observed support with 133 observations.
source_observed_rule,G731ST-HT,G731ST-HT,numberOfChannels,package_to_characteristic,2,133.0,1.0,1,,,HARD_SOURCE_OBSERVED,ENFORCE,Perfect observed support with 133 observations.
source_observed_rule,F731TE,F731TE,devCategory,package_to_characteristic,'F',26.0,1.0,1,,,HARD_SOURCE_OBSERVED,ENFORCE,Perfect observed support with 26 observations.
source_observed_rule,F731TE,F731TE,characteristic,package_to_characteristic,'TE',26.0,1.0,1,,,HARD_SOURCE_OBSERVED,ENFORCE,Perfect observed support with 26 observations.
source_observed_rule,F731TE,F731TE,housing,package_to_characteristic,"in {'ST', 'AL'}",26.0,1.0,1,,,HARD_SOURCE_OBSERVED,ENFORCE,Perfect observed support with 26 observations.
source_observed_rule,F731TE,F731TE,powerSupply,package_to_characteristic,"in {'1', '4'}",26.0,1.0,1,,,HARD_SOURCE_OBSERVED,ENFORCE,Perfect observed support with 26 observations.
source_observed_rule,F731TE,F731TE,stromEingaenge,package_to_characteristic,NOVALUE,26.0,1.0,1,,,HARD_SOURCE_OBSERVED,ENFORCE,Perfect observed support with 26 observations.
source_observed_rule,G731CA,G731CA,devCategory,package_to_characteristic,'G',24.0,1.0,1,,,HARD_SOURCE_OBSERVED,ENFORCE,Perfect observed support with 24 observations.
source_observed_rule,G731CA,G731CA,characteristic,package_to_characteristic,'CA',24.0,1.0,1,,,HARD_SOURCE_OBSERVED,ENFORCE,Perfect observed support with 24 observations.
source_observed_rule,G731CA,G731CA,housing,package_to_characteristic,"in {'ST', 'AL'}",24.0,1.0,1,,,HARD_SOURCE_OBSERVED,ENFORCE,Perfect observed support with 24 observations.
source_observed_rule,G731CA,G731CA,powerSupply,package_to_characteristic,"in {'1', '4'}",24.0,1.0,1,,,HARD_SOURCE_OBSERVED,ENFORCE,Perfect observed support with 24 observations.
source_observed_rule,F731PW,F731PW,devCategory,package_to_characteristic,'F',20.0,1.0,1,,,HARD_SOURCE_OBSERVED,ENFORCE,Perfect observed support with 20 observations.
source_observed_rule,F731PW,F731PW,characteristic,package_to_characteristic,'PW',20.0,1.0,1,,,HARD_SOURCE_OBSERVED,ENFORCE,Perfect observed support with 20 observations.
source_observed_rule,F731PW,F731PW,housing,package_to_characteristic,"in {'ST', 'AL'}",20.0,1.0,1,,,HARD_SOURCE_OBSERVED,ENFORCE,Perfect observed support with 20 observations.
source_observed_rule,F731PW,F731PW,powerSupply,package_to_characteristic,"in {'1', '4'}",20.0,1.0,1,,,HARD_SOURCE_OBSERVED,ENFORCE,Perfect observed support with 20 observations.
source_observed_rule,F731PW,F731PW,numberOfChannels,package_to_characteristic,"in {1, 2}",20.0,1.0,1,,,HARD_SOURCE_OBSERVED,ENFORCE,Perfect observed support with 20 observations.
