characteristic,value,count,percentage
devCategory,G,522,49.43181818181818
devCategory,F,294,27.84090909090909
devCategory,H,120,11.363636363636363
devCategory,S,120,11.363636363636363
characteristic,GP,696,65.9090909090909
characteristic,ST,266,25.189393939393938
characteristic,TE,26,2.462121212121212
characteristic,CA,24,2.272727272727273
characteristic,WD,20,1.893939393939394
characteristic,PW,20,1.893939393939394
characteristic,VG,4,0.3787878787878788
housing,"in {'ST', 'AL'}",766,72.53787878787878
housing,ST,290,27.46212121212121
powerSupply,"in {'1', '4'}",756,71.5909090909091
powerSupply,4,290,27.46212121212121
powerSupply,1,10,0.946969696969697
numberOfChannels,"in {1, 2}",849,80.39772727272727
numberOfChannels,2,174,16.477272727272727
numberOfChannels,1,33,3.125
explosionApproval,N,342,32.38636363636363
explosionApproval,"in {'A', 'E', 'P', 'J', 'S'}",212,20.075757575757574
explosionApproval,K,212,20.075757575757574
explosionApproval,F,174,16.477272727272727
explosionApproval,A,116,10.984848484848484
protectionArea,2,714,67.61363636363636
protectionArea,N,342,32.38636363636363
certification,"in {'NN', 'WN'}",344,32.57575757575758
certification,MN,290,27.46212121212121
certification,NN,196,18.560606060606062
certification,"in {'NN', 'WN', 'FN'}",176,16.666666666666664
certification,"in {'NN', 'FN'}",40,3.787878787878788
certification,CN,10,0.946969696969697
dataInterface,HS,279,26.420454545454547
dataInterface,"in {'NN', 'PA', 'MR', 'FF', 'BM'}",260,24.62121212121212
dataInterface,NN,160,15.151515151515152
dataInterface,"in {'NN', 'MT', 'BT'}",130,12.31060606060606
dataInterface,"in {'NN', 'PA', 'MR', 'FF', 'DB', 'BM'}",96,9.090909090909092
dataInterface,"in {'NN', 'PA', 'MR', 'FF'}",48,4.545454545454546
dataInterface,"in {'NN', 'MT'}",18,1.7045454545454544
dataInterface,"in {'PA', 'MR', 'FF', 'BM', 'HS'}",10,0.946969696969697
dataInterface,"in {'NN', 'PA', 'MT', 'MR', 'FF', 'DB', 'BM', 'BT'}",8,0.7575757575757576
dataInterface,"in {'NN', 'PA', 'MR', 'FF', 'BM', 'HS'}",6,0.5681818181818182
dataInterface,"in {'PA', 'MT', 'MR', 'FF', 'DB', 'BM', 'BT'}",4,0.3787878787878788
dataInterface,"in {'NN', 'MR', 'BM', 'FF', 'PA'}",4,0.3787878787878788
dataInterface,"in {'NN', 'MR', 'BM', 'FF', 'PA', 'HS'}",4,0.3787878787878788
dataInterface,"in {'MR', 'BM', 'FF', 'PA'}",4,0.3787878787878788
dataInterface,"in {'MR', 'BM', 'FF', 'PA', 'HS'}",4,0.3787878787878788
dataInterface,"in {'MT', 'BT', 'PA', 'MR', 'FF', 'BM', 'HS'}",3,0.2840909090909091
dataInterface,"in {'MT', 'BT'}",2,0.1893939393939394
dataInterface,"in {'NN', 'PA', 'MR', 'FF', 'DB', 'BM', 'HS'}",2,0.1893939393939394
dataInterface,"in {'PA', 'MR', 'FF', 'DB', 'BM', 'HS'}",2,0.1893939393939394
dataInterface,"in {'NN', 'MT', 'BT', 'PA', 'MR', 'FF', 'DB', 'BM'}",2,0.1893939393939394
dataInterface,"in {'MT', 'BT', 'PA', 'MR', 'FF', 'DB', 'BM', 'HS'}",2,0.1893939393939394
dataInterface,"in {'NN', 'MT', 'BT', 'PA', 'MR', 'FF', 'BM'}",2,0.1893939393939394
dataInterface,"in {'NN', 'MT', 'MR'}",2,0.1893939393939394
dataInterface,"in {'NN', 'MT', 'MR', 'BM', 'BT', 'FF', 'PA'}",1,0.0946969696969697
dataInterface,"in {'NN', 'MT', 'MR', 'BM', 'BT', 'FF', 'PA', 'HS'}",1,0.0946969696969697
dataInterface,"in {'MT', 'MR', 'BM', 'BT', 'FF', 'PA'}",1,0.0946969696969697
dataInterface,"in {'MT', 'MR', 'BM', 'BT', 'FF', 'PA', 'HS'}",1,0.0946969696969697
stromSchaltbar,"in {NOVALUE, 'CS1', 'CS2'}",329,31.155303030303028
stromSchaltbar,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}",238,22.53787878787879
stromSchaltbar,"in {NOVALUE, 'CS1'}",186,17.613636363636363
stromSchaltbar,NOVALUE,164,15.530303030303031
