characteristic_a,characteristic_b,explosionApproval,certification,count,percentage,stromEingaenge,temperaturEingaenge,stromSchaltbar,housing,powerSupply,numberOfChannels,dataInterface,binaerDigitalOpenColl_MN,binaerOpenColl_MP
explosionApproval,certification,A,MN,116,10.984848484848484,,,,,,,,,
explosionApproval,certification,F,MN,58,5.492424242424242,,,,,,,,,
explosionApproval,certification,F,NN,116,10.984848484848484,,,,,,,,,
explosionApproval,certification,K,NN,40,3.787878787878788,,,,,,,,,
explosionApproval,certification,K,"in {'NN', 'WN'}",172,16.28787878787879,,,,,,,,,
explosionApproval,certification,N,CN,10,0.946969696969697,,,,,,,,,
explosionApproval,certification,N,MN,116,10.984848484848484,,,,,,,,,
explosionApproval,certification,N,"in {'NN', 'FN'}",40,3.787878787878788,,,,,,,,,
explosionApproval,certification,N,"in {'NN', 'WN', 'FN'}",176,16.666666666666664,,,,,,,,,
explosionApproval,certification,"in {'A', 'E', 'P', 'J', 'S'}",NN,40,3.787878787878788,,,,,,,,,
explosionApproval,certification,"in {'A', 'E', 'P', 'J', 'S'}","in {'NN', 'WN'}",172,16.28787878787879,,,,,,,,,
stromEingaenge,temperaturEingaenge,,,30,2.840909090909091,IS1,TT1,,,,,,,
stromEingaenge,temperaturEingaenge,,,72,6.8181818181818175,IS1,"in {'TT1', 'TT2', 'TT3'}",,,,,,,
stromEingaenge,temperaturEingaenge,,,4,0.3787878787878788,IS1,"in {'TT1', 'TT2'}",,,,,,,
stromEingaenge,temperaturEingaenge,,,2,0.1893939393939394,IS2,"in {NOVALUE, 'TT1'}",,,,,,,
stromEingaenge,temperaturEingaenge,,,60,5.681818181818182,NOVALUE,NOVALUE,,,,,,,
stromEingaenge,temperaturEingaenge,,,13,1.231060606060606,NOVALUE,TT2,,,,,,,
stromEingaenge,temperaturEingaenge,,,13,1.231060606060606,NOVALUE,"in {'TT2', 'TT4'}",,,,,,,
stromEingaenge,temperaturEingaenge,,,114,10.795454545454545,NOVALUE,"in {NOVALUE, 'TT1', 'TT2', 'TT3', 'TT4'}",,,,,,,
stromEingaenge,temperaturEingaenge,,,114,10.795454545454545,NOVALUE,"in {NOVALUE, 'TT1', 'TT2'}",,,,,,,
stromEingaenge,temperaturEingaenge,,,72,6.8181818181818175,"in {'IS1', 'IS2', 'IS3'}",TT1,,,,,,,
stromEingaenge,temperaturEingaenge,,,8,0.7575757575757576,"in {'IS1', 'IS2'}",TT1,,,,,,,
stromEingaenge,temperaturEingaenge,,,80,7.575757575757576,"in {'IS1', 'IS2'}","in {'TT1', 'TT2'}",,,,,,,
stromEingaenge,temperaturEingaenge,,,76,7.196969696969697,"in {NOVALUE, 'IS1', 'IS2', 'IS3', 'IS4'}",NOVALUE,,,,,,,
stromEingaenge,temperaturEingaenge,,,114,10.795454545454545,"in {NOVALUE, 'IS1', 'IS2', 'IS3'}","in {NOVALUE, 'TT1'}",,,,,,,
