source_row,characteristic,raw_value,rule_type,parsed_values,value_count
0,Unnamed: 0,May,fixed_value,May,1
0,OrgUnitAreaOfDocument,"in {0, 1, 2, 3}",allowed_values,0|1|2|3,4
0,marke,'flexim',fixed_value,'flexim',1
0,packageFixed_dev,"in {NOVALUE, 'x731'}",allowed_values,NOVALUE|x731,2
0,installationsart,'stationaer',fixed_value,'stationaer',1
0,devCategory,'F',fixed_value,'F',1
0,type,'731',fixed_value,'731',1
0,characteristic,'GP',fixed_value,'GP',1
0,housing,"in {'ST', 'AL'}",allowed_values,ST|AL,2
0,powerSupply,"in {'1', '4'}",allowed_values,1|4,2
0,numberOfChannels,"in {1, 2}",allowed_values,1|2,2
0,explosionApproval,'N',fixed_value,'N',1
0,protectionArea,'N',fixed_value,'N',1
0,intrinsicSafety,'N',fixed_value,'N',1
0,certification,"in {'NN', 'WN', 'FN'}",allowed_values,NN|WN|FN,3
0,dataInterface,"in {'NN', 'MT', 'BT'}",allowed_values,NN|MT|BT,3
0,binaerDigitalOptoRelay,NOVALUE,novalue,NOVALUE,1
0,binaerDigitalReedRelay,NOVALUE,novalue,NOVALUE,1
0,binaerDigitalOpenColl_MN,NOVALUE,novalue,NOVALUE,1
0,binaerDigitalOpenCollExia_MA,NOVALUE,novalue,NOVALUE,1
0,binaerOpenColl_MP,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",allowed_values,NOVALUE|MP1|MP2|MP3|MP4,5
0,binaerOpenColl_BC,NOVALUE,novalue,NOVALUE,1
0,binaerOpenColl_SC,NOVALUE,novalue,NOVALUE,1
0,binaerOpenColl30v,NOVALUE,novalue,NOVALUE,1
0,binaerOpenCollExib,NOVALUE,novalue,NOVALUE,1
0,binaerOpenCollNamur,NOVALUE,novalue,NOVALUE,1
0,binaerOptoRelay_BO,NOVALUE,novalue,NOVALUE,1
0,binaerOptoRelay_SO,NOVALUE,novalue,NOVALUE,1
0,binaerReedRelay_BR,NOVALUE,novalue,NOVALUE,1
0,binaerReedRelay_SR,NOVALUE,novalue,NOVALUE,1
0,frequenz0_5khz_FO,NOVALUE,novalue,NOVALUE,1
0,frequenz0_5khz_FC,NOVALUE,novalue,NOVALUE,1
0,frequenz0_5khzNamur,NOVALUE,novalue,NOVALUE,1
0,frequenz5_15HzExia,NOVALUE,novalue,NOVALUE,1
0,spannung0_10v,NOVALUE,novalue,NOVALUE,1
0,spannung0_1v,NOVALUE,novalue,NOVALUE,1
0,stromAktiv,NOVALUE,novalue,NOVALUE,1
0,stromAktiv24,NOVALUE,novalue,NOVALUE,1
0,stromPassiv,NOVALUE,novalue,NOVALUE,1
0,stromPassivExib,NOVALUE,novalue,NOVALUE,1
0,StromPassivExia,NOVALUE,novalue,NOVALUE,1
0,stromSchaltbar,"in {NOVALUE, 'CS1', 'CS2', 'CS3', 'CS4'}",allowed_values,NOVALUE|CS1|CS2|CS3|CS4,5
0,binaerEingaenge,NOVALUE,novalue,NOVALUE,1
0,spannungsEingaenge,NOVALUE,novalue,NOVALUE,1
0,stromEingaenge,NOVALUE,novalue,NOVALUE,1
0,stromEingaenge_passiv,NOVALUE,novalue,NOVALUE,1
0,stromEingaengeExia,NOVALUE,novalue,NOVALUE,1
0,temperaturEingaenge," in {NOVALUE, 'TT1', 'TT2'}",allowed_values,NOVALUE|TT1|TT2,3
0,temperaturEingaengeExi,NOVALUE,novalue,NOVALUE,1
0,hardwareAP,NOVALUE,novalue,NOVALUE,1
0,steamApplication,NOVALUE,novalue,NOVALUE,1
0,waveInjector,"in {'FWI', 'FWY', NOVALUE}",allowed_values,FWI|FWY|NOVALUE,3
0,tagPlate,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
0,inclusiveManual,'QI',fixed_value,'QI',1
0,powerCable,NOVALUE,novalue,NOVALUE,1
0,carryingCase,NOVALUE,novalue,NOVALUE,1
0,measuringTape,NOVALUE,novalue,NOVALUE,1
0,dev_advMeterVerification,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
0,dynamicGasMaster,NOVALUE,novalue,NOVALUE,1
0,customUserFluid,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
1,Unnamed: 0,May,fixed_value,May,1
1,OrgUnitAreaOfDocument,"in {0, 1, 2, 3}",allowed_values,0|1|2|3,4
1,marke,'flexim',fixed_value,'flexim',1
1,packageFixed_dev,"in {NOVALUE, 'x731'}",allowed_values,NOVALUE|x731,2
1,installationsart,'stationaer',fixed_value,'stationaer',1
1,devCategory,'F',fixed_value,'F',1
1,type,'731',fixed_value,'731',1
1,characteristic,'GP',fixed_value,'GP',1
1,housing,"in {'ST', 'AL'}",allowed_values,ST|AL,2
1,powerSupply,"in {'1', '4'}",allowed_values,1|4,2
1,numberOfChannels,"in {1, 2}",allowed_values,1|2,2
1,explosionApproval,'N',fixed_value,'N',1
1,protectionArea,'N',fixed_value,'N',1
1,intrinsicSafety,'N',fixed_value,'N',1
1,certification,"in {'NN', 'WN', 'FN'}",allowed_values,NN|WN|FN,3
1,dataInterface,"in {'NN', 'MT', 'BT'}",allowed_values,NN|MT|BT,3
1,binaerDigitalOptoRelay,NOVALUE,novalue,NOVALUE,1
1,binaerDigitalReedRelay,NOVALUE,novalue,NOVALUE,1
1,binaerDigitalOpenColl_MN,NOVALUE,novalue,NOVALUE,1
1,binaerDigitalOpenCollExia_MA,NOVALUE,novalue,NOVALUE,1
1,binaerOpenColl_MP,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",allowed_values,NOVALUE|MP1|MP2|MP3|MP4,5
