package,characteristic,rows,distinct_rule_states,top_state,top_state_count,top_state_percentage
"in {NOVALUE, 'x731'}",devCategory,696,4,'F',228,32.76
"in {NOVALUE, 'x731'}",characteristic,696,1,'GP',696,100.0
"in {NOVALUE, 'x731'}",housing,696,2,"in {'ST', 'AL'}",406,58.33
"in {NOVALUE, 'x731'}",powerSupply,696,2,"in {'1', '4'}",406,58.33
"in {NOVALUE, 'x731'}",numberOfChannels,696,1,"in {1, 2}",696,100.0
"in {NOVALUE, 'x731'}",explosionApproval,696,5,'N',232,33.33
"in {NOVALUE, 'x731'}",protectionArea,696,2,'2',464,66.67
"in {NOVALUE, 'x731'}",certification,696,5,'MN',290,41.67
"in {NOVALUE, 'x731'}",dataInterface,696,7,'HS',192,27.59
"in {NOVALUE, 'x731'}",stromSchaltbar,696,5,"in {NOVALUE, 'CS1', 'CS2'}",240,34.48
"in {NOVALUE, 'x731'}",stromEingaenge,696,8,NOVALUE,168,24.14
"in {NOVALUE, 'x731'}",temperaturEingaenge,696,8," in {NOVALUE, 'TT1', 'TT2'}",144,20.69
"in {NOVALUE, 'F731WD_SingleChannel'}",devCategory,8,1,'F',8,100.0
"in {NOVALUE, 'F731WD_SingleChannel'}",characteristic,8,1,'WD',8,100.0
"in {NOVALUE, 'F731WD_SingleChannel'}",housing,8,1,"in {'ST', 'AL'}",8,100.0
"in {NOVALUE, 'F731WD_SingleChannel'}",powerSupply,8,2,"in {'1', '4'}",4,50.0
"in {NOVALUE, 'F731WD_SingleChannel'}",numberOfChannels,8,1,1,8,100.0
"in {NOVALUE, 'F731WD_SingleChannel'}",explosionApproval,8,1,'N',8,100.0
"in {NOVALUE, 'F731WD_SingleChannel'}",protectionArea,8,1,'N',8,100.0
"in {NOVALUE, 'F731WD_SingleChannel'}",certification,8,2,"in {'NN', 'WN', 'FN'}",4,50.0
"in {NOVALUE, 'F731WD_SingleChannel'}",dataInterface,8,3,'HS',4,50.0
"in {NOVALUE, 'F731WD_SingleChannel'}",stromSchaltbar,8,2,'CS2',4,50.0
"in {NOVALUE, 'F731WD_SingleChannel'}",stromEingaenge,8,2,"in {NOVALUE, 'IS1', 'IS2'}",4,50.0
"in {NOVALUE, 'F731WD_SingleChannel'}",temperaturEingaenge,8,1,NOVALUE,8,100.0
"in {NOVALUE, 'F731WD_DualChannel'}",devCategory,12,1,'F',12,100.0
"in {NOVALUE, 'F731WD_DualChannel'}",characteristic,12,1,'WD',12,100.0
"in {NOVALUE, 'F731WD_DualChannel'}",housing,12,1,"in {'ST', 'AL'}",12,100.0
"in {NOVALUE, 'F731WD_DualChannel'}",powerSupply,12,2,"in {'1', '4'}",6,50.0
"in {NOVALUE, 'F731WD_DualChannel'}",numberOfChannels,12,1,2,12,100.0
"in {NOVALUE, 'F731WD_DualChannel'}",explosionApproval,12,1,'N',12,100.0
"in {NOVALUE, 'F731WD_DualChannel'}",protectionArea,12,1,'N',12,100.0
"in {NOVALUE, 'F731WD_DualChannel'}",certification,12,2,"in {'NN', 'WN', 'FN'}",6,50.0
"in {NOVALUE, 'F731WD_DualChannel'}",dataInterface,12,3,"in {'NN', 'PA', 'MT', 'MR', 'FF', 'DB', 'BM', 'BT'}",6,50.0
"in {NOVALUE, 'F731WD_DualChannel'}",stromSchaltbar,12,4,'CS2',4,33.33
"in {NOVALUE, 'F731WD_DualChannel'}",stromEingaenge,12,3,"in {NOVALUE, 'IS1'}",6,50.0
"in {NOVALUE, 'F731WD_DualChannel'}",temperaturEingaenge,12,1,NOVALUE,12,100.0
"in {NOVALUE, 'F731TE'}",devCategory,26,1,'F',26,100.0
"in {NOVALUE, 'F731TE'}",characteristic,26,1,'TE',26,100.0
"in {NOVALUE, 'F731TE'}",housing,26,1,"in {'ST', 'AL'}",26,100.0
"in {NOVALUE, 'F731TE'}",powerSupply,26,1,"in {'1', '4'}",26,100.0
"in {NOVALUE, 'F731TE'}",numberOfChannels,26,2,1,13,50.0
"in {NOVALUE, 'F731TE'}",explosionApproval,26,4,'N',8,30.77
"in {NOVALUE, 'F731TE'}",protectionArea,26,2,'2',18,69.23
"in {NOVALUE, 'F731TE'}",certification,26,3,"in {'NN', 'WN'}",12,46.15
"in {NOVALUE, 'F731TE'}",dataInterface,26,7,"in {'NN', 'PA', 'MR', 'FF', 'BM', 'HS'}",6,23.08
"in {NOVALUE, 'F731TE'}",stromSchaltbar,26,4,NOVALUE,10,38.46
"in {NOVALUE, 'F731TE'}",stromEingaenge,26,1,NOVALUE,26,100.0
"in {NOVALUE, 'F731TE'}",temperaturEingaenge,26,2,'TT2',13,50.0
"in {NOVALUE, 'G731CA'}",devCategory,24,1,'G',24,100.0
"in {NOVALUE, 'G731CA'}",characteristic,24,1,'CA',24,100.0
"in {NOVALUE, 'G731CA'}",housing,24,1,"in {'ST', 'AL'}",24,100.0
"in {NOVALUE, 'G731CA'}",powerSupply,24,1,"in {'1', '4'}",24,100.0
"in {NOVALUE, 'G731CA'}",numberOfChannels,24,2,1,12,50.0
"in {NOVALUE, 'G731CA'}",explosionApproval,24,4,'N',6,25.0
"in {NOVALUE, 'G731CA'}",protectionArea,24,2,'2',18,75.0
"in {NOVALUE, 'G731CA'}",certification,24,3,"in {'NN', 'WN'}",12,50.0
"in {NOVALUE, 'G731CA'}",dataInterface,24,7,'HS',7,29.17
"in {NOVALUE, 'G731CA'}",stromSchaltbar,24,2,'CS2',16,66.67
"in {NOVALUE, 'G731CA'}",stromEingaenge,24,2," in {'IS1', 'IS2'}",16,66.67
"in {NOVALUE, 'G731CA'}",temperaturEingaenge,24,2,'TT1',12,50.0
"in {NOVALUE, 'G731ST-LT'}",devCategory,133,1,'G',133,100.0
"in {NOVALUE, 'G731ST-LT'}",characteristic,133,1,'ST',133,100.0
"in {NOVALUE, 'G731ST-LT'}",housing,133,1,"in {'ST', 'AL'}",133,100.0
"in {NOVALUE, 'G731ST-LT'}",powerSupply,133,1,"in {'1', '4'}",133,100.0
"in {NOVALUE, 'G731ST-LT'}",numberOfChannels,133,1,"in {1, 2}",133,100.0
"in {NOVALUE, 'G731ST-LT'}",explosionApproval,133,4,'N',38,28.57
"in {NOVALUE, 'G731ST-LT'}",protectionArea,133,2,'2',95,71.43
"in {NOVALUE, 'G731ST-LT'}",certification,133,3,"in {'NN', 'WN'}",76,57.14
"in {NOVALUE, 'G731ST-LT'}",dataInterface,133,5,"in {'NN', 'PA', 'MR', 'FF', 'BM'}",40,30.08
"in {NOVALUE, 'G731ST-LT'}",stromSchaltbar,133,5,"in {NOVALUE, 'CS1', 'CS2'}",42,31.58
"in {NOVALUE, 'G731ST-LT'}",stromEingaenge,133,5,NOVALUE,49,36.84
"in {NOVALUE, 'G731ST-LT'}",temperaturEingaenge,133,5," in {NOVALUE, 'TT1', 'TT2'}",42,31.58
"in {NOVALUE, 'G731ST-HT'}",devCategory,133,1,'G',133,100.0
"in {NOVALUE, 'G731ST-HT'}",characteristic,133,1,'ST',133,100.0
"in {NOVALUE, 'G731ST-HT'}",housing,133,1,"in {'ST', 'AL'}",133,100.0
"in {NOVALUE, 'G731ST-HT'}",powerSupply,133,1,"in {'1', '4'}",133,100.0
"in {NOVALUE, 'G731ST-HT'}",numberOfChannels,133,1,2,133,100.0
"in {NOVALUE, 'G731ST-HT'}",explosionApproval,133,4,'N',38,28.57
"in {NOVALUE, 'G731ST-HT'}",protectionArea,133,2,'2',95,71.43
"in {NOVALUE, 'G731ST-HT'}",certification,133,3,"in {'NN', 'WN'}",76,57.14
"in {NOVALUE, 'G731ST-HT'}",dataInterface,133,5,"in {'NN', 'PA', 'MR', 'FF', 'BM'}",40,30.08
"in {NOVALUE, 'G731ST-HT'}",stromSchaltbar,133,5,"in {NOVALUE, 'CS1', 'CS2'}",42,31.58
"in {NOVALUE, 'G731ST-HT'}",stromEingaenge,133,5,NOVALUE,49,36.84
"in {NOVALUE, 'G731ST-HT'}",temperaturEingaenge,133,5," in {NOVALUE, 'TT1', 'TT2'}",42,31.58
"in {NOVALUE, 'G731VG'}",devCategory,4,1,'G',4,100.0
"in {NOVALUE, 'G731VG'}",characteristic,4,1,'VG',4,100.0
"in {NOVALUE, 'G731VG'}",housing,4,1,"in {'ST', 'AL'}",4,100.0
