package,characteristic,value,count,package_size,percentage
"in {NOVALUE, 'F731PW'}",devCategory,F,20,20,100.0
"in {NOVALUE, 'F731PW'}",characteristic,PW,20,20,100.0
"in {NOVALUE, 'F731PW'}",housing,"in {'ST', 'AL'}",20,20,100.0
"in {NOVALUE, 'F731PW'}",powerSupply,"in {'1', '4'}",20,20,100.0
"in {NOVALUE, 'F731PW'}",numberOfChannels,"in {1, 2}",20,20,100.0
"in {NOVALUE, 'F731PW'}",explosionApproval,"in {'A', 'E', 'P', 'J', 'S'}",8,20,40.0
"in {NOVALUE, 'F731PW'}",explosionApproval,K,8,20,40.0
"in {NOVALUE, 'F731PW'}",explosionApproval,F,4,20,20.0
"in {NOVALUE, 'F731PW'}",protectionArea,2,20,20,100.0
"in {NOVALUE, 'F731PW'}",certification,"in {'NN', 'WN'}",16,20,80.0
"in {NOVALUE, 'F731PW'}",certification,NN,4,20,20.0
"in {NOVALUE, 'F731PW'}",dataInterface,"in {'NN', 'MR', 'BM', 'FF', 'PA'}",4,20,20.0
"in {NOVALUE, 'F731PW'}",dataInterface,"in {'NN', 'MR', 'BM', 'FF', 'PA', 'HS'}",4,20,20.0
"in {NOVALUE, 'F731PW'}",dataInterface,"in {'MR', 'BM', 'FF', 'PA'}",4,20,20.0
"in {NOVALUE, 'F731PW'}",dataInterface,"in {'MR', 'BM', 'FF', 'PA', 'HS'}",4,20,20.0
"in {NOVALUE, 'F731PW'}",dataInterface,"in {'NN', 'MT', 'MR', 'BM', 'BT', 'FF', 'PA'}",1,20,5.0
"in {NOVALUE, 'F731PW'}",dataInterface,"in {'NN', 'MT', 'MR', 'BM', 'BT', 'FF', 'PA', 'HS'}",1,20,5.0
"in {NOVALUE, 'F731PW'}",dataInterface,"in {'MT', 'MR', 'BM', 'BT', 'FF', 'PA'}",1,20,5.0
"in {NOVALUE, 'F731PW'}",dataInterface,"in {'MT', 'MR', 'BM', 'BT', 'FF', 'PA', 'HS'}",1,20,5.0
"in {NOVALUE, 'F731PW'}",stromSchaltbar,"in {'CS1', 'CS2', 'CS4'}",5,20,25.0
"in {NOVALUE, 'F731PW'}",stromSchaltbar,"in {'CS1', 'CS2'}",5,20,25.0
