characteristic,value,real_probability,synthetic_probability,absolute_difference
devCategory,F,0.2784090909090909,0.3184,0.03999090909090913
devCategory,G,0.4943181818181818,0.6056,0.1112818181818182
devCategory,H,0.11363636363636363,0.039,0.07463636363636364
devCategory,S,0.11363636363636363,0.037,0.07663636363636364
characteristic,CA,0.022727272727272728,0.0116,0.011127272727272729
characteristic,GP,0.6590909090909091,0.7894,0.13030909090909093
characteristic,PW,0.01893939393939394,0.009,0.00993939393939394
characteristic,ST,0.2518939393939394,0.1702,0.0816939393939394
characteristic,TE,0.02462121212121212,0.0086,0.01602121212121212
characteristic,VG,0.003787878787878788,0.0,0.003787878787878788
characteristic,WD,0.01893939393939394,0.0112,0.00773939393939394
housing,ST,1.0,1.0,0.0
powerSupply,1,0.7253787878787878,0.5454,0.17997878787878785
powerSupply,4,0.2746212121212121,0.4546,0.1799787878787879
numberOfChannels,1,0.8352272727272727,0.891,0.05577272727272731
numberOfChannels,2,0.16477272727272727,0.109,0.055772727272727265
explosionApproval,A,0.3106060606060606,0.3554,0.044793939393939386
explosionApproval,F,0.16477272727272727,0.1694,0.00462727272727273
explosionApproval,K,0.20075757575757575,0.1638,0.036957575757575745
explosionApproval,N,0.32386363636363635,0.3114,0.012463636363636343
protectionArea,2,0.6761363636363636,0.6886,0.012463636363636343
protectionArea,N,0.32386363636363635,0.3114,0.012463636363636343
certification,CN,0.00946969696969697,0.005,0.00446969696969697
certification,MN,0.2746212121212121,0.234,0.040621212121212086
certification,NN,0.7159090909090909,0.761,0.04509090909090907
dataInterface,HS,0.26420454545454547,0.3518,0.08759545454545453
dataInterface,MR,0.007575757575757576,0.0056,0.001975757575757576
dataInterface,MT,0.008522727272727272,0.0032,0.005322727272727272
dataInterface,NN,0.7045454545454546,0.6182,0.08634545454545461
dataInterface,PA,0.015151515151515152,0.0212,0.006048484848484848
stromSchaltbar,CS1,0.8001893939393939,0.6984,0.1017893939393939
stromSchaltbar,CS2,0.04450757575757576,0.0254,0.01910757575757576
stromSchaltbar,NOVALUE,0.1553030303030303,0.2762,0.1208969696969697
stromEingaenge,IS1,0.7007575757575758,0.734,0.033242424242424184
stromEingaenge,IS2,0.001893939393939394,0.0,0.001893939393939394
stromEingaenge,NOVALUE,0.29734848484848486,0.266,0.03134848484848485
temperaturEingaenge,NOVALUE,0.14583333333333334,0.3584,0.21256666666666665
temperaturEingaenge,TT1,0.8295454545454546,0.633,0.19654545454545458
temperaturEingaenge,TT2,0.02462121212121212,0.0086,0.01602121212121212
binaerDigitalOpenColl_MN,MN1,0.5284090909090909,0.566,0.03759090909090901
binaerDigitalOpenColl_MN,MN2,0.015151515151515152,0.0064,0.008751515151515152
binaerDigitalOpenColl_MN,MN4,0.007575757575757576,0.0042,0.0033757575757575762
binaerDigitalOpenColl_MN,NOVALUE,0.44886363636363635,0.4234,0.025463636363636355
binaerOpenColl_MP,MP1,0.38257575757575757,0.3936,0.011024242424242436
binaerOpenColl_MP,MP2,0.007575757575757576,0.0026,0.004975757575757576
binaerOpenColl_MP,MP4,0.03409090909090909,0.0212,0.012890909090909088
binaerOpenColl_MP,NOVALUE,0.5757575757575758,0.5826,0.0068424242424242054
waveInjector,FWI,0.7850378787878788,0.8792,0.0941621212121212
waveInjector,NOVALUE,0.21496212121212122,0.1208,0.09416212121212121
dev_advMeterVerification,1,0.646780303030303,0.5992,0.04758030303030303
dev_advMeterVerification,NOVALUE,0.35321969696969696,0.4008,0.04758030303030303
dynamicGasMaster,1,0.2196969696969697,0.2588,0.03910303030303028
dynamicGasMaster,NOVALUE,0.7803030303030303,0.7412,0.039103030303030306
customUserFluid,1,0.6837121212121212,0.6446,0.039112121212121265
customUserFluid,NOVALUE,0.3162878787878788,0.3554,0.03911212121212121
steamApplication,H,0.1259469696969697,0.0898,0.03614696969696969
steamApplication,N,0.1259469696969697,0.0804,0.0455469696969697
steamApplication,NOVALUE,0.7481060606060606,0.8298,0.08169393939393943
