characteristic,phrase,occurrence_count,unique_rfqs,internal_value_count,value_variants,characteristic_evidence_score,evidence_level
binaerDigitalOpenColl_MN,digital,1967,1967,1,MN1,983.5,VERY_STRONG
binaerDigitalOpenColl_MN,input,1967,1967,1,MN1,983.5,VERY_STRONG
binaerDigitalOpenColl_MN,a digital,1014,1014,1,MN1,507.0,VERY_STRONG
binaerDigitalOpenColl_MN,a digital open-collector,1014,1014,1,MN1,507.0,VERY_STRONG
binaerDigitalOpenColl_MN,a digital open-collector input,1014,1014,1,MN1,507.0,VERY_STRONG
binaerDigitalOpenColl_MN,digital open-collector,1014,1014,1,MN1,507.0,VERY_STRONG
binaerDigitalOpenColl_MN,digital open-collector input,1014,1014,1,MN1,507.0,VERY_STRONG
binaerDigitalOpenColl_MN,open-collector,1014,1014,1,MN1,507.0,VERY_STRONG
binaerDigitalOpenColl_MN,open-collector input,1014,1014,1,MN1,507.0,VERY_STRONG
binaerDigitalOpenColl_MN,digital signal,953,953,1,MN1,476.5,VERY_STRONG
binaerDigitalOpenColl_MN,digital signal input,953,953,1,MN1,476.5,VERY_STRONG
binaerDigitalOpenColl_MN,digital signal input capability,953,953,1,MN1,476.5,VERY_STRONG
binaerDigitalOpenColl_MN,input capability,953,953,1,MN1,476.5,VERY_STRONG
binaerDigitalOpenColl_MN,signal,953,953,1,MN1,476.5,VERY_STRONG
binaerDigitalOpenColl_MN,signal input,953,953,1,MN1,476.5,VERY_STRONG
binaerDigitalOpenColl_MN,signal input capability,953,953,1,MN1,476.5,VERY_STRONG
binaerDigitalOpenColl_MN,we would,512,512,3,MN1|MN2|MN4,128.0,VERY_STRONG
binaerDigitalOpenColl_MN,would,512,512,3,MN1|MN2|MN4,128.0,VERY_STRONG
binaerDigitalOpenColl_MN,provide a digital,243,243,1,MN1,121.5,VERY_STRONG
binaerDigitalOpenColl_MN,provide a digital open-collector,243,243,1,MN1,121.5,VERY_STRONG
binaerDigitalOpenColl_MN,provide a digital open-collector input,243,243,1,MN1,121.5,VERY_STRONG
binaerDigitalOpenColl_MN,provide digital,231,231,1,MN1,115.5,VERY_STRONG
binaerDigitalOpenColl_MN,provide digital signal,231,231,1,MN1,115.5,VERY_STRONG
binaerDigitalOpenColl_MN,provide digital signal input,231,231,1,MN1,115.5,VERY_STRONG
binaerDigitalOpenColl_MN,provide digital signal input capability,231,231,1,MN1,115.5,VERY_STRONG
binaerDigitalOpenColl_MN,required to support a digital,149,149,1,MN1,74.5,VERY_STRONG
binaerDigitalOpenColl_MN,support a digital,149,149,1,MN1,74.5,VERY_STRONG
binaerDigitalOpenColl_MN,support a digital open-collector,149,149,1,MN1,74.5,VERY_STRONG
binaerDigitalOpenColl_MN,support a digital open-collector input,149,149,1,MN1,74.5,VERY_STRONG
binaerDigitalOpenColl_MN,to support a digital,149,149,1,MN1,74.5,VERY_STRONG
binaerDigitalOpenColl_MN,to support a digital open-collector,149,149,1,MN1,74.5,VERY_STRONG
binaerDigitalOpenColl_MN,we require,285,285,3,MN1|MN2|MN4,71.25,VERY_STRONG
binaerDigitalOpenColl_MN,application,284,284,3,MN1|MN2|MN4,71.0,VERY_STRONG
binaerDigitalOpenColl_MN,application requires,284,284,3,MN1|MN2|MN4,71.0,VERY_STRONG
binaerDigitalOpenColl_MN,available,284,284,3,MN1|MN2|MN4,71.0,VERY_STRONG
binaerDigitalOpenColl_MN,available we,284,284,3,MN1|MN2|MN4,71.0,VERY_STRONG
binaerDigitalOpenColl_MN,available we would,284,284,3,MN1|MN2|MN4,71.0,VERY_STRONG
binaerDigitalOpenColl_MN,available we would like,284,284,3,MN1|MN2|MN4,71.0,VERY_STRONG
binaerDigitalOpenColl_MN,like,284,284,3,MN1|MN2|MN4,71.0,VERY_STRONG
binaerDigitalOpenColl_MN,the application,284,284,3,MN1|MN2|MN4,71.0,VERY_STRONG
binaerDigitalOpenColl_MN,the application requires,284,284,3,MN1|MN2|MN4,71.0,VERY_STRONG
binaerDigitalOpenColl_MN,we would like,284,284,3,MN1|MN2|MN4,71.0,VERY_STRONG
binaerDigitalOpenColl_MN,where,284,284,3,MN1|MN2|MN4,71.0,VERY_STRONG
binaerDigitalOpenColl_MN,where available,284,284,3,MN1|MN2|MN4,71.0,VERY_STRONG
binaerDigitalOpenColl_MN,where available we,284,284,3,MN1|MN2|MN4,71.0,VERY_STRONG
binaerDigitalOpenColl_MN,where available we would,284,284,3,MN1|MN2|MN4,71.0,VERY_STRONG
binaerDigitalOpenColl_MN,where available we would like,284,284,3,MN1|MN2|MN4,71.0,VERY_STRONG
binaerDigitalOpenColl_MN,would like,284,284,3,MN1|MN2|MN4,71.0,VERY_STRONG
binaerDigitalOpenColl_MN,require a digital,141,141,1,MN1,70.5,VERY_STRONG
binaerDigitalOpenColl_MN,require a digital open-collector,141,141,1,MN1,70.5,VERY_STRONG
binaerDigitalOpenColl_MN,require a digital open-collector input,141,141,1,MN1,70.5,VERY_STRONG
binaerDigitalOpenColl_MN,we require a,141,141,1,MN1,70.5,VERY_STRONG
binaerDigitalOpenColl_MN,we require a digital,141,141,1,MN1,70.5,VERY_STRONG
