characteristic,true_positives,false_positives,false_negatives,precision,recall,f1
binaerDigitalOpenColl_MN,2067,7842,83,0.20859824402058735,0.9613953488372093,0.3428144953976283
binaerOpenColl_MP,1915,8001,35,0.19312222670431625,0.982051282051282,0.3227709421877633
certification,4998,9085,2,0.354895973869204,0.9996,0.5238170099041032
characteristic,4944,14605,56,0.2529029617883268,0.9888,0.4027862642062813
customUserFluid,3057,1943,0,0.6114,1.0,0.7588432419014521
dataInterface,4689,5813,311,0.44648638354599124,0.9378,0.6049541994581344
devCategory,4817,9664,183,0.3326427732891375,0.9634,0.4945331348493404
dev_advMeterVerification,3395,1605,0,0.679,1.0,0.8088147706968434
dynamicGasMaster,1060,3940,0,0.212,1.0,0.34983498349834985
explosionApproval,4985,13951,15,0.26325517532741866,0.997,0.4165274064171123
housing,5000,0,0,1.0,1.0,1.0
numberOfChannels,5000,1434,0,0.777121541809139,1.0,0.8745845723281441
powerSupply,4962,2470,38,0.6676533907427341,0.9924,0.7982625482625482
protectionArea,5000,4989,0,0.5005506056662329,1.0,0.6671559143371807
steamApplication,1147,8791,6,0.11541557657476353,0.99479618386817,0.20683437021008025
stromEingaenge,2878,2160,8,0.5712584358872569,0.9972279972279973,0.7264008076728925
stromSchaltbar,3041,5473,16,0.3571764153159502,0.9947661105659142,0.5256244058421916
temperaturEingaenge,3257,2130,9,0.6046036755151291,0.9972443355786895,0.7528024962440772
waveInjector,3504,1496,0,0.7008,1.0,0.824082784571966
