characteristic,threshold,precision,recall,f1,tp,fp,fn
customUserFluid,1.3,1.0,1.0,1.0,3057,0,0
housing,0.2,1.0,1.0,1.0,5000,0,0
stromSchaltbar,1.2,0.9911678115799804,0.9911678115799804,0.9911678115799804,3030,27,27
numberOfChannels,1.1,0.9811616954474097,1.0,0.9904912836767037,5000,96,0
powerSupply,1.5,0.9886,0.9886,0.9886,4943,57,57
stromEingaenge,1.5,0.9596262929596263,0.9965349965349966,0.9777324494305627,2876,121,10
dev_advMeterVerification,1.5,0.9499160604364857,1.0,0.9743148227866265,3395,179,0
characteristic,1.3,0.9997801714662563,0.9096,0.9525604775369149,4548,1,452
binaerDigitalOpenColl_MN,1.4,0.9244186046511628,0.9613953488372093,0.9425444596443229,2067,169,83
protectionArea,1.3,1.0,0.8244,0.9037491778118834,4122,0,878
waveInjector,1.2,0.8415446071904128,0.9018264840182648,0.8706433393029342,3160,595,344
dynamicGasMaster,1.1,0.7118871725990598,1.0,0.8316987053746566,1060,429,0
temperaturEingaenge,1.2,0.7377647918188459,0.9277403551745255,0.8219178082191781,3030,1077,236
certification,0.3,0.8181637913940115,0.8252,0.821666832619735,4126,917,874
binaerOpenColl_MP,1.2,0.6493726687012547,0.982051282051282,0.7817922024903041,1915,1034,35
explosionApproval,1.5,0.6654141224361986,0.85,0.7464652674102047,4250,2137,750
dataInterface,1.3,0.891850135187331,0.4618,0.6085123204638292,2309,280,2691
steamApplication,0.2,0.4787510841283608,0.4787510841283608,0.4787510841283608,552,601,601
devCategory,0.9,0.589041095890411,0.0602,0.10923607330792959,301,210,4699
