characteristic,true_positive,false_positive,false_negative,precision,recall,f1
customUserFluid,3057,0,0,1.0,1.0,1.0
housing,5000,0,0,1.0,1.0,1.0
stromSchaltbar,3030,27,27,0.9911678115799804,0.9911678115799804,0.9911678115799804
numberOfChannels,5000,96,0,0.9811616954474097,1.0,0.9904912836767037
powerSupply,4943,57,57,0.9886,0.9886,0.9886
stromEingaenge,2876,121,10,0.9596262929596263,0.9965349965349966,0.9777324494305627
dev_advMeterVerification,3395,179,0,0.9499160604364857,1.0,0.9743148227866265
characteristic,4548,1,452,0.9997801714662563,0.9096,0.9525604775369149
devCategory,4607,135,393,0.9715309995782371,0.9214,0.9458016834325601
binaerDigitalOpenColl_MN,2067,169,83,0.9244186046511628,0.9613953488372093,0.9425444596443229
protectionArea,4122,0,878,1.0,0.8244,0.9037491778118834
waveInjector,3160,595,344,0.8415446071904128,0.9018264840182648,0.8706433393029342
dynamicGasMaster,1060,429,0,0.7118871725990598,1.0,0.8316987053746566
temperaturEingaenge,3030,1077,236,0.7377647918188459,0.9277403551745255,0.8219178082191781
certification,4126,917,874,0.8181637913940115,0.8252,0.821666832619735
binaerOpenColl_MP,1915,1034,35,0.6493726687012547,0.982051282051282,0.7817922024903041
dataInterface,3002,0,1998,1.0,0.6004,0.7503124218945264
explosionApproval,4250,2137,750,0.6654141224361986,0.85,0.7464652674102047
steamApplication,0,0,1153,0.0,0.0,0.0
