characteristic,precision,recall,f1,true_positive,false_positive,false_negative
binaerDigitalOpenColl_MN,0.9623992837958818,1.0,0.9808394160583941,2150,84,0
binaerOpenColl_MP,0.6666666666666666,1.0,0.8,1950,975,0
certification,1.0,1.0,1.0,5000,0,0
characteristic,1.0,0.9098,0.9527699235522044,4549,0,451
customUserFluid,1.0,1.0,1.0,3057,0,0
dataInterface,1.0,0.6004,0.7503124218945264,3002,0,1998
devCategory,1.0,0.9248,0.9609310058187864,4624,0,376
dev_advMeterVerification,0.9499160604364857,1.0,0.9743148227866265,3395,179,0
dynamicGasMaster,0.7118871725990598,1.0,0.8316987053746566,1060,429,0
explosionApproval,1.0,0.9766,0.9881614894262877,4883,0,117
housing,1.0,1.0,1.0,5000,0,0
numberOfChannels,1.0,1.0,1.0,5000,0,0
powerSupply,1.0,1.0,1.0,5000,0,0
protectionArea,1.0,0.8244,0.9037491778118834,4122,0,878
steamApplication,1.0,1.0,1.0,1153,0,0
stromEingaenge,0.95995995995996,0.9968814968814969,0.9780724120346761,2877,120,9
stromSchaltbar,1.0,1.0,1.0,3057,0,0
temperaturEingaenge,0.7687642153146323,0.9314145744029394,0.8423092897687942,3042,915,224
waveInjector,0.8415446071904128,0.9018264840182648,0.8706433393029342,3160,595,344
