mode,package_aware,characteristic,true_positive,false_positive,false_negative,precision,recall,f1
ORACLE,False,devCategory,5000,0,0,1.0,1.0,1.0
ORACLE,False,characteristic,5000,0,0,1.0,1.0,1.0
ORACLE,False,housing,5000,0,0,1.0,1.0,1.0
ORACLE,False,powerSupply,5000,0,0,1.0,1.0,1.0
ORACLE,False,numberOfChannels,5000,0,0,1.0,1.0,1.0
ORACLE,False,explosionApproval,5000,0,0,1.0,1.0,1.0
ORACLE,False,protectionArea,5000,0,0,1.0,1.0,1.0
ORACLE,False,certification,5000,0,0,1.0,1.0,1.0
ORACLE,False,dataInterface,5000,0,0,1.0,1.0,1.0
ORACLE,False,stromSchaltbar,3057,0,0,1.0,1.0,1.0
ORACLE,False,stromEingaenge,2886,0,0,1.0,1.0,1.0
ORACLE,False,temperaturEingaenge,3266,0,0,1.0,1.0,1.0
ORACLE,False,binaerDigitalOpenColl_MN,2150,0,0,1.0,1.0,1.0
ORACLE,False,binaerOpenColl_MP,1950,0,0,1.0,1.0,1.0
ORACLE,False,waveInjector,3504,0,0,1.0,1.0,1.0
ORACLE,False,dev_advMeterVerification,3395,0,0,1.0,1.0,1.0
ORACLE,False,dynamicGasMaster,1060,0,0,1.0,1.0,1.0
ORACLE,False,customUserFluid,3057,0,0,1.0,1.0,1.0
ORACLE,False,steamApplication,1153,0,0,1.0,1.0,1.0
ORACLE,True,devCategory,5000,0,0,1.0,1.0,1.0
ORACLE,True,characteristic,5000,0,0,1.0,1.0,1.0
ORACLE,True,housing,5000,0,0,1.0,1.0,1.0
ORACLE,True,powerSupply,5000,0,0,1.0,1.0,1.0
ORACLE,True,numberOfChannels,5000,0,0,1.0,1.0,1.0
ORACLE,True,explosionApproval,5000,0,0,1.0,1.0,1.0
ORACLE,True,protectionArea,5000,0,0,1.0,1.0,1.0
ORACLE,True,certification,5000,0,0,1.0,1.0,1.0
ORACLE,True,dataInterface,5000,0,0,1.0,1.0,1.0
ORACLE,True,stromSchaltbar,3057,0,0,1.0,1.0,1.0
ORACLE,True,stromEingaenge,2886,0,0,1.0,1.0,1.0
ORACLE,True,temperaturEingaenge,3266,0,0,1.0,1.0,1.0
ORACLE,True,binaerDigitalOpenColl_MN,2150,0,0,1.0,1.0,1.0
ORACLE,True,binaerOpenColl_MP,1950,0,0,1.0,1.0,1.0
ORACLE,True,waveInjector,3504,0,0,1.0,1.0,1.0
ORACLE,True,dev_advMeterVerification,3395,0,0,1.0,1.0,1.0
ORACLE,True,dynamicGasMaster,1060,0,0,1.0,1.0,1.0
ORACLE,True,customUserFluid,3057,0,0,1.0,1.0,1.0
ORACLE,True,steamApplication,1153,0,0,1.0,1.0,1.0
V8_EXTRACTED,False,devCategory,4467,533,533,0.8934,0.8934,0.8934
V8_EXTRACTED,False,characteristic,4852,148,148,0.9704,0.9704,0.9704
V8_EXTRACTED,False,housing,5000,0,0,1.0,1.0,1.0
V8_EXTRACTED,False,powerSupply,4951,49,49,0.9902,0.9902,0.9902
V8_EXTRACTED,False,numberOfChannels,4980,20,20,0.996,0.996,0.996
V8_EXTRACTED,False,explosionApproval,4323,677,677,0.8646,0.8646,0.8646
V8_EXTRACTED,False,protectionArea,4746,254,254,0.9492,0.9492,0.9492
V8_EXTRACTED,False,certification,4750,250,250,0.95,0.95,0.9500000000000001
V8_EXTRACTED,False,dataInterface,3904,1096,1096,0.7808,0.7808,0.7808
V8_EXTRACTED,False,stromSchaltbar,3031,26,26,0.9914949296696107,0.9914949296696107,0.9914949296696107
V8_EXTRACTED,False,stromEingaenge,2870,16,16,0.9944559944559944,0.9944559944559944,0.9944559944559944
V8_EXTRACTED,False,temperaturEingaenge,3194,72,72,0.9779546846295162,0.9779546846295162,0.9779546846295162
V8_EXTRACTED,False,binaerDigitalOpenColl_MN,1306,844,844,0.6074418604651163,0.6074418604651163,0.6074418604651163
V8_EXTRACTED,False,binaerOpenColl_MP,1911,39,39,0.98,0.98,0.98
V8_EXTRACTED,False,waveInjector,3502,2,2,0.9994292237442922,0.9994292237442922,0.9994292237442922
V8_EXTRACTED,False,dev_advMeterVerification,3385,10,10,0.9970544918998527,0.9970544918998527,0.9970544918998527
V8_EXTRACTED,False,dynamicGasMaster,1060,0,0,1.0,1.0,1.0
V8_EXTRACTED,False,customUserFluid,3056,1,1,0.9996728819103696,0.9996728819103696,0.9996728819103696
V8_EXTRACTED,False,steamApplication,1134,19,19,0.9835212489158717,0.9835212489158717,0.9835212489158717
V8_EXTRACTED,True,devCategory,4472,528,528,0.8944,0.8944,0.8944
V8_EXTRACTED,True,characteristic,5000,0,0,1.0,1.0,1.0
V8_EXTRACTED,True,housing,5000,0,0,1.0,1.0,1.0
V8_EXTRACTED,True,powerSupply,4953,47,47,0.9906,0.9906,0.9906
V8_EXTRACTED,True,numberOfChannels,5000,0,0,1.0,1.0,1.0
V8_EXTRACTED,True,explosionApproval,4283,717,717,0.8566,0.8566,0.8566
V8_EXTRACTED,True,protectionArea,4746,254,254,0.9492,0.9492,0.9492
V8_EXTRACTED,True,certification,4751,249,249,0.9502,0.9502,0.9502
V8_EXTRACTED,True,dataInterface,3930,1070,1070,0.786,0.786,0.786
V8_EXTRACTED,True,stromSchaltbar,3049,8,8,0.9973830552829571,0.9973830552829571,0.9973830552829571
V8_EXTRACTED,True,stromEingaenge,2872,14,14,0.9951489951489951,0.9951489951489951,0.9951489951489951
V8_EXTRACTED,True,temperaturEingaenge,3204,62,62,0.9810165339865279,0.9810165339865279,0.9810165339865279
V8_EXTRACTED,True,binaerDigitalOpenColl_MN,1306,844,844,0.6074418604651163,0.6074418604651163,0.6074418604651163
V8_EXTRACTED,True,binaerOpenColl_MP,1911,39,39,0.98,0.98,0.98
V8_EXTRACTED,True,waveInjector,3504,0,0,1.0,1.0,1.0
V8_EXTRACTED,True,dev_advMeterVerification,3385,10,10,0.9970544918998527,0.9970544918998527,0.9970544918998527
V8_EXTRACTED,True,dynamicGasMaster,1060,0,0,1.0,1.0,1.0
V8_EXTRACTED,True,customUserFluid,3056,1,1,0.9996728819103696,0.9996728819103696,0.9996728819103696
V8_EXTRACTED,True,steamApplication,1153,0,0,1.0,1.0,1.0
