mode,package_aware,characteristic,records,value_accuracy,top1_case_value_accuracy
ORACLE,False,binaerDigitalOpenColl_MN,5000,1.0,1.0
ORACLE,False,binaerOpenColl_MP,5000,1.0,1.0
ORACLE,False,certification,5000,1.0,1.0
ORACLE,False,characteristic,5000,1.0,1.0
ORACLE,False,customUserFluid,5000,1.0,1.0
ORACLE,False,dataInterface,5000,1.0,1.0
ORACLE,False,devCategory,5000,1.0,1.0
ORACLE,False,dev_advMeterVerification,5000,1.0,1.0
ORACLE,False,dynamicGasMaster,5000,1.0,1.0
ORACLE,False,explosionApproval,5000,1.0,1.0
ORACLE,False,housing,5000,1.0,1.0
ORACLE,False,numberOfChannels,5000,1.0,1.0
ORACLE,False,powerSupply,5000,1.0,1.0
ORACLE,False,protectionArea,5000,1.0,1.0
ORACLE,False,steamApplication,5000,1.0,1.0
ORACLE,False,stromEingaenge,5000,1.0,1.0
ORACLE,False,stromSchaltbar,5000,1.0,1.0
ORACLE,False,temperaturEingaenge,5000,1.0,1.0
ORACLE,False,waveInjector,5000,1.0,1.0
ORACLE,True,binaerDigitalOpenColl_MN,5000,1.0,1.0
ORACLE,True,binaerOpenColl_MP,5000,1.0,1.0
ORACLE,True,certification,5000,1.0,1.0
ORACLE,True,characteristic,5000,1.0,1.0
ORACLE,True,customUserFluid,5000,1.0,1.0
ORACLE,True,dataInterface,5000,1.0,1.0
ORACLE,True,devCategory,5000,1.0,1.0
ORACLE,True,dev_advMeterVerification,5000,1.0,1.0
ORACLE,True,dynamicGasMaster,5000,1.0,1.0
ORACLE,True,explosionApproval,5000,1.0,1.0
ORACLE,True,housing,5000,1.0,1.0
ORACLE,True,numberOfChannels,5000,1.0,1.0
ORACLE,True,powerSupply,5000,1.0,1.0
ORACLE,True,protectionArea,5000,1.0,1.0
ORACLE,True,steamApplication,5000,1.0,1.0
ORACLE,True,stromEingaenge,5000,1.0,1.0
ORACLE,True,stromSchaltbar,5000,1.0,1.0
ORACLE,True,temperaturEingaenge,5000,1.0,1.0
ORACLE,True,waveInjector,5000,1.0,1.0
V8_EXTRACTED,False,binaerDigitalOpenColl_MN,5000,0.9834,1.0
V8_EXTRACTED,False,binaerOpenColl_MP,5000,0.9838,1.0
V8_EXTRACTED,False,certification,5000,0.9662,1.0
V8_EXTRACTED,False,characteristic,5000,0.9834,1.0
V8_EXTRACTED,False,customUserFluid,5000,0.9754,1.0
V8_EXTRACTED,False,dataInterface,5000,0.8172,1.0
V8_EXTRACTED,False,devCategory,5000,0.95,1.0
V8_EXTRACTED,False,dev_advMeterVerification,5000,0.9612,1.0
V8_EXTRACTED,False,dynamicGasMaster,5000,0.9644,1.0
V8_EXTRACTED,False,explosionApproval,5000,0.8826,1.0
V8_EXTRACTED,False,housing,5000,1.0,1.0
V8_EXTRACTED,False,numberOfChannels,5000,0.9992,1.0
V8_EXTRACTED,False,powerSupply,5000,0.99,1.0
V8_EXTRACTED,False,protectionArea,5000,0.9704,1.0
V8_EXTRACTED,False,steamApplication,5000,0.996,1.0
V8_EXTRACTED,False,stromEingaenge,5000,0.9726,1.0
V8_EXTRACTED,False,stromSchaltbar,5000,0.9938,1.0
V8_EXTRACTED,False,temperaturEingaenge,5000,0.8068,1.0
V8_EXTRACTED,False,waveInjector,5000,0.9856,1.0
V8_EXTRACTED,True,binaerDigitalOpenColl_MN,5000,0.9838,1.0
V8_EXTRACTED,True,binaerOpenColl_MP,5000,0.9838,1.0
V8_EXTRACTED,True,certification,5000,0.9654,1.0
V8_EXTRACTED,True,characteristic,5000,0.986,1.0
V8_EXTRACTED,True,customUserFluid,5000,0.9754,1.0
V8_EXTRACTED,True,dataInterface,5000,0.8186,1.0
V8_EXTRACTED,True,devCategory,5000,0.9484,1.0
V8_EXTRACTED,True,dev_advMeterVerification,5000,0.9612,1.0
V8_EXTRACTED,True,dynamicGasMaster,5000,0.9658,1.0
V8_EXTRACTED,True,explosionApproval,5000,0.883,1.0
V8_EXTRACTED,True,housing,5000,1.0,1.0
V8_EXTRACTED,True,numberOfChannels,5000,0.9996,1.0
V8_EXTRACTED,True,powerSupply,5000,0.99,1.0
V8_EXTRACTED,True,protectionArea,5000,0.9704,1.0
V8_EXTRACTED,True,steamApplication,5000,0.9982,1.0
V8_EXTRACTED,True,stromEingaenge,5000,0.9728,1.0
V8_EXTRACTED,True,stromSchaltbar,5000,0.994,1.0
V8_EXTRACTED,True,temperaturEingaenge,5000,0.807,1.0
V8_EXTRACTED,True,waveInjector,5000,0.988,1.0
