rfqs_evaluated,top1_accuracy,top3_accuracy,top5_accuracy,top10_accuracy,mrr,mean_true_rank,median_true_rank,mode,package_aware,target_package
116,0.9310344827586207,1.0,1.0,1.0,0.9597701149425287,1.103448275862069,1.0,ORACLE,True,F731PW
222,0.7747747747747747,1.0,1.0,1.0,0.8873873873873874,1.2252252252252251,1.0,ORACLE,True,F731TE
122,0.7131147540983607,0.9672131147540983,1.0,1.0,0.8483606557377049,1.3524590163934427,1.0,ORACLE,True,F731WD_DualChannel
105,0.6952380952380952,1.0,1.0,1.0,0.8476190476190476,1.3047619047619048,1.0,ORACLE,True,F731WD_SingleChannel
295,0.8542372881355932,1.0,1.0,1.0,0.9271186440677966,1.1457627118644067,1.0,ORACLE,True,G731CA
552,0.391304347826087,0.8278985507246377,0.9528985507246377,0.9891304347826086,0.6262530193236715,2.2644927536231885,2.0,ORACLE,True,G731ST-HT
601,0.47420965058236275,0.8186356073211315,0.9317803660565723,0.9850249584026622,0.665009776763214,2.3577371048252913,2.0,ORACLE,True,G731ST-LT
35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ORACLE,True,G731VG
2952,0.4407181571815718,0.8065718157181572,0.910230352303523,0.9884823848238482,0.6380034425639101,2.4630758807588076,2.0,ORACLE,True,x731
116,0.4827586206896552,0.8275862068965517,0.9396551724137931,0.9913793103448276,0.6534648541114059,2.353448275862069,2.0,V8_EXTRACTED,True,F731PW
222,0.35585585585585583,0.7882882882882883,0.8963963963963963,1.0,0.5764800514800514,2.7612612612612613,2.0,V8_EXTRACTED,True,F731TE
122,0.5409836065573771,0.9016393442622951,0.9754098360655737,1.0,0.7254098360655737,1.8852459016393444,1.0,V8_EXTRACTED,True,F731WD_DualChannel
105,0.4380952380952381,0.7333333333333333,1.0,1.0,0.6239682539682541,2.3523809523809525,2.0,V8_EXTRACTED,True,F731WD_SingleChannel
295,0.4101694915254237,0.7186440677966102,0.8135593220338984,0.9389830508474576,0.5832921202537354,3.4135593220338984,2.0,V8_EXTRACTED,True,G731CA
552,0.2427536231884058,0.5652173913043478,0.7210144927536232,0.8405797101449275,0.44586225696697246,6.548913043478261,3.0,V8_EXTRACTED,True,G731ST-HT
601,0.26622296173044924,0.540765391014975,0.7121464226289518,0.8352745424292846,0.449625956823702,6.650582362728786,3.0,V8_EXTRACTED,True,G731ST-LT
35,0.6857142857142857,1.0,1.0,1.0,0.8380952380952381,1.3428571428571427,1.0,V8_EXTRACTED,True,G731VG
2952,0.1839430894308943,0.40989159891598914,0.5470867208672087,0.7178184281842819,0.34792737719674305,16.726626016260163,5.0,V8_EXTRACTED,True,x731
