rfq_id,true_configuration_id,true_package,true_rank,recommended_configuration_id,recommended_package,requirements_used
RFQ731-000001,CFG731_bb4f0886ba308d63,x731,25,CFG731_9a0f0b26c7f24725,x731,15
RFQ731-000002,CFG731_83f956404d04e6cd,x731,45,CFG731_0fbee36816b7af98,x731,15
RFQ731-000003,CFG731_bd00839e452c6958,x731,67,CFG731_214b093bf98ca9ef,x731,13
RFQ731-000004,CFG731_de503c5e46490150,G731ST-LT,16,CFG731_515a31451814aae9,G731ST-LT,11
RFQ731-000005,CFG731_db395082b1a3b8ac,x731,105,CFG731_ef980c35ed5ff3e4,x731,13
RFQ731-000006,CFG731_541ce2492ce71d94,x731,15,CFG731_3b2a32abbf148ca1,x731,16
RFQ731-000008,CFG731_b5710e5f11e2cbc2,G731ST-HT,33,CFG731_9f9bc93c4b0253cf,G731ST-HT,14
RFQ731-000010,CFG731_9e44a82e6c1db982,G731ST-LT,56,CFG731_49cd4cbef1081333,G731ST-LT,14
RFQ731-000014,CFG731_5c624ef6fa2b6510,x731,11,CFG731_7ffc09802c7b60bf,x731,18
RFQ731-000024,CFG731_1d89d7fdc7355744,G731ST-LT,11,CFG731_7882c72c21497015,G731ST-LT,14
RFQ731-000026,CFG731_1b365e0951e7dea4,x731,25,CFG731_784eb334d1d77ae7,x731,17
RFQ731-000031,CFG731_b7fc2f4bee7659de,x731,13,CFG731_5f9d5671c315ce06,x731,15
RFQ731-000032,CFG731_dc2dca106a6c63c6,x731,42,CFG731_140a9819128d92da,x731,12
RFQ731-000036,CFG731_b46f92852addf866,G731ST-HT,27,CFG731_c32627af59ba1526,G731ST-HT,13
RFQ731-000040,CFG731_f7f0034a8b15f329,x731,176,CFG731_6f8c15548921e4c2,x731,12
RFQ731-000041,CFG731_d71a39e1fcf17083,G731ST-HT,14,CFG731_bbffb73f3dff6787,G731ST-HT,14
RFQ731-000043,CFG731_78ea99817ca8be6a,x731,19,CFG731_12089d5d54f581ac,x731,14
RFQ731-000062,CFG731_090330aa38b8e80b,F731TE,13,CFG731_54559f782190a122,F731TE,11
RFQ731-000065,CFG731_f57ccd8e79618aa1,x731,12,CFG731_91e51485b56960b2,x731,15
RFQ731-000068,CFG731_04e7216b1ba7f935,x731,14,CFG731_1f978c234895178c,x731,15
RFQ731-000069,CFG731_95e2d680672ff303,x731,61,CFG731_073f991a6c9a4683,x731,14
RFQ731-000072,CFG731_d9234c84a58b99ae,x731,23,CFG731_a4339f07d181d686,x731,15
RFQ731-000073,CFG731_1c1fb7a32bf0146b,x731,56,CFG731_cf4bb519cec0df2f,x731,17
RFQ731-000074,CFG731_7994662aa688a3b5,G731ST-LT,52,CFG731_49cd4cbef1081333,G731ST-LT,13
RFQ731-000079,CFG731_6472ab3bf7316498,x731,50,CFG731_2322a268d0a898f9,x731,13
RFQ731-000080,CFG731_4fe142d593643ab8,x731,15,CFG731_496bd7a964d6cd85,x731,14
RFQ731-000081,CFG731_a54fd8962307be18,G731ST-LT,19,CFG731_ae2e4cfccaff4f50,G731ST-LT,10
RFQ731-000084,CFG731_5be5a82ac0b29989,x731,44,CFG731_bba93a1b44b6ab73,x731,13
RFQ731-000092,CFG731_a7a446c7f3b3183f,x731,11,CFG731_a9ec8cda9130252f,x731,12
RFQ731-000093,CFG731_7f6c0412b6d497fb,x731,108,CFG731_2e57977cf2dd500a,x731,15
RFQ731-000095,CFG731_235ee3a364b5b6ec,x731,23,CFG731_e8e7b7513a5c9544,x731,14
RFQ731-000097,CFG731_78ea99817ca8be6a,x731,81,CFG731_357a7724550c556f,x731,13
RFQ731-000098,CFG731_dde2f7fe043f7ade,G731ST-HT,34,CFG731_7b2f69a7ca55041b,G731ST-HT,16
RFQ731-000099,CFG731_917fc613cc9bf56a,x731,52,CFG731_7ffc09802c7b60bf,x731,18
RFQ731-000102,CFG731_7afa5501026394f9,x731,16,CFG731_6526112621a9ee97,x731,13
RFQ731-000103,CFG731_6942facbe6ebb88b,x731,14,CFG731_7521d5a6673c8628,x731,13
RFQ731-000109,CFG731_8d78781f8753b72a,x731,21,CFG731_34e092c266a308aa,x731,14
RFQ731-000112,CFG731_6084e24782dc3f55,x731,43,CFG731_219ac3d01befd6d1,x731,15
RFQ731-000117,CFG731_5882bd12beb09203,G731ST-HT,11,CFG731_4aa7d46b9cfa7d7b,G731ST-HT,12
RFQ731-000120,CFG731_b5710e5f11e2cbc2,G731ST-HT,15,CFG731_4aa7d46b9cfa7d7b,G731ST-HT,13
RFQ731-000121,CFG731_a89154111c50850c,x731,26,CFG731_05cf1a0209b4f9a8,x731,16
RFQ731-000123,CFG731_56310c55a01272a3,x731,13,CFG731_6f8c15548921e4c2,x731,12
RFQ731-000125,CFG731_6b5f6983490bc595,x731,51,CFG731_9e4fccece4d272d3,x731,14
RFQ731-000127,CFG731_9ccdadb28a07accd,x731,17,CFG731_5ea309f998205da7,x731,15
RFQ731-000131,CFG731_403f51b2e914043b,G731ST-HT,29,CFG731_b30ceef5c5f902ca,G731ST-HT,12
RFQ731-000135,CFG731_ede0b25f5f83644d,x731,101,CFG731_8c50542218db5cb0,x731,15
RFQ731-000139,CFG731_72fe206df86509f8,x731,38,CFG731_d3db38843cf9fb81,x731,14
RFQ731-000141,CFG731_b7a7770d19b6f648,G731ST-HT,62,CFG731_e2d64e127f97296d,G731ST-HT,12
RFQ731-000146,CFG731_fd10dd35c97df399,x731,24,CFG731_8d07e19298d09d34,x731,16
RFQ731-000148,CFG731_1b8054cb5a92e4fa,x731,49,CFG731_04a53b6cc81d57d6,x731,14
RFQ731-000152,CFG731_bd51fba2aacb1a3c,x731,17,CFG731_fd3397424975992e,x731,14
RFQ731-000155,CFG731_00533f723f7496de,G731ST-LT,15,CFG731_32b4b1ec4513af66,G731ST-LT,15
RFQ731-000158,CFG731_695e540255cc94da,x731,33,CFG731_3b2a32abbf148ca1,x731,13
RFQ731-000166,CFG731_d0bd848c8f934b33,x731,20,CFG731_f4856d563cc31f77,x731,13
RFQ731-000174,CFG731_d05c8278d6301e9d,x731,14,CFG731_c11c5ee5deff9a1e,x731,15
RFQ731-000177,CFG731_4e6e53642a913f1a,x731,37,CFG731_747411fe70ba8e8d,x731,10
RFQ731-000179,CFG731_fd7b09f495a568bc,x731,92,CFG731_6526112621a9ee97,x731,13
RFQ731-000181,CFG731_5be5a82ac0b29989,x731,15,CFG731_e8e7b7513a5c9544,x731,12
RFQ731-000183,CFG731_db395082b1a3b8ac,x731,168,CFG731_89772de94df83ba5,x731,15
RFQ731-000184,CFG731_9cedc4ecc45a4b46,x731,68,CFG731_23aa00a5306a83b2,x731,12
RFQ731-000187,CFG731_56f0dbd067fcbe02,x731,20,CFG731_12089d5d54f581ac,x731,14
RFQ731-000188,CFG731_a1cadf8c4a6793ba,x731,95,CFG731_9e4fccece4d272d3,x731,13
RFQ731-000193,CFG731_9e44a82e6c1db982,G731ST-LT,11,CFG731_49cd4cbef1081333,G731ST-LT,14
RFQ731-000195,CFG731_75b93da9dd9b0316,x731,23,CFG731_6f8c15548921e4c2,x731,12
RFQ731-000197,CFG731_59f73311cf3c5679,x731,17,CFG731_9fcbfc87f6f15988,x731,16
RFQ731-000199,CFG731_da6b811731deb07d,G731ST-LT,27,CFG731_32b4b1ec4513af66,G731ST-LT,11
RFQ731-000202,CFG731_7f6c0412b6d497fb,x731,53,CFG731_2e57977cf2dd500a,x731,16
RFQ731-000209,CFG731_23aa00a5306a83b2,x731,22,CFG731_1f978c234895178c,x731,15
RFQ731-000217,CFG731_92efd7a3c43da152,F731PW,14,CFG731_a9f22ebc14287e5d,F731PW,12
RFQ731-000223,CFG731_fcc72e9951376cf3,G731ST-HT,16,CFG731_076cad91966d4c34,G731ST-HT,14
RFQ731-000224,CFG731_192157d53112de14,x731,14,CFG731_3b2a32abbf148ca1,x731,14
RFQ731-000226,CFG731_48a4e554ffcf39e6,x731,57,CFG731_214b093bf98ca9ef,x731,16
RFQ731-000227,CFG731_9a5bfa9148a9b604,x731,88,CFG731_6b5f6983490bc595,x731,12
RFQ731-000232,CFG731_b5710e5f11e2cbc2,G731ST-HT,22,CFG731_4aa7d46b9cfa7d7b,G731ST-HT,15
RFQ731-000242,CFG731_7afa5501026394f9,x731,25,CFG731_6526112621a9ee97,x731,12
RFQ731-000247,CFG731_86a2340212c01d2a,G731ST-HT,56,CFG731_e2d64e127f97296d,G731ST-HT,13
RFQ731-000248,CFG731_25c733523f45b8a2,x731,13,CFG731_3611bb1fba248e38,x731,15
RFQ731-000250,CFG731_0e3baae8e946721c,x731,37,CFG731_de1ec1b96e1e485e,x731,16
RFQ731-000252,CFG731_bb5aee8a4ae4203d,x731,16,CFG731_c3481d11b658e1e9,x731,14
RFQ731-000255,CFG731_1243cfc726284db9,x731,11,CFG731_140a9819128d92da,x731,14
RFQ731-000259,CFG731_7630270d2245c283,x731,62,CFG731_9e4fccece4d272d3,x731,15
RFQ731-000264,CFG731_567b2aa90592cf41,x731,30,CFG731_ce4c7976fe8fc47b,x731,13
RFQ731-000267,CFG731_a38141e3f47b5259,x731,11,CFG731_8d07e19298d09d34,x731,13
RFQ731-000272,CFG731_11a99741e1f7cce9,x731,39,CFG731_5e61ce3b60d15e11,x731,13
RFQ731-000273,CFG731_70576b93aef3bc09,x731,26,CFG731_2e57977cf2dd500a,x731,16
RFQ731-000277,CFG731_d6304b0cfae9a548,x731,16,CFG731_aa082226d44cd876,x731,16
RFQ731-000282,CFG731_bfee42801e80594e,x731,16,CFG731_31b475abe3d16a99,x731,16
RFQ731-000283,CFG731_bc9146cb8459e9c2,G731ST-LT,16,CFG731_0fdf5c36c9c41e69,G731ST-LT,16
RFQ731-000287,CFG731_c9498cf6f4410d44,x731,110,CFG731_cb9d6c11077bd307,x731,15
RFQ731-000295,CFG731_da5f98932a1c6afd,x731,15,CFG731_8d07e19298d09d34,x731,16
RFQ731-000301,CFG731_d8843ca5e91f93ae,x731,57,CFG731_91e51485b56960b2,x731,12
RFQ731-000304,CFG731_fab0d81b6a0ca4e0,G731ST-HT,12,CFG731_288e4c99b4e02895,G731ST-HT,11
RFQ731-000311,CFG731_f1291711f7901d90,x731,11,CFG731_5e61ce3b60d15e11,x731,16
RFQ731-000312,CFG731_75b377161674dea1,x731,11,CFG731_fa063863b8688588,x731,11
RFQ731-000313,CFG731_646d8903da63e1f0,G731ST-HT,46,CFG731_c32627af59ba1526,G731ST-HT,14
RFQ731-000315,CFG731_7bb3a18bcb60bab4,x731,34,CFG731_6bdadac99b2f7b39,x731,12
RFQ731-000322,CFG731_d0bd848c8f934b33,x731,15,CFG731_f4856d563cc31f77,x731,12
RFQ731-000327,CFG731_576db798689c655c,x731,18,CFG731_75466cb810218a66,x731,12
RFQ731-000331,CFG731_ef2da8cd513b19be,x731,22,CFG731_f2f3c932d1048d8d,x731,16
RFQ731-000334,CFG731_624f3002b3cf1e19,x731,59,CFG731_8c50542218db5cb0,x731,15
