rfq_id,mode,package_aware,target_package,true_configuration_id,recommended_configuration_id,true_rank,candidate_count,requirement_count
RFQ731-000001,V8_EXTRACTED,True,x731,CFG731_bb4f0886ba308d63,CFG731_9a0f0b26c7f24725,13,1549,15
RFQ731-000002,V8_EXTRACTED,True,x731,CFG731_83f956404d04e6cd,CFG731_0fbee36816b7af98,31,1549,15
RFQ731-000003,V8_EXTRACTED,True,x731,CFG731_bd00839e452c6958,CFG731_214b093bf98ca9ef,71,1549,13
RFQ731-000004,V8_EXTRACTED,True,G731ST-LT,CFG731_de503c5e46490150,CFG731_515a31451814aae9,16,153,11
RFQ731-000005,V8_EXTRACTED,True,x731,CFG731_db395082b1a3b8ac,CFG731_ef980c35ed5ff3e4,91,1549,13
RFQ731-000006,V8_EXTRACTED,True,x731,CFG731_541ce2492ce71d94,CFG731_3b2a32abbf148ca1,11,1549,16
RFQ731-000008,V8_EXTRACTED,True,G731ST-HT,CFG731_b5710e5f11e2cbc2,CFG731_9f9bc93c4b0253cf,23,151,14
RFQ731-000010,V8_EXTRACTED,True,G731ST-LT,CFG731_9e44a82e6c1db982,CFG731_e03b41992c837b34,63,153,14
RFQ731-000014,V8_EXTRACTED,True,x731,CFG731_5c624ef6fa2b6510,CFG731_7ffc09802c7b60bf,12,1549,18
RFQ731-000026,V8_EXTRACTED,True,x731,CFG731_1b365e0951e7dea4,CFG731_784eb334d1d77ae7,16,1549,17
RFQ731-000032,V8_EXTRACTED,True,x731,CFG731_dc2dca106a6c63c6,CFG731_140a9819128d92da,70,1549,12
RFQ731-000036,V8_EXTRACTED,True,G731ST-HT,CFG731_b46f92852addf866,CFG731_c32627af59ba1526,27,151,13
RFQ731-000037,V8_EXTRACTED,True,x731,CFG731_1b5b895b5e259903,CFG731_b7e47b5e3ac0c072,19,1549,13
RFQ731-000040,V8_EXTRACTED,True,x731,CFG731_f7f0034a8b15f329,CFG731_6f8c15548921e4c2,150,1549,12
RFQ731-000065,V8_EXTRACTED,True,x731,CFG731_f57ccd8e79618aa1,CFG731_05cf1a0209b4f9a8,41,1549,15
RFQ731-000069,V8_EXTRACTED,True,x731,CFG731_95e2d680672ff303,CFG731_073f991a6c9a4683,47,1549,14
RFQ731-000072,V8_EXTRACTED,True,x731,CFG731_d9234c84a58b99ae,CFG731_a4339f07d181d686,51,1549,15
RFQ731-000073,V8_EXTRACTED,True,x731,CFG731_1c1fb7a32bf0146b,CFG731_cf4bb519cec0df2f,68,1549,17
RFQ731-000074,V8_EXTRACTED,True,G731ST-LT,CFG731_7994662aa688a3b5,CFG731_49cd4cbef1081333,52,153,13
RFQ731-000079,V8_EXTRACTED,True,x731,CFG731_6472ab3bf7316498,CFG731_2322a268d0a898f9,66,1549,13
RFQ731-000080,V8_EXTRACTED,True,x731,CFG731_4fe142d593643ab8,CFG731_496bd7a964d6cd85,13,1549,14
RFQ731-000081,V8_EXTRACTED,True,G731ST-LT,CFG731_a54fd8962307be18,CFG731_ae2e4cfccaff4f50,19,153,10
RFQ731-000084,V8_EXTRACTED,True,x731,CFG731_5be5a82ac0b29989,CFG731_d9c736acc178c66d,36,1549,13
RFQ731-000092,V8_EXTRACTED,True,x731,CFG731_a7a446c7f3b3183f,CFG731_a9ec8cda9130252f,11,1549,12
RFQ731-000093,V8_EXTRACTED,True,x731,CFG731_7f6c0412b6d497fb,CFG731_2e57977cf2dd500a,97,1549,15
RFQ731-000097,V8_EXTRACTED,True,x731,CFG731_78ea99817ca8be6a,CFG731_357a7724550c556f,89,1549,13
RFQ731-000098,V8_EXTRACTED,True,G731ST-HT,CFG731_dde2f7fe043f7ade,CFG731_7b2f69a7ca55041b,24,151,16
RFQ731-000099,V8_EXTRACTED,True,x731,CFG731_917fc613cc9bf56a,CFG731_7ffc09802c7b60bf,32,1549,18
RFQ731-000112,V8_EXTRACTED,True,x731,CFG731_6084e24782dc3f55,CFG731_219ac3d01befd6d1,19,1549,15
RFQ731-000115,V8_EXTRACTED,True,x731,CFG731_6920f76e20b3b3ac,CFG731_6bdadac99b2f7b39,66,1549,13
RFQ731-000121,V8_EXTRACTED,True,x731,CFG731_a89154111c50850c,CFG731_b7e96d5717c40fd6,15,1549,16
RFQ731-000123,V8_EXTRACTED,True,x731,CFG731_56310c55a01272a3,CFG731_6f8c15548921e4c2,13,1549,12
RFQ731-000131,V8_EXTRACTED,True,G731ST-HT,CFG731_403f51b2e914043b,CFG731_b30ceef5c5f902ca,34,151,12
RFQ731-000135,V8_EXTRACTED,True,x731,CFG731_ede0b25f5f83644d,CFG731_8c50542218db5cb0,104,1549,15
RFQ731-000139,V8_EXTRACTED,True,x731,CFG731_72fe206df86509f8,CFG731_d3db38843cf9fb81,19,1549,14
RFQ731-000141,V8_EXTRACTED,True,G731ST-HT,CFG731_b7a7770d19b6f648,CFG731_e2d64e127f97296d,56,151,12
RFQ731-000148,V8_EXTRACTED,True,x731,CFG731_1b8054cb5a92e4fa,CFG731_04a53b6cc81d57d6,29,1549,14
RFQ731-000155,V8_EXTRACTED,True,G731ST-LT,CFG731_00533f723f7496de,CFG731_750dd83a06ba43cb,12,153,15
RFQ731-000158,V8_EXTRACTED,True,x731,CFG731_695e540255cc94da,CFG731_3b2a32abbf148ca1,19,1549,13
RFQ731-000166,V8_EXTRACTED,True,x731,CFG731_d0bd848c8f934b33,CFG731_f4856d563cc31f77,15,1549,13
RFQ731-000177,V8_EXTRACTED,True,x731,CFG731_4e6e53642a913f1a,CFG731_747411fe70ba8e8d,37,1549,10
RFQ731-000179,V8_EXTRACTED,True,x731,CFG731_fd7b09f495a568bc,CFG731_6526112621a9ee97,132,1549,13
RFQ731-000183,V8_EXTRACTED,True,x731,CFG731_db395082b1a3b8ac,CFG731_89772de94df83ba5,97,1549,15
RFQ731-000184,V8_EXTRACTED,True,x731,CFG731_9cedc4ecc45a4b46,CFG731_23aa00a5306a83b2,49,1549,12
RFQ731-000187,V8_EXTRACTED,True,x731,CFG731_56f0dbd067fcbe02,CFG731_12089d5d54f581ac,11,1549,14
RFQ731-000188,V8_EXTRACTED,True,x731,CFG731_a1cadf8c4a6793ba,CFG731_9e4fccece4d272d3,90,1549,13
RFQ731-000195,V8_EXTRACTED,True,x731,CFG731_75b93da9dd9b0316,CFG731_6f8c15548921e4c2,23,1549,12
RFQ731-000197,V8_EXTRACTED,True,x731,CFG731_59f73311cf3c5679,CFG731_5e61ce3b60d15e11,20,1549,16
RFQ731-000199,V8_EXTRACTED,True,G731ST-LT,CFG731_da6b811731deb07d,CFG731_32b4b1ec4513af66,27,153,11
RFQ731-000202,V8_EXTRACTED,True,x731,CFG731_7f6c0412b6d497fb,CFG731_2e57977cf2dd500a,42,1549,16
RFQ731-000224,V8_EXTRACTED,True,x731,CFG731_192157d53112de14,CFG731_3b2a32abbf148ca1,11,1549,14
RFQ731-000226,V8_EXTRACTED,True,x731,CFG731_48a4e554ffcf39e6,CFG731_214b093bf98ca9ef,71,1549,16
RFQ731-000227,V8_EXTRACTED,True,x731,CFG731_9a5bfa9148a9b604,CFG731_6b5f6983490bc595,58,1549,12
RFQ731-000232,V8_EXTRACTED,True,G731ST-HT,CFG731_b5710e5f11e2cbc2,CFG731_4aa7d46b9cfa7d7b,12,151,15
RFQ731-000242,V8_EXTRACTED,True,x731,CFG731_7afa5501026394f9,CFG731_89772de94df83ba5,15,1549,12
RFQ731-000247,V8_EXTRACTED,True,G731ST-HT,CFG731_86a2340212c01d2a,CFG731_e2d64e127f97296d,43,151,13
RFQ731-000248,V8_EXTRACTED,True,x731,CFG731_25c733523f45b8a2,CFG731_3ab6d9037260e8b1,11,1549,15
RFQ731-000250,V8_EXTRACTED,True,x731,CFG731_0e3baae8e946721c,CFG731_de1ec1b96e1e485e,34,1549,16
