rfq_id,true_rank,target_package,recommended_configuration_id,recommended_package,recommended_score,mode,package_aware
RFQ731-000001,37,x731,CFG731_5cfa203ca7029f1c,x731,26.49251480674547,V8_EXTRACTED,False
RFQ731-000002,52,x731,CFG731_0fbee36816b7af98,x731,30.10679692902964,V8_EXTRACTED,False
RFQ731-000003,248,x731,CFG731_357a7724550c556f,x731,31.036567610675,V8_EXTRACTED,False
RFQ731-000004,47,G731ST-LT,CFG731_515a31451814aae9,G731ST-LT,31.637299618501306,V8_EXTRACTED,False
RFQ731-000005,158,x731,CFG731_ef980c35ed5ff3e4,x731,34.70912091806144,V8_EXTRACTED,False
RFQ731-000006,22,x731,CFG731_3b2a32abbf148ca1,x731,38.10181107416925,V8_EXTRACTED,False
RFQ731-000007,20,x731,CFG731_31b475abe3d16a99,x731,23.22318178604904,V8_EXTRACTED,False
RFQ731-000008,98,G731ST-HT,CFG731_9f9bc93c4b0253cf,G731ST-HT,32.74994554449452,V8_EXTRACTED,False
RFQ731-000010,429,G731ST-LT,CFG731_e03b41992c837b34,G731ST-LT,33.197259523380566,V8_EXTRACTED,False
RFQ731-000011,23,G731ST-HT,CFG731_ef8d68b6d278bfec,G731ST-HT,32.982092095480276,V8_EXTRACTED,False
RFQ731-000014,58,x731,CFG731_3b2a32abbf148ca1,x731,37.85275773090804,V8_EXTRACTED,False
RFQ731-000023,11,x731,CFG731_5ea309f998205da7,x731,19.64326160594692,V8_EXTRACTED,False
RFQ731-000024,22,G731ST-LT,CFG731_7882c72c21497015,G731ST-LT,35.39958624026467,V8_EXTRACTED,False
RFQ731-000026,53,x731,CFG731_784eb334d1d77ae7,x731,23.17434323005295,V8_EXTRACTED,False
RFQ731-000029,22,x731,CFG731_5e61ce3b60d15e11,x731,24.024365051821547,V8_EXTRACTED,False
RFQ731-000031,36,x731,CFG731_4346df46838fd57e,x731,30.80658512794765,V8_EXTRACTED,False
RFQ731-000032,144,x731,CFG731_140a9819128d92da,x731,31.829606926530722,V8_EXTRACTED,False
RFQ731-000034,17,G731CA,CFG731_5bfe9492c76587ec,G731CA,26.378772745205335,V8_EXTRACTED,False
RFQ731-000036,121,G731ST-HT,CFG731_c32627af59ba1526,G731ST-HT,30.061640711406085,V8_EXTRACTED,False
RFQ731-000037,41,x731,CFG731_b7e47b5e3ac0c072,x731,33.13930793807229,V8_EXTRACTED,False
RFQ731-000040,248,x731,CFG731_6f8c15548921e4c2,x731,33.89764397169291,V8_EXTRACTED,False
RFQ731-000042,39,x731,CFG731_618cb6c1c21feda4,x731,38.60056043686715,V8_EXTRACTED,False
RFQ731-000043,17,x731,CFG731_12089d5d54f581ac,x731,28.180143150790332,V8_EXTRACTED,False
RFQ731-000044,39,x731,CFG731_3b2a32abbf148ca1,x731,32.053503073587464,V8_EXTRACTED,False
RFQ731-000046,11,x731,CFG731_70a71b60723e910d,x731,35.20481691144113,V8_EXTRACTED,False
RFQ731-000048,12,G731ST-LT,CFG731_e0009be417f51ccd,G731ST-LT,33.942346803319865,V8_EXTRACTED,False
RFQ731-000049,37,x731,CFG731_219ac3d01befd6d1,x731,26.394083928997162,V8_EXTRACTED,False
RFQ731-000052,11,x731,CFG731_5e61ce3b60d15e11,x731,29.61345218165706,V8_EXTRACTED,False
RFQ731-000058,16,F731WD_SingleChannel,CFG731_11c93eca01984a14,F731WD_SingleChannel,22.8295032410291,V8_EXTRACTED,False
RFQ731-000060,20,x731,CFG731_496bd7a964d6cd85,x731,43.149726015572185,V8_EXTRACTED,False
RFQ731-000061,25,x731,CFG731_2be17a56b0589fd1,x731,24.25852960722392,V8_EXTRACTED,False
RFQ731-000062,256,F731TE,CFG731_54559f782190a122,F731TE,30.70932330798459,V8_EXTRACTED,False
RFQ731-000065,64,x731,CFG731_05cf1a0209b4f9a8,x731,34.76058987132548,V8_EXTRACTED,False
RFQ731-000066,196,F731TE,CFG731_07fb816f7dc25bc8,F731TE,18.97995991207409,V8_EXTRACTED,False
RFQ731-000067,12,x731,CFG731_0acb7cb21878d0cf,x731,35.330243331612685,V8_EXTRACTED,False
RFQ731-000068,23,x731,CFG731_1f978c234895178c,x731,42.21896444004417,V8_EXTRACTED,False
RFQ731-000069,294,x731,CFG731_073f991a6c9a4683,x731,35.711416506038375,V8_EXTRACTED,False
RFQ731-000071,26,G731CA,CFG731_40b6e1db6c80bcc1,G731VG,23.6193073360693,V8_EXTRACTED,False
RFQ731-000072,103,x731,CFG731_759c265a697372ea,x731,39.81516096022088,V8_EXTRACTED,False
RFQ731-000073,172,x731,CFG731_6e096e946540ab4e,x731,42.64177776634424,V8_EXTRACTED,False
RFQ731-000074,283,G731ST-LT,CFG731_49cd4cbef1081333,G731ST-LT,30.975774418767312,V8_EXTRACTED,False
RFQ731-000079,88,x731,CFG731_2322a268d0a898f9,x731,33.95885545641286,V8_EXTRACTED,False
