rfq_id,mode,package_aware,target_package,recommended_configuration_id,true_configuration_id,true_rank,error_type,top_score,mandatory_matches,mandatory_conflicts,preferred_matches,preferred_conflicts,refinement_distance
RFQ731-000001,V8_EXTRACTED,False,x731,CFG731_399690ce112d8d2a,CFG731_bb4f0886ba308d63,48.0,TRUE_BEYOND_TOP10,111.0820269607843,9,0,4,2,2.8
RFQ731-000002,V8_EXTRACTED,False,x731,CFG731_9cb3c996fff3863c,CFG731_83f956404d04e6cd,63.0,TRUE_BEYOND_TOP10,118.60969662392397,7,0,7,1,1.2
RFQ731-000003,V8_EXTRACTED,False,x731,CFG731_5d88e63d941ec6fd,CFG731_bd00839e452c6958,52.0,TRUE_BEYOND_TOP10,106.53911005499761,7,0,5,1,1.6
RFQ731-000004,V8_EXTRACTED,False,G731ST-LT,CFG731_515a31451814aae9,CFG731_de503c5e46490150,19.0,TRUE_BEYOND_TOP10,108.91913247250122,8,0,3,0,0.0
RFQ731-000005,V8_EXTRACTED,False,x731,CFG731_db983e07a279051a,CFG731_db395082b1a3b8ac,95.0,TRUE_BEYOND_TOP10,121.71873270115977,8,0,5,0,0.0
RFQ731-000006,V8_EXTRACTED,False,x731,CFG731_d4dafb658c85c692,CFG731_541ce2492ce71d94,83.0,TRUE_BEYOND_TOP10,150.50350161406027,12,0,3,1,0.0
RFQ731-000007,V8_EXTRACTED,False,x731,CFG731_bfee42801e80594e,CFG731_134ecd7b8190bed1,15.0,TRUE_BEYOND_TOP10,122.2567718794835,9,0,4,1,1.2
RFQ731-000008,V8_EXTRACTED,False,G731ST-HT,CFG731_7cc9f85131c775cb,CFG731_b5710e5f11e2cbc2,39.0,TRUE_BEYOND_TOP10,110.47042324246773,8,0,5,1,1.5
RFQ731-000009,V8_EXTRACTED,False,G731ST-HT,CFG731_646d8903da63e1f0,CFG731_646d8903da63e1f0,1.0,CORRECT_TOP1,121.54459463175515,9,0,5,2,2.9000000000000004
RFQ731-000010,V8_EXTRACTED,False,G731ST-LT,CFG731_26554ff79bcf8a3f,CFG731_9e44a82e6c1db982,,TRUE_UNRANKED,112.27551410808226,8,0,5,1,1.6
