rfq_id,true_configuration_id,recommended_configuration_id,true_package,recommended_package,top1_score,top1_matches,top1_contradictions,top1_coverage,true_rank,requirements_used
RFQ731-000001,CFG731_bb4f0886ba308d63,CFG731_9a0f0b26c7f24725,x731,x731,43.733333333333334,13,1,0.8666666666666667,25,15
RFQ731-000002,CFG731_83f956404d04e6cd,CFG731_0fbee36816b7af98,x731,x731,50.86666666666667,14,1,0.9333333333333333,45,15
RFQ731-000003,CFG731_bd00839e452c6958,CFG731_214b093bf98ca9ef,x731,x731,48.84615384615385,12,0,0.9230769230769231,67,13
RFQ731-000004,CFG731_de503c5e46490150,CFG731_515a31451814aae9,G731ST-LT,G731ST-LT,44.0,11,0,1.0,16,11
RFQ731-000005,CFG731_db395082b1a3b8ac,CFG731_ef980c35ed5ff3e4,x731,x731,51.0,13,0,1.0,105,13
RFQ731-000006,CFG731_541ce2492ce71d94,CFG731_3b2a32abbf148ca1,x731,x731,53.875,15,1,0.9375,15,16
RFQ731-000007,CFG731_134ecd7b8190bed1,CFG731_31b475abe3d16a99,x731,x731,44.857142857142854,13,1,0.9285714285714286,10,14
RFQ731-000008,CFG731_b5710e5f11e2cbc2,CFG731_9f9bc93c4b0253cf,G731ST-HT,G731ST-HT,50.857142857142854,13,0,0.9285714285714286,33,14
RFQ731-000009,CFG731_646d8903da63e1f0,CFG731_646d8903da63e1f0,G731ST-HT,G731ST-HT,49.75,14,1,0.875,1,16
RFQ731-000010,CFG731_9e44a82e6c1db982,CFG731_49cd4cbef1081333,G731ST-LT,G731ST-LT,50.857142857142854,13,0,0.9285714285714286,56,14
RFQ731-000011,CFG731_cd71ec2726e971ef,CFG731_ef8d68b6d278bfec,G731ST-HT,G731ST-HT,52.857142857142854,13,0,0.9285714285714286,4,14
RFQ731-000012,CFG731_6e27958dc8215006,CFG731_6e27958dc8215006,x731,x731,64.0,16,0,1.0,1,16
RFQ731-000013,CFG731_6526112621a9ee97,CFG731_05cf1a0209b4f9a8,x731,x731,59.0,15,0,1.0,10,15
RFQ731-000014,CFG731_5c624ef6fa2b6510,CFG731_7ffc09802c7b60bf,x731,x731,57.77777777777778,16,1,0.8888888888888888,11,18
RFQ731-000015,CFG731_5d255cf6dd296018,CFG731_219ac3d01befd6d1,x731,x731,48.86666666666667,14,1,0.9333333333333333,6,15
RFQ731-000016,CFG731_ef02695e374fc418,CFG731_c39096767a7ae083,x731,x731,50.0,13,0,1.0,2,13
RFQ731-000017,CFG731_c37386a371e13fa8,CFG731_c37386a371e13fa8,F731WD_DualChannel,F731WD_DualChannel,44.833333333333336,11,0,0.9166666666666666,1,12
RFQ731-000018,CFG731_fd6959ad3c5fd9ed,CFG731_54559f782190a122,F731TE,F731TE,24.5,9,2,0.75,2,12
RFQ731-000019,CFG731_6ba028da3bba9c41,CFG731_fa063863b8688588,x731,x731,34.833333333333336,11,1,0.9166666666666666,5,12
RFQ731-000020,CFG731_48772fd385d8dcd5,CFG731_8d2d91c46ccfb471,x731,x731,47.75,14,1,0.875,2,16
RFQ731-000021,CFG731_5dd35c89836ec88e,CFG731_fcc72e9951376cf3,G731ST-HT,G731ST-HT,51.0,13,0,1.0,2,13
RFQ731-000022,CFG731_a40ab19ad6671fbe,CFG731_a40ab19ad6671fbe,G731ST-LT,G731ST-LT,53.76470588235294,15,1,0.8823529411764706,1,17
RFQ731-000023,CFG731_9ccdadb28a07accd,CFG731_5ea309f998205da7,x731,x731,36.833333333333336,11,1,0.9166666666666666,6,12
RFQ731-000024,CFG731_1d89d7fdc7355744,CFG731_7882c72c21497015,G731ST-LT,G731ST-LT,51.857142857142854,13,0,0.9285714285714286,11,14
RFQ731-000025,CFG731_a4416ae9d698efa6,CFG731_a4416ae9d698efa6,G731ST-HT,G731ST-HT,51.857142857142854,13,0,0.9285714285714286,1,14
RFQ731-000026,CFG731_1b365e0951e7dea4,CFG731_784eb334d1d77ae7,x731,x731,41.64705882352941,14,2,0.8235294117647058,25,17
RFQ731-000027,CFG731_59f86789e43d86f1,CFG731_5cfa203ca7029f1c,x731,x731,54.0,14,0,1.0,2,14
RFQ731-000028,CFG731_8b18ac1c34209d63,CFG731_8b18ac1c34209d63,G731ST-HT,G731ST-HT,54.76470588235294,15,1,0.8823529411764706,1,17
RFQ731-000029,CFG731_ff3460f478ef969b,CFG731_8d2d91c46ccfb471,x731,x731,42.64705882352941,14,2,0.8235294117647058,3,17
RFQ731-000030,CFG731_c759934398f2381a,CFG731_eb70dc35972dc4b7,G731ST-HT,G731ST-HT,51.0,13,0,1.0,2,13
RFQ731-000031,CFG731_b7fc2f4bee7659de,CFG731_5f9d5671c315ce06,x731,x731,45.733333333333334,13,1,0.8666666666666667,13,15
RFQ731-000032,CFG731_dc2dca106a6c63c6,CFG731_140a9819128d92da,x731,x731,48.0,12,0,1.0,42,12
RFQ731-000033,CFG731_faff6da73df00950,CFG731_b97ce0f180acf155,G731CA,G731CA,49.0,12,0,1.0,3,12
RFQ731-000034,CFG731_9cc92f888af32c8a,CFG731_5bfe9492c76587ec,G731CA,G731CA,38.69230769230769,11,1,0.8461538461538461,9,13
RFQ731-000035,CFG731_77fac91021549398,CFG731_49cd4cbef1081333,G731ST-LT,G731ST-LT,43.84615384615385,12,1,0.9230769230769231,7,13
RFQ731-000036,CFG731_b46f92852addf866,CFG731_c32627af59ba1526,G731ST-HT,G731ST-HT,47.84615384615385,12,0,0.9230769230769231,27,13
RFQ731-000037,CFG731_1b5b895b5e259903,CFG731_36d7686aca1200ae,x731,x731,46.84615384615385,12,0,0.9230769230769231,7,13
RFQ731-000038,CFG731_04d60387371e1885,CFG731_04d60387371e1885,x731,x731,58.0,15,0,1.0,1,15
RFQ731-000039,CFG731_a4610f5f38e7d946,CFG731_a4610f5f38e7d946,F731WD_DualChannel,F731WD_DualChannel,53.0,13,0,1.0,1,13
RFQ731-000040,CFG731_f7f0034a8b15f329,CFG731_6f8c15548921e4c2,x731,x731,49.0,12,0,1.0,176,12
RFQ731-000041,CFG731_d71a39e1fcf17083,CFG731_bbffb73f3dff6787,G731ST-HT,G731ST-HT,41.714285714285715,12,1,0.8571428571428571,14,14
RFQ731-000042,CFG731_8e5ce09a779d2284,CFG731_91e51485b56960b2,x731,x731,54.86666666666667,14,0,0.9333333333333333,7,15
RFQ731-000043,CFG731_78ea99817ca8be6a,CFG731_12089d5d54f581ac,x731,x731,44.857142857142854,13,1,0.9285714285714286,19,14
RFQ731-000044,CFG731_c52f7eb3e0603707,CFG731_219ac3d01befd6d1,x731,x731,50.75,14,1,0.875,5,16
RFQ731-000045,CFG731_70b6eaf9262ca4d0,CFG731_70b6eaf9262ca4d0,F731WD_SingleChannel,F731WD_SingleChannel,47.714285714285715,12,0,0.8571428571428571,1,14
RFQ731-000046,CFG731_5e0166a160f3ed77,CFG731_70a71b60723e910d,x731,x731,51.0,13,0,1.0,7,13
RFQ731-000047,CFG731_8e97bb2bec352a2c,CFG731_3b2a32abbf148ca1,x731,x731,52.875,15,1,0.9375,5,16
RFQ731-000048,CFG731_8b6ed3cfa9ed1e59,CFG731_996314000fcfec4b,G731ST-LT,G731ST-LT,51.76470588235294,15,1,0.8823529411764706,5,17
RFQ731-000049,CFG731_700e5b0584a9b0fc,CFG731_700e5b0584a9b0fc,x731,x731,41.714285714285715,12,1,0.8571428571428571,1,14
RFQ731-000050,CFG731_37e3938c6089bb2d,CFG731_819cb4e76943eca6,F731WD_DualChannel,F731WD_DualChannel,44.0,11,0,1.0,2,11
RFQ731-000051,CFG731_0c3b33750ffab3ac,CFG731_574aa7a29f75cd60,F731TE,F731TE,27.77777777777778,8,1,0.8888888888888888,4,9
RFQ731-000052,CFG731_fa6b5a7df55858c0,CFG731_a4339f07d181d686,x731,x731,52.76470588235294,15,1,0.8823529411764706,3,17
RFQ731-000053,CFG731_1cbb464ec15ba84f,CFG731_1cbb464ec15ba84f,x731,x731,58.0,14,0,1.0,1,14
RFQ731-000054,CFG731_e85a7fcdd0521e90,CFG731_2aca30183aab25a9,G731CA,G731CA,38.833333333333336,11,1,0.9166666666666666,2,12
RFQ731-000055,CFG731_07fb816f7dc25bc8,CFG731_07fb816f7dc25bc8,F731TE,F731TE,45.857142857142854,13,1,0.9285714285714286,1,14
RFQ731-000056,CFG731_d5af433b36265df1,CFG731_0e146b48e4ed8b98,G731ST-LT,G731ST-LT,49.64705882352941,14,1,0.8235294117647058,2,17
RFQ731-000057,CFG731_d61788aab0d61e0f,CFG731_2683cf7e09782f5e,x731,x731,52.875,15,1,0.9375,4,16
RFQ731-000058,CFG731_400b0d973c930668,CFG731_11c93eca01984a14,F731WD_SingleChannel,F731WD_SingleChannel,30.636363636363637,9,1,0.8181818181818182,5,11
RFQ731-000059,CFG731_6a47b38d62a9fed3,CFG731_40b6e1db6c80bcc1,G731VG,G731VG,45.857142857142854,13,1,0.9285714285714286,2,14
RFQ731-000060,CFG731_4e7f75dd9496e7b1,CFG731_496bd7a964d6cd85,x731,x731,52.0,14,0,1.0,5,14
RFQ731-000061,CFG731_15f034f7c265528f,CFG731_8c50542218db5cb0,x731,x731,50.75,14,1,0.875,4,16
RFQ731-000062,CFG731_090330aa38b8e80b,CFG731_54559f782190a122,F731TE,F731TE,40.81818181818182,10,0,0.9090909090909091,13,11
RFQ731-000063,CFG731_79377060f99f59f3,CFG731_79377060f99f59f3,x731,x731,56.88235294117647,16,1,0.9411764705882353,1,17
RFQ731-000064,CFG731_327bfa077bbbd45e,CFG731_a9f22ebc14287e5d,F731PW,F731PW,35.666666666666664,10,1,0.8333333333333334,5,12
RFQ731-000065,CFG731_f57ccd8e79618aa1,CFG731_91e51485b56960b2,x731,x731,48.86666666666667,14,1,0.9333333333333333,12,15
RFQ731-000066,CFG731_a72f99e8160efda6,CFG731_07fb816f7dc25bc8,F731TE,F731TE,27.53846153846154,10,2,0.7692307692307693,7,13
RFQ731-000067,CFG731_31c4aded40f9387f,CFG731_31c4aded40f9387f,x731,x731,56.75,14,0,0.875,1,16
RFQ731-000068,CFG731_04e7216b1ba7f935,CFG731_1f978c234895178c,x731,x731,58.0,15,0,1.0,14,15
RFQ731-000069,CFG731_95e2d680672ff303,CFG731_073f991a6c9a4683,x731,x731,46.857142857142854,13,1,0.9285714285714286,61,14
RFQ731-000070,CFG731_5a8170a3daa0efb9,CFG731_5a8170a3daa0efb9,x731,x731,53.0,13,0,1.0,1,13
RFQ731-000071,CFG731_19f7d73d8e42e7bd,CFG731_757fbd3e8915b462,G731CA,G731CA,34.666666666666664,10,1,0.8333333333333334,9,12
RFQ731-000072,CFG731_d9234c84a58b99ae,CFG731_a4339f07d181d686,x731,x731,56.86666666666667,14,0,0.9333333333333333,23,15
