rfq_id,mode,package_aware,target_package,true_configuration_id,recommended_configuration_id,recommended_package,top_score,true_rank,candidate_count,requirement_count
RFQ731-000001,V8_EXTRACTED,True,x731,CFG731_bb4f0886ba308d63,CFG731_9a0f0b26c7f24725,x731,21.718095812625016,13,1549,15
RFQ731-000002,V8_EXTRACTED,True,x731,CFG731_83f956404d04e6cd,CFG731_0fbee36816b7af98,x731,30.377743210929502,31,1549,15
RFQ731-000003,V8_EXTRACTED,True,x731,CFG731_bd00839e452c6958,CFG731_214b093bf98ca9ef,x731,30.665950882718093,71,1549,13
RFQ731-000004,V8_EXTRACTED,True,G731ST-LT,CFG731_de503c5e46490150,CFG731_515a31451814aae9,G731ST-LT,30.449576128013355,16,153,11
RFQ731-000005,V8_EXTRACTED,True,x731,CFG731_db395082b1a3b8ac,CFG731_ef980c35ed5ff3e4,x731,32.05174662243647,91,1549,13
RFQ731-000006,V8_EXTRACTED,True,x731,CFG731_541ce2492ce71d94,CFG731_3b2a32abbf148ca1,x731,34.26151770760664,11,1549,16
RFQ731-000007,V8_EXTRACTED,True,x731,CFG731_134ecd7b8190bed1,CFG731_31b475abe3d16a99,x731,27.293200551249285,10,1549,14
RFQ731-000008,V8_EXTRACTED,True,G731ST-HT,CFG731_b5710e5f11e2cbc2,CFG731_9f9bc93c4b0253cf,G731ST-HT,36.99746686382612,23,151,14
RFQ731-000009,V8_EXTRACTED,True,G731ST-HT,CFG731_646d8903da63e1f0,CFG731_646d8903da63e1f0,G731ST-HT,35.202570281295486,1,151,16
RFQ731-000010,V8_EXTRACTED,True,G731ST-LT,CFG731_9e44a82e6c1db982,CFG731_e03b41992c837b34,G731ST-LT,31.99881841435988,63,153,14
RFQ731-000011,V8_EXTRACTED,True,G731ST-HT,CFG731_cd71ec2726e971ef,CFG731_ef8d68b6d278bfec,G731ST-HT,38.93430881940695,4,151,14
RFQ731-000012,V8_EXTRACTED,True,x731,CFG731_6e27958dc8215006,CFG731_6e27958dc8215006,x731,41.979243025848184,1,1549,16
RFQ731-000013,V8_EXTRACTED,True,x731,CFG731_6526112621a9ee97,CFG731_05cf1a0209b4f9a8,x731,35.18469854490538,5,1549,15
RFQ731-000014,V8_EXTRACTED,True,x731,CFG731_5c624ef6fa2b6510,CFG731_7ffc09802c7b60bf,x731,32.24421879394788,12,1549,18
RFQ731-000015,V8_EXTRACTED,True,x731,CFG731_5d255cf6dd296018,CFG731_219ac3d01befd6d1,x731,30.093954385947196,3,1549,15
RFQ731-000016,V8_EXTRACTED,True,x731,CFG731_ef02695e374fc418,CFG731_c39096767a7ae083,x731,33.441557616313936,2,1549,13
RFQ731-000017,V8_EXTRACTED,True,F731WD_DualChannel,CFG731_c37386a371e13fa8,CFG731_c37386a371e13fa8,F731WD_DualChannel,47.260553796693756,1,19,12
RFQ731-000018,V8_EXTRACTED,True,F731TE,CFG731_fd6959ad3c5fd9ed,CFG731_fd6959ad3c5fd9ed,F731TE,22.690916995278748,1,30,12
RFQ731-000019,V8_EXTRACTED,True,x731,CFG731_6ba028da3bba9c41,CFG731_fa063863b8688588,x731,18.910754948804318,5,1549,12
RFQ731-000020,V8_EXTRACTED,True,x731,CFG731_48772fd385d8dcd5,CFG731_8d2d91c46ccfb471,x731,25.9549748480367,2,1549,16
RFQ731-000021,V8_EXTRACTED,True,G731ST-HT,CFG731_5dd35c89836ec88e,CFG731_fcc72e9951376cf3,G731ST-HT,37.239896708876394,2,151,13
RFQ731-000022,V8_EXTRACTED,True,G731ST-LT,CFG731_a40ab19ad6671fbe,CFG731_a40ab19ad6671fbe,G731ST-LT,35.03781534329553,1,153,17
RFQ731-000023,V8_EXTRACTED,True,x731,CFG731_9ccdadb28a07accd,CFG731_5ea309f998205da7,x731,23.149155058708637,6,1549,12
RFQ731-000024,V8_EXTRACTED,True,G731ST-LT,CFG731_1d89d7fdc7355744,CFG731_7882c72c21497015,G731ST-LT,34.785667698928606,4,153,14
RFQ731-000025,V8_EXTRACTED,True,G731ST-HT,CFG731_a4416ae9d698efa6,CFG731_a4416ae9d698efa6,G731ST-HT,37.73401771267123,1,151,14
RFQ731-000026,V8_EXTRACTED,True,x731,CFG731_1b365e0951e7dea4,CFG731_784eb334d1d77ae7,x731,17.516173713645166,16,1549,17
RFQ731-000027,V8_EXTRACTED,True,x731,CFG731_59f86789e43d86f1,CFG731_5cfa203ca7029f1c,x731,33.84811825047396,2,1549,14
RFQ731-000028,V8_EXTRACTED,True,G731ST-HT,CFG731_8b18ac1c34209d63,CFG731_8b18ac1c34209d63,G731ST-HT,42.32835161431926,1,151,17
RFQ731-000029,V8_EXTRACTED,True,x731,CFG731_ff3460f478ef969b,CFG731_a4339f07d181d686,x731,23.53314878117905,9,1549,17
RFQ731-000030,V8_EXTRACTED,True,G731ST-HT,CFG731_c759934398f2381a,CFG731_eb70dc35972dc4b7,G731ST-HT,38.08731226306653,2,151,13
RFQ731-000031,V8_EXTRACTED,True,x731,CFG731_b7fc2f4bee7659de,CFG731_5f9d5671c315ce06,x731,25.628899473080043,7,1549,15
RFQ731-000032,V8_EXTRACTED,True,x731,CFG731_dc2dca106a6c63c6,CFG731_140a9819128d92da,x731,32.4817543700264,70,1549,12
RFQ731-000033,V8_EXTRACTED,True,G731CA,CFG731_faff6da73df00950,CFG731_b97ce0f180acf155,G731CA,47.85725118740053,3,48,12
