rfq_id,target_package,true_rank,top1,top3,top5,top10,reciprocal_rank,recommended_configuration_id,recommended_package,recommended_score,true_configuration_ids,mode,package_aware
RFQ731-000001,x731,37,0,0,0,0,0.02702702702702703,CFG731_5cfa203ca7029f1c,x731,26.49251480674547,CFG731_bb4f0886ba308d63,V8_EXTRACTED,False
RFQ731-000002,x731,52,0,0,0,0,0.019230769230769232,CFG731_0fbee36816b7af98,x731,30.10679692902964,CFG731_83f956404d04e6cd,V8_EXTRACTED,False
RFQ731-000003,x731,248,0,0,0,0,0.004032258064516129,CFG731_357a7724550c556f,x731,31.036567610675,CFG731_bd00839e452c6958,V8_EXTRACTED,False
RFQ731-000004,G731ST-LT,47,0,0,0,0,0.02127659574468085,CFG731_515a31451814aae9,G731ST-LT,31.637299618501306,CFG731_de503c5e46490150,V8_EXTRACTED,False
RFQ731-000005,x731,158,0,0,0,0,0.006329113924050633,CFG731_ef980c35ed5ff3e4,x731,34.70912091806144,CFG731_db395082b1a3b8ac,V8_EXTRACTED,False
RFQ731-000006,x731,22,0,0,0,0,0.045454545454545456,CFG731_3b2a32abbf148ca1,x731,38.10181107416925,CFG731_541ce2492ce71d94,V8_EXTRACTED,False
RFQ731-000007,x731,20,0,0,0,0,0.05,CFG731_31b475abe3d16a99,x731,23.22318178604904,CFG731_134ecd7b8190bed1,V8_EXTRACTED,False
RFQ731-000008,G731ST-HT,98,0,0,0,0,0.01020408163265306,CFG731_9f9bc93c4b0253cf,G731ST-HT,32.74994554449452,CFG731_b5710e5f11e2cbc2,V8_EXTRACTED,False
RFQ731-000009,G731ST-HT,1,1,1,1,1,1.0,CFG731_646d8903da63e1f0,G731ST-HT,32.90049575284704,CFG731_646d8903da63e1f0,V8_EXTRACTED,False
RFQ731-000010,G731ST-LT,429,0,0,0,0,0.002331002331002331,CFG731_e03b41992c837b34,G731ST-LT,33.197259523380566,CFG731_9e44a82e6c1db982,V8_EXTRACTED,False
RFQ731-000011,G731ST-HT,23,0,0,0,0,0.043478260869565216,CFG731_ef8d68b6d278bfec,G731ST-HT,32.982092095480276,CFG731_cd71ec2726e971ef,V8_EXTRACTED,False
RFQ731-000012,x731,1,1,1,1,1,1.0,CFG731_6e27958dc8215006,x731,41.869155431453876,CFG731_6e27958dc8215006,V8_EXTRACTED,False
RFQ731-000013,x731,8,0,0,0,1,0.125,CFG731_05cf1a0209b4f9a8,x731,42.14595280260903,CFG731_6526112621a9ee97,V8_EXTRACTED,False
RFQ731-000014,x731,58,0,0,0,0,0.017241379310344827,CFG731_3b2a32abbf148ca1,x731,37.85275773090804,CFG731_5c624ef6fa2b6510,V8_EXTRACTED,False
RFQ731-000015,x731,3,0,1,1,1,0.3333333333333333,CFG731_219ac3d01befd6d1,x731,32.569549998690576,CFG731_5d255cf6dd296018,V8_EXTRACTED,False
RFQ731-000016,x731,3,0,1,1,1,0.3333333333333333,CFG731_c39096767a7ae083,x731,39.32501192585788,CFG731_ef02695e374fc418,V8_EXTRACTED,False
RFQ731-000017,F731WD_DualChannel,1,1,1,1,1,1.0,CFG731_c37386a371e13fa8,F731WD_DualChannel,41.18491910083442,CFG731_c37386a371e13fa8,V8_EXTRACTED,False
RFQ731-000018,F731TE,1,1,1,1,1,1.0,CFG731_fd6959ad3c5fd9ed,F731TE,21.63456830444615,CFG731_fd6959ad3c5fd9ed,V8_EXTRACTED,False
RFQ731-000019,x731,6,0,0,0,1,0.16666666666666666,CFG731_fa063863b8688588,x731,18.88809561271566,CFG731_6ba028da3bba9c41,V8_EXTRACTED,False
RFQ731-000020,x731,7,0,0,0,1,0.14285714285714285,CFG731_0c05dd0ad4f3894a,x731,28.534594561977585,CFG731_48772fd385d8dcd5,V8_EXTRACTED,False
RFQ731-000021,G731ST-HT,2,0,1,1,1,0.5,CFG731_fcc72e9951376cf3,G731ST-HT,37.94079744718859,CFG731_5dd35c89836ec88e,V8_EXTRACTED,False
RFQ731-000022,G731ST-LT,7,0,0,0,1,0.14285714285714285,CFG731_e0009be417f51ccd,G731ST-LT,33.066644766393225,CFG731_a40ab19ad6671fbe,V8_EXTRACTED,False
RFQ731-000023,x731,11,0,0,0,0,0.09090909090909091,CFG731_5ea309f998205da7,x731,19.64326160594692,CFG731_9ccdadb28a07accd,V8_EXTRACTED,False
RFQ731-000024,G731ST-LT,22,0,0,0,0,0.045454545454545456,CFG731_7882c72c21497015,G731ST-LT,35.39958624026467,CFG731_1d89d7fdc7355744,V8_EXTRACTED,False
RFQ731-000025,G731ST-HT,1,1,1,1,1,1.0,CFG731_a4416ae9d698efa6,G731ST-HT,33.18084713586854,CFG731_a4416ae9d698efa6,V8_EXTRACTED,False
RFQ731-000026,x731,53,0,0,0,0,0.018867924528301886,CFG731_784eb334d1d77ae7,x731,23.17434323005295,CFG731_1b365e0951e7dea4,V8_EXTRACTED,False
RFQ731-000027,x731,2,0,1,1,1,0.5,CFG731_5cfa203ca7029f1c,x731,42.154041530802914,CFG731_59f86789e43d86f1,V8_EXTRACTED,False
RFQ731-000028,G731ST-HT,1,1,1,1,1,1.0,CFG731_8b18ac1c34209d63,G731ST-HT,34.49732347854012,CFG731_8b18ac1c34209d63,V8_EXTRACTED,False
RFQ731-000029,x731,22,0,0,0,0,0.045454545454545456,CFG731_5e61ce3b60d15e11,x731,24.024365051821547,CFG731_ff3460f478ef969b,V8_EXTRACTED,False
RFQ731-000030,G731ST-HT,2,0,1,1,1,0.5,CFG731_eb70dc35972dc4b7,G731ST-HT,35.71459318224258,CFG731_c759934398f2381a,V8_EXTRACTED,False
