rfq_id,mode,package_aware,target_package,true_configuration_id,recommended_configuration_id,recommended_package,top_score,true_rank,candidate_count,requirement_count,mandatory_matches,mandatory_conflicts,preferred_matches,preferred_conflicts,refinement_distance,is_top1
RFQ731-000001,V8_EXTRACTED,False,x731,CFG731_bb4f0886ba308d63,CFG731_399690ce112d8d2a,x731,111.0820269607843,48.0,104,15,9,0,4,2,2.8,False
RFQ731-000002,V8_EXTRACTED,False,x731,CFG731_83f956404d04e6cd,CFG731_9cb3c996fff3863c,x731,118.60969662392397,63.0,140,15,7,0,7,1,1.2,False
RFQ731-000003,V8_EXTRACTED,False,x731,CFG731_bd00839e452c6958,CFG731_5d88e63d941ec6fd,x731,106.53911005499761,52.0,122,13,7,0,5,1,1.6,False
RFQ731-000004,V8_EXTRACTED,False,G731ST-LT,CFG731_de503c5e46490150,CFG731_515a31451814aae9,G731ST-LT,108.91913247250122,19.0,242,11,8,0,3,0,0.0,False
RFQ731-000005,V8_EXTRACTED,False,x731,CFG731_db395082b1a3b8ac,CFG731_db983e07a279051a,x731,121.71873270115977,95.0,176,13,8,0,5,0,0.0,False
RFQ731-000006,V8_EXTRACTED,False,x731,CFG731_541ce2492ce71d94,CFG731_d4dafb658c85c692,x731,150.50350161406027,83.0,146,16,12,0,3,1,0.0,False
RFQ731-000007,V8_EXTRACTED,False,x731,CFG731_134ecd7b8190bed1,CFG731_bfee42801e80594e,x731,122.2567718794835,15.0,120,14,9,0,4,1,1.2,False
RFQ731-000008,V8_EXTRACTED,False,G731ST-HT,CFG731_b5710e5f11e2cbc2,CFG731_7cc9f85131c775cb,G731ST-HT,110.47042324246773,39.0,232,14,8,0,5,1,1.5,False
RFQ731-000009,V8_EXTRACTED,False,G731ST-HT,CFG731_646d8903da63e1f0,CFG731_646d8903da63e1f0,G731ST-HT,121.54459463175515,1.0,208,16,9,0,5,2,2.9000000000000004,True
RFQ731-000010,V8_EXTRACTED,False,G731ST-LT,CFG731_9e44a82e6c1db982,CFG731_26554ff79bcf8a3f,G731ST-LT,112.27551410808226,,276,14,8,0,5,1,1.6,False
RFQ731-000011,V8_EXTRACTED,False,G731ST-HT,CFG731_cd71ec2726e971ef,CFG731_cd71ec2726e971ef,G731ST-HT,145.28437858680059,1.0,368,14,12,0,1,1,1.5,True
