weight_type,characteristic,value,weight
characteristic,devCategory,,1.6094379124341003
characteristic,characteristic,,2.0794415416798357
characteristic,housing,,1.0
characteristic,powerSupply,,1.0986122886681098
characteristic,numberOfChannels,,1.0986122886681098
characteristic,explosionApproval,,1.6094379124341003
characteristic,protectionArea,,1.0986122886681098
characteristic,certification,,1.3862943611198906
characteristic,dataInterface,,1.791759469228055
characteristic,stromSchaltbar,,1.3862943611198906
characteristic,stromEingaenge,,1.3862943611198906
characteristic,temperaturEingaenge,,1.3862943611198906
characteristic,binaerDigitalOpenColl_MN,,1.6094379124341003
characteristic,binaerOpenColl_MP,,1.6094379124341003
characteristic,waveInjector,,1.0986122886681098
characteristic,dev_advMeterVerification,,1.0986122886681098
characteristic,dynamicGasMaster,,1.0986122886681098
characteristic,customUserFluid,,1.0986122886681098
characteristic,steamApplication,,1.3862943611198906
value,devCategory,G,1.5582278626605746
value,devCategory,F,2.0672898175390686
value,devCategory,S,4.1022157539564414
value,devCategory,H,4.2088254890147
value,characteristic,GP,1.2448419137752886
value,characteristic,ST,2.8705403470811692
value,characteristic,CA,4.699031825577954
value,characteristic,TE,5.156864919203435
value,characteristic,WD,5.189654742026425
value,characteristic,PW,5.8182634014487995
value,characteristic,VG,6.981414211254481
value,housing,ST,1.0
value,powerSupply,1,1.526093095896779
value,powerSupply,4,1.892584069573168
value,numberOfChannels,1,1.1138136513688845
value,numberOfChannels,2,3.2248761086667295
value,explosionApproval,N,2.1403817015444044
value,explosionApproval,A,2.1889349269613954
value,explosionApproval,K,2.61704251181932
value,explosionApproval,F,2.7215552105548064
value,protectionArea,2,1.3844748322163285
value,protectionArea,N,2.1403817015444044
value,certification,NN,1.3359673136112429
value,certification,MN,2.2791173145356662
value,certification,CN,5.8182634014487995
value,dataInterface,NN,1.666239727640021
value,dataInterface,HS,1.7917962616297847
value,dataInterface,PA,4.80666248977032
value,dataInterface,MT,5.757638779632365
value,dataInterface,MR,6.393627546352362
value,stromSchaltbar,CS1,1.5733459807473247
value,stromSchaltbar,NOVALUE,1.9099974448983659
value,stromSchaltbar,CS2,4.356745619091321
value,stromEingaenge,IS1,1.5346768395881707
value,stromEingaenge,NOVALUE,1.8827680398355113
value,stromEingaenge,IS2,7.492239835020471
value,temperaturEingaenge,TT1,1.466373861195157
value,temperaturEingaenge,NOVALUE,2.0269965971564536
value,temperaturEingaenge,TT2,5.156864919203435
value,binaerDigitalOpenColl_MN,NOVALUE,1.5805402563813518
value,binaerDigitalOpenColl_MN,MN1,1.847971487896678
value,binaerDigitalOpenColl_MN,MN4,5.882801922586371
value,binaerDigitalOpenColl_MN,MN2,6.10594547390058
value,binaerOpenColl_MP,NOVALUE,1.4370183221097381
value,binaerOpenColl_MP,MP1,2.11850582918768
value,binaerOpenColl_MP,MP4,4.639608405107154
value,binaerOpenColl_MP,MP2,6.981414211254481
value,waveInjector,FWI,1.1518805312927192
value,waveInjector,NOVALUE,2.9560625205193314
value,dev_advMeterVerification,1,1.4850659942073094
value,dev_advMeterVerification,NOVALUE,1.9549055680019345
value,dynamicGasMaster,NOVALUE,1.319843585407589
value,dynamicGasMaster,1,2.2937428037546455
value,customUserFluid,1,1.4583545720285371
value,customUserFluid,NOVALUE,1.9991783916799228
value,steamApplication,NOVALUE,1.1666868426465526
value,steamApplication,N,3.553899521274952
value,steamApplication,H,3.5669716028423046
