rfq_id,mode,package_aware,candidate_count,requirement_count,top_score,positive_score,negative_score,mandatory_matches,mandatory_conflicts,preferred_matches,preferred_conflicts,refinement_distance,refinement_exact_matches
RFQ731-000001,V8_EXTRACTED,False,104,15,111.0820269607843,114.73323021281684,9.171203252032523,9,0,4,2,2.8,13
RFQ731-000002,V8_EXTRACTED,False,140,15,118.60969662392397,115.78423320928982,3.7545365853658543,7,0,7,1,1.2,14
RFQ731-000003,V8_EXTRACTED,False,122,13,106.53911005499761,106.73977672166428,5.640666666666668,7,0,5,1,1.6,12
RFQ731-000004,V8_EXTRACTED,False,242,11,108.91913247250122,103.60313247250122,0.184,8,0,3,0,0.0,11
RFQ731-000005,V8_EXTRACTED,False,176,13,121.71873270115977,115.29873270115976,0.08,8,0,5,0,0.0,13
RFQ731-000006,V8_EXTRACTED,False,146,16,150.50350161406027,148.52057478479202,5.5170731707317096,12,0,3,1,0.0,15
RFQ731-000007,V8_EXTRACTED,False,120,14,122.2567718794835,119.83530846484935,3.6585365853658542,9,0,4,1,1.2,13
RFQ731-000008,V8_EXTRACTED,False,232,14,110.47042324246773,109.20042324246774,4.705,8,0,5,1,1.5,13
RFQ731-000009,V8_EXTRACTED,False,208,16,121.54459463175515,127.57695885939742,11.517364227642277,9,0,5,2,2.9000000000000004,13
RFQ731-000010,V8_EXTRACTED,False,276,14,112.27551410808226,111.83218077474893,5.496666666666668,8,0,5,1,1.6,13
RFQ731-000011,V8_EXTRACTED,False,368,14,145.28437858680059,144.0143785868006,4.705,12,0,1,1,1.5,13
RFQ731-000012,V8_EXTRACTED,False,148,16,155.42111205762797,147.42111205762797,0.0,11,0,5,0,0.0,16
RFQ731-000013,V8_EXTRACTED,False,138,15,143.12824713055952,135.73224713055953,0.10400000000000001,10,0,5,0,0.0,15
RFQ731-000014,V8_EXTRACTED,False,132,18,133.78600490749042,137.2797447448888,10.933739837398377,9,0,7,2,1.6,16
RFQ731-000015,V8_EXTRACTED,False,184,15,119.08744697513153,117.70852014586323,5.62107317073171,8,0,6,1,0.0,14
RFQ731-000016,V8_EXTRACTED,False,148,13,122.69988357275228,116.29588357275229,0.096,9,0,4,0,0.0,13
RFQ731-000017,V8_EXTRACTED,False,512,12,107.53302953132476,106.94369619799141,4.4206666666666665,9,0,2,1,1.4,11
RFQ731-000018,V8_EXTRACTED,False,484,12,77.81471263749403,90.5024524748924,15.567739837398376,7,0,2,3,3.2,8
RFQ731-000019,V8_EXTRACTED,False,130,12,102.65485823917983,101.33739482454568,3.7625365853658543,9,0,2,1,1.2,11
RFQ731-000020,V8_EXTRACTED,False,152,16,128.41479957436636,131.47000282639885,9.075203252032523,10,0,4,2,2.8,14
RFQ731-000021,V8_EXTRACTED,False,290,13,137.5408888091822,131.22488880918223,0.184,11,0,2,0,0.0,13
RFQ731-000022,V8_EXTRACTED,False,344,17,141.61132748684844,146.51869171449067,10.892364227642279,10,0,5,2,2.9000000000000004,14
RFQ731-000023,V8_EXTRACTED,False,158,12,122.68833787661407,121.47487446197992,3.8665365853658544,10,0,1,1,1.2,11
RFQ731-000024,V8_EXTRACTED,False,284,14,110.81694703491154,109.4036137015782,4.596666666666667,7,0,6,1,1.4,13
RFQ731-000025,V8_EXTRACTED,False,408,14,132.893388507891,131.62338850789098,4.705,11,0,2,1,1.5,13
RFQ731-000026,V8_EXTRACTED,False,162,17,117.45471801769489,127.08599444045913,14.696276422764232,10,0,4,3,4.1000000000000005,13
RFQ731-000027,V8_EXTRACTED,False,154,14,128.54688921643356,121.74688921643354,0.2,9,0,5,0,0.0,14
RFQ731-000028,V8_EXTRACTED,False,364,17,166.42323260401724,168.77323260401724,8.405,13,0,2,2,2.7,14
RFQ731-000029,V8_EXTRACTED,False,170,17,101.94626643950264,111.95646969153516,15.575203252032523,7,0,7,3,4.1000000000000005,14
RFQ731-000030,V8_EXTRACTED,False,312,13,121.3044667623147,114.8844667623147,0.08,9,0,4,0,0.0,13
RFQ731-000031,V8_EXTRACTED,False,116,15,113.23264084917504,117.14941714490675,9.891776295731708,9,0,4,2,1.5,13
RFQ731-000032,V8_EXTRACTED,False,144,12,114.6855161406026,108.7975161406026,0.11199999999999999,8,0,4,0,0.0,12
RFQ731-000033,V8_EXTRACTED,False,388,12,125.66151219512197,119.90951219512198,0.24800000000000003,9,0,3,0,0.0,12
RFQ731-000034,V8_EXTRACTED,False,442,13,109.47907837637497,115.24044260401723,9.816364227642277,9,0,2,2,2.7,10
RFQ731-000035,V8_EXTRACTED,False,420,13,120.24555333572455,120.67625089670015,5.475697560975611,10,0,2,1,1.3,11
RFQ731-000036,V8_EXTRACTED,False,234,13,102.56699845319227,101.53870157819227,4.446703124999999,7,0,5,1,1.5,12
RFQ731-000037,V8_EXTRACTED,False,178,13,120.32044452415114,120.50511119081781,5.624666666666668,9,0,3,1,1.6,12
RFQ731-000038,V8_EXTRACTED,False,154,15,149.25478527020564,141.85878527020566,0.10400000000000001,11,0,4,0,0.0,15
RFQ731-000039,V8_EXTRACTED,False,412,13,149.53228120516502,143.03228120516502,0.0,12,0,1,0,0.0,13
RFQ731-000040,V8_EXTRACTED,False,162,12,117.90301821048541,112.08701821048541,0.184,8,0,4,0,0.0,12
RFQ731-000041,V8_EXTRACTED,False,290,14,115.23859863701578,120.0896718077475,10.326073170731709,10,0,2,2,1.5,12
RFQ731-000042,V8_EXTRACTED,False,184,15,105.62054835081899,104.83721501748568,5.656666666666668,7,0,7,1,1.6,14
RFQ731-000043,V8_EXTRACTED,False,130,14,129.2694501330105,129.12014769398613,5.395697560975611,11,0,2,1,1.3,12
RFQ731-000044,V8_EXTRACTED,False,162,16,133.63252331420372,137.29959648493542,10.14207317073171,11,0,3,2,1.5,14
RFQ731-000045,V8_EXTRACTED,False,508,14,119.84828144428505,124.93094811095172,9.962666666666667,10,0,2,2,3.2,12
RFQ731-000046,V8_EXTRACTED,False,156,13,123.07786271520806,116.57786271520806,0.0,9,0,4,0,0.0,13
RFQ731-000047,V8_EXTRACTED,False,180,16,140.3190658065818,138.33613897731348,5.5170731707317096,11,0,4,1,0.0,15
RFQ731-000048,V8_EXTRACTED,False,382,17,117.68132254184603,122.38847843615495,10.762155894308943,8,0,7,2,2.7,14
RFQ731-000049,V8_EXTRACTED,False,176,14,103.84020851267337,109.43794835007175,11.037739837398377,8,0,4,2,1.6,12
RFQ731-000050,V8_EXTRACTED,False,492,11,118.90166786226688,113.40166786226688,0.0,10,0,1,0,0.0,11
RFQ731-000051,V8_EXTRACTED,False,460,9,88.11631309182211,92.02387406743186,6.777560975609759,8,0,0,1,1.8,7
RFQ731-000052,V8_EXTRACTED,False,152,17,126.87806108396103,129.43326433599356,9.075203252032523,9,0,6,2,2.8,15
RFQ731-000053,V8_EXTRACTED,False,136,14,147.69951649928265,140.79551649928266,0.096,10,0,4,0,0.0,14
RFQ731-000054,V8_EXTRACTED,False,188,12,121.271006169297,122.2017037302726,5.475697560975611,9,0,2,1,1.3,10
