rfq_id,target_package,predicted_configuration_id,true_configuration_id,true_rank,error_type,num_changed_characteristics,changed_characteristics,mandatory_requirements,mandatory_matches,mandatory_mismatches,preferred_requirements,preferred_matches,preferred_mismatches,true_mandatory_matches,true_mandatory_mismatches,predicted_score,predicted_package,recommendation_package_aware
RFQ731-000001,x731,CFG731_9a0f0b26c7f24725,CFG731_bb4f0886ba308d63,6.0,TRUE_IN_TOP10,2,dev_advMeterVerification|customUserFluid,10,10,0,4,4,0,10,0,21.6927433020168,x731,false
RFQ731-000002,x731,CFG731_83f956404d04e6cd,CFG731_83f956404d04e6cd,1.0,CORRECT_TOP1,0,,11,11,0,6,6,0,11,0,25.26687120444848,x731,false
RFQ731-000003,x731,CFG731_26a55fc6510692e1,CFG731_bd00839e452c6958,5.0,TRUE_IN_TOP5,1,customUserFluid,9,9,0,4,4,0,9,0,18.902528998144003,x731,false
RFQ731-000004,G731ST-LT,CFG731_e03b41992c837b34,CFG731_de503c5e46490150,8.0,TRUE_IN_TOP10,2,stromEingaenge|temperaturEingaenge,10,10,0,3,3,0,10,0,22.55250599586825,G731ST-LT,false
RFQ731-000005,x731,CFG731_db395082b1a3b8ac,CFG731_db395082b1a3b8ac,1.0,CORRECT_TOP1,0,,10,10,0,4,4,0,10,0,22.940611540664392,x731,false
RFQ731-000006,x731,CFG731_3b2a32abbf148ca1,CFG731_541ce2492ce71d94,3.0,TRUE_IN_TOP3,3,stromSchaltbar|temperaturEingaenge|dev_advMeterVerification,12,12,0,2,2,0,12,0,20.327921389887216,x731,false
RFQ731-000007,x731,CFG731_a59cc7e57b856164,CFG731_134ecd7b8190bed1,2.0,TRUE_IN_TOP3,2,stromSchaltbar|stromEingaenge,9,9,0,4,4,0,9,0,19.755499301034664,x731,false
RFQ731-000008,G731ST-HT,CFG731_3f42c988dc83cb23,CFG731_b5710e5f11e2cbc2,4.0,TRUE_IN_TOP5,1,stromEingaenge,10,10,0,4,4,0,10,0,25.751984721529897,G731ST-HT,false
RFQ731-000009,G731ST-HT,CFG731_646d8903da63e1f0,CFG731_646d8903da63e1f0,1.0,CORRECT_TOP1,0,,10,10,0,5,5,0,10,0,26.99506413179173,G731ST-HT,false
RFQ731-000010,G731ST-LT,CFG731_87d8ba5b87cf0a3f,CFG731_9e44a82e6c1db982,5.0,TRUE_IN_TOP5,2,stromEingaenge|temperaturEingaenge,8,8,0,5,5,0,8,0,22.72157556398946,G731ST-LT,false
RFQ731-000011,G731ST-HT,CFG731_ef8d68b6d278bfec,CFG731_cd71ec2726e971ef,4.0,TRUE_IN_TOP5,1,temperaturEingaenge,13,13,0,1,1,0,13,0,25.28506140626629,G731ST-HT,false
RFQ731-000012,x731,CFG731_6e27958dc8215006,CFG731_6e27958dc8215006,1.0,CORRECT_TOP1,0,,11,11,0,5,5,0,11,0,23.05019727261671,x731,false
RFQ731-000013,x731,CFG731_6526112621a9ee97,CFG731_6526112621a9ee97,1.0,CORRECT_TOP1,0,,10,10,0,5,5,0,10,0,21.08350280362588,x731,false
RFQ731-000014,x731,CFG731_5c624ef6fa2b6510,CFG731_5c624ef6fa2b6510,1.0,CORRECT_TOP1,0,,9,9,0,6,6,0,9,0,21.062198384178032,x731,false
