rfq_id,characteristic,error_type,predicted_value,actual_value
RFQ731-000001,binaerOpenColl_MP,FALSE_POSITIVE_OR_WRONG_VALUE,MP1,NOVALUE
RFQ731-000001,certification,FALSE_POSITIVE_OR_WRONG_VALUE,IN,MN
RFQ731-000001,protectionArea,MISSED_REQUIREMENT,NOVALUE,N
RFQ731-000001,stromSchaltbar,FALSE_POSITIVE_OR_WRONG_VALUE,CAPABILITY,CS1
RFQ731-000001,waveInjector,MISSED_REQUIREMENT,NOVALUE,FWI
RFQ731-000002,binaerDigitalOpenColl_MN,MISSED_REQUIREMENT,NOVALUE,MN1
RFQ731-000002,binaerOpenColl_MP,FALSE_POSITIVE_OR_WRONG_VALUE,MP1,NOVALUE
RFQ731-000002,certification,FALSE_POSITIVE_OR_WRONG_VALUE,AG,MN
RFQ731-000002,characteristic,FALSE_POSITIVE_OR_WRONG_VALUE,TE,GP
RFQ731-000002,customUserFluid,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000002,dev_advMeterVerification,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000002,dynamicGasMaster,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000002,explosionApproval,MISSED_REQUIREMENT,NOVALUE,N
RFQ731-000002,protectionArea,MISSED_REQUIREMENT,NOVALUE,N
RFQ731-000002,stromEingaenge,MISSED_REQUIREMENT,NOVALUE,IS1
RFQ731-000002,stromSchaltbar,FALSE_POSITIVE_OR_WRONG_VALUE,FUNCTIONALITY,CS1
RFQ731-000002,waveInjector,MISSED_REQUIREMENT,NOVALUE,FWI
RFQ731-000003,binaerOpenColl_MP,FALSE_POSITIVE_OR_WRONG_VALUE,MP1,NOVALUE
RFQ731-000003,certification,FALSE_POSITIVE_OR_WRONG_VALUE,IN,NN
RFQ731-000003,characteristic,FALSE_POSITIVE_OR_WRONG_VALUE,TE,GP
RFQ731-000003,dev_advMeterVerification,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000003,explosionApproval,MISSED_REQUIREMENT,NOVALUE,N
RFQ731-000003,protectionArea,MISSED_REQUIREMENT,NOVALUE,N
RFQ731-000003,waveInjector,MISSED_REQUIREMENT,NOVALUE,FWI
RFQ731-000004,certification,FALSE_POSITIVE_OR_WRONG_VALUE,AG,NN
RFQ731-000004,characteristic,FALSE_POSITIVE_OR_WRONG_VALUE,VG,ST
RFQ731-000004,customUserFluid,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000004,devCategory,MISSED_REQUIREMENT,NOVALUE,G
RFQ731-000004,dev_advMeterVerification,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000004,explosionApproval,MISSED_REQUIREMENT,NOVALUE,A
RFQ731-000004,powerSupply,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000004,protectionArea,MISSED_REQUIREMENT,NOVALUE,2
RFQ731-000004,steamApplication,MISSED_REQUIREMENT,NOVALUE,N
RFQ731-000005,binaerDigitalOpenColl_MN,MISSED_REQUIREMENT,NOVALUE,MN1
RFQ731-000005,binaerOpenColl_MP,FALSE_POSITIVE_OR_WRONG_VALUE,MP1,NOVALUE
