rfq_id,characteristic,internal_value,error_type
RFQ731-004539,certification,NN,TRUE_POSITIVE
RFQ731-004144,explosionApproval,N,TRUE_POSITIVE
RFQ731-004862,devCategory,F,TRUE_POSITIVE
RFQ731-000245,stromEingaenge,IS1,TRUE_POSITIVE
RFQ731-003635,customUserFluid,1,TRUE_POSITIVE
RFQ731-003528,numberOfChannels,1,TRUE_POSITIVE
RFQ731-001393,dataInterface,NN,TRUE_POSITIVE
RFQ731-000503,stromEingaenge,IS1,TRUE_POSITIVE
RFQ731-003932,characteristic,GP,TRUE_POSITIVE
RFQ731-004059,housing,ST,TRUE_POSITIVE
RFQ731-001211,housing,ST,TRUE_POSITIVE
RFQ731-002447,housing,ST,TRUE_POSITIVE
RFQ731-000477,numberOfChannels,2,TRUE_POSITIVE
RFQ731-004409,binaerOpenColl_MP,MP1,TRUE_POSITIVE
RFQ731-001201,customUserFluid,1,TRUE_POSITIVE
RFQ731-000673,waveInjector,FWI,TRUE_POSITIVE
RFQ731-003145,protectionArea,2,TRUE_POSITIVE
RFQ731-004989,customUserFluid,1,TRUE_POSITIVE
RFQ731-001986,binaerOpenColl_MP,MP1,TRUE_POSITIVE
RFQ731-001594,steamApplication,H,TRUE_POSITIVE
RFQ731-000558,dev_advMeterVerification,1,TRUE_POSITIVE
RFQ731-001999,dataInterface,NN,TRUE_POSITIVE
RFQ731-003070,dev_advMeterVerification,1,TRUE_POSITIVE
RFQ731-003825,characteristic,GP,TRUE_POSITIVE
RFQ731-001612,powerSupply,1,TRUE_POSITIVE
RFQ731-001247,devCategory,F,TRUE_POSITIVE
RFQ731-004918,dataInterface,NN,TRUE_POSITIVE
RFQ731-000148,customUserFluid,1,TRUE_POSITIVE
RFQ731-001717,devCategory,F,TRUE_POSITIVE
RFQ731-002235,stromEingaenge,IS1,TRUE_POSITIVE
RFQ731-002191,numberOfChannels,1,TRUE_POSITIVE
RFQ731-003391,housing,ST,TRUE_POSITIVE
RFQ731-002693,powerSupply,1,TRUE_POSITIVE
RFQ731-003405,numberOfChannels,1,TRUE_POSITIVE
RFQ731-003575,binaerOpenColl_MP,MP4,TRUE_POSITIVE
RFQ731-002474,temperaturEingaenge,TT1,TRUE_POSITIVE
RFQ731-001865,devCategory,G,TRUE_POSITIVE
RFQ731-001952,temperaturEingaenge,TT1,TRUE_POSITIVE
RFQ731-003463,numberOfChannels,1,TRUE_POSITIVE
RFQ731-003602,devCategory,G,TRUE_POSITIVE
RFQ731-003833,stromSchaltbar,CS1,TRUE_POSITIVE
RFQ731-003935,dev_advMeterVerification,1,TRUE_POSITIVE
RFQ731-004630,stromSchaltbar,CS1,TRUE_POSITIVE
RFQ731-004790,steamApplication,H,TRUE_POSITIVE
RFQ731-001123,explosionApproval,F,TRUE_POSITIVE
RFQ731-001163,housing,ST,TRUE_POSITIVE
RFQ731-004346,powerSupply,1,TRUE_POSITIVE
RFQ731-000707,customUserFluid,1,TRUE_POSITIVE
RFQ731-000640,protectionArea,2,TRUE_POSITIVE
RFQ731-003702,protectionArea,N,TRUE_POSITIVE
RFQ731-001973,dataInterface,NN,TRUE_POSITIVE
RFQ731-000931,certification,NN,TRUE_POSITIVE
RFQ731-002829,certification,NN,TRUE_POSITIVE
RFQ731-002437,numberOfChannels,1,TRUE_POSITIVE
RFQ731-004791,customUserFluid,1,TRUE_POSITIVE
RFQ731-001655,explosionApproval,N,TRUE_POSITIVE
RFQ731-004250,protectionArea,2,TRUE_POSITIVE
RFQ731-003079,dev_advMeterVerification,1,TRUE_POSITIVE
RFQ731-000674,certification,NN,TRUE_POSITIVE
RFQ731-000823,dev_advMeterVerification,1,TRUE_POSITIVE
RFQ731-002695,stromEingaenge,IS1,TRUE_POSITIVE
RFQ731-001932,numberOfChannels,1,TRUE_POSITIVE
RFQ731-001571,customUserFluid,1,TRUE_POSITIVE
RFQ731-002866,temperaturEingaenge,TT1,TRUE_POSITIVE
RFQ731-000498,powerSupply,1,TRUE_POSITIVE
RFQ731-004304,characteristic,ST,TRUE_POSITIVE
RFQ731-000729,characteristic,GP,TRUE_POSITIVE
RFQ731-003389,stromSchaltbar,CS1,TRUE_POSITIVE
RFQ731-002269,explosionApproval,F,TRUE_POSITIVE
RFQ731-002644,temperaturEingaenge,TT1,TRUE_POSITIVE
RFQ731-000704,explosionApproval,K,TRUE_POSITIVE
RFQ731-002214,certification,NN,TRUE_POSITIVE
RFQ731-003284,explosionApproval,A,TRUE_POSITIVE
RFQ731-001173,temperaturEingaenge,TT1,TRUE_POSITIVE
RFQ731-001577,temperaturEingaenge,TT1,TRUE_POSITIVE
RFQ731-001561,powerSupply,1,TRUE_POSITIVE
RFQ731-000550,numberOfChannels,1,TRUE_POSITIVE
RFQ731-003055,explosionApproval,N,TRUE_POSITIVE
RFQ731-004397,temperaturEingaenge,TT1,TRUE_POSITIVE
RFQ731-000664,steamApplication,H,TRUE_POSITIVE
RFQ731-001654,dev_advMeterVerification,1,TRUE_POSITIVE
RFQ731-000698,stromEingaenge,IS1,TRUE_POSITIVE
RFQ731-004810,stromEingaenge,IS1,TRUE_POSITIVE
RFQ731-004892,housing,ST,TRUE_POSITIVE
RFQ731-001252,powerSupply,4,TRUE_POSITIVE
RFQ731-004763,customUserFluid,1,TRUE_POSITIVE
RFQ731-003044,dev_advMeterVerification,1,TRUE_POSITIVE
RFQ731-000450,temperaturEingaenge,TT2,TRUE_POSITIVE
RFQ731-000297,protectionArea,N,TRUE_POSITIVE
