characteristic,requirement_records,unique_rfqs,unique_values,mandatory_records,preferred_records,implicit_records,linguistic_phrases,phrase_observations,mandatory_rate,preferred_rate,implicit_rate,coverage_status
devCategory,5000,5000,4,4911,89,0,3058,360764,0.9822,0.0178,0.0,GOOD
characteristic,5000,5000,7,4723,277,0,1062,81418,0.9446,0.0554,0.0,GOOD
housing,5000,5000,1,2790,2210,951,16776,387881,0.558,0.442,0.1902,GOOD
powerSupply,5000,5000,2,3606,1394,0,328,120630,0.7212,0.2788,0.0,GOOD
numberOfChannels,5000,5000,2,4499,501,0,340,96273,0.8998,0.1002,0.0,GOOD
explosionApproval,5000,5000,4,4489,511,884,7606,203278,0.8978,0.1022,0.1768,GOOD
protectionArea,5000,5000,2,4507,493,0,405,169840,0.9014,0.0986,0.0,GOOD
certification,5000,5000,3,4148,852,0,334,96369,0.8296,0.1704,0.0,GOOD
dataInterface,5000,5000,5,3464,1536,871,10516,247449,0.6928,0.3072,0.1742,GOOD
stromSchaltbar,3057,3057,2,1663,1394,0,349,71326,0.543997383055283,0.45600261694471705,0.0,GOOD
stromEingaenge,2886,2886,2,1974,912,0,295,63344,0.683991683991684,0.316008316008316,0.0,GOOD
temperaturEingaenge,3266,3266,2,2247,1019,0,445,82901,0.6879975505205144,0.31200244947948563,0.0,GOOD
binaerDigitalOpenColl_MN,2150,2150,3,1136,1014,0,289,54108,0.5283720930232558,0.47162790697674417,0.0,GOOD
binaerOpenColl_MP,1950,1950,3,1069,881,0,269,51551,0.5482051282051282,0.4517948717948718,0.0,GOOD
waveInjector,3504,3504,1,1973,1531,0,228,96005,0.5630707762557078,0.4369292237442922,0.0,GOOD
dev_advMeterVerification,3395,3395,1,2024,1371,578,1171,85353,0.5961708394698085,0.40382916053019147,0.17025036818851252,GOOD
dynamicGasMaster,1060,1060,1,672,388,0,220,25112,0.6339622641509434,0.3660377358490566,0.0,GOOD
customUserFluid,3057,3057,1,1807,1250,0,205,68993,0.5911023879620543,0.4088976120379457,0.0,GOOD
steamApplication,1153,1153,2,860,293,0,120,21966,0.7458803122289679,0.2541196877710321,0.0,GOOD
