characteristic,internal_value,phrase,occurrence_count,unique_rfqs,mandatory_count,preferred_count,implicit_count,mandatory_rate,preferred_rate,implicit_rate,evidence_score,evidence_level
binaerDigitalOpenColl_MN,MN1,digital,1967,1967,1050,917,0,0.5338078291814946,0.46619217081850534,0.0,3475.5,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,input,1967,1967,1050,917,0,0.5338078291814946,0.46619217081850534,0.0,3475.5,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,a digital,1014,1014,552,462,0,0.5443786982248521,0.4556213017751479,0.0,1797.0,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,a digital open-collector,1014,1014,552,462,0,0.5443786982248521,0.4556213017751479,0.0,1797.0,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,a digital open-collector input,1014,1014,552,462,0,0.5443786982248521,0.4556213017751479,0.0,1797.0,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,digital open-collector,1014,1014,552,462,0,0.5443786982248521,0.4556213017751479,0.0,1797.0,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,digital open-collector input,1014,1014,552,462,0,0.5443786982248521,0.4556213017751479,0.0,1797.0,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,open-collector,1014,1014,552,462,0,0.5443786982248521,0.4556213017751479,0.0,1797.0,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,open-collector input,1014,1014,552,462,0,0.5443786982248521,0.4556213017751479,0.0,1797.0,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,digital signal,953,953,498,455,0,0.5225603357817419,0.4774396642182581,0.0,1678.5,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,digital signal input,953,953,498,455,0,0.5225603357817419,0.4774396642182581,0.0,1678.5,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,digital signal input capability,953,953,498,455,0,0.5225603357817419,0.4774396642182581,0.0,1678.5,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,input capability,953,953,498,455,0,0.5225603357817419,0.4774396642182581,0.0,1678.5,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,signal,953,953,498,455,0,0.5225603357817419,0.4774396642182581,0.0,1678.5,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,signal input,953,953,498,455,0,0.5225603357817419,0.4774396642182581,0.0,1678.5,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,signal input capability,953,953,498,455,0,0.5225603357817419,0.4774396642182581,0.0,1678.5,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,we would,466,466,0,466,0,0.0,1.0,0.0,699.0,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,would,466,466,0,466,0,0.0,1.0,0.0,699.0,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,application,263,263,263,0,0,1.0,0.0,0.0,526.0,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,application requires,263,263,263,0,0,1.0,0.0,0.0,526.0,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,the application,263,263,263,0,0,1.0,0.0,0.0,526.0,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,the application requires,263,263,263,0,0,1.0,0.0,0.0,526.0,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,we require,263,263,263,0,0,1.0,0.0,0.0,526.0,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,must,249,249,249,0,0,1.0,0.0,0.0,498.0,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,must provide,249,249,249,0,0,1.0,0.0,0.0,498.0,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,proposed,249,249,249,0,0,1.0,0.0,0.0,498.0,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,proposed solution,249,249,249,0,0,1.0,0.0,0.0,498.0,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,proposed solution must,249,249,249,0,0,1.0,0.0,0.0,498.0,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,proposed solution must provide,249,249,249,0,0,1.0,0.0,0.0,498.0,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,solution,249,249,249,0,0,1.0,0.0,0.0,498.0,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,solution must,249,249,249,0,0,1.0,0.0,0.0,498.0,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,solution must provide,249,249,249,0,0,1.0,0.0,0.0,498.0,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,the proposed,249,249,249,0,0,1.0,0.0,0.0,498.0,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,the proposed solution,249,249,249,0,0,1.0,0.0,0.0,498.0,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,the proposed solution must,249,249,249,0,0,1.0,0.0,0.0,498.0,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,the proposed solution must provide,249,249,249,0,0,1.0,0.0,0.0,498.0,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,provide a digital,243,243,127,116,0,0.522633744855967,0.4773662551440329,0.0,428.0,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,provide a digital open-collector,243,243,127,116,0,0.522633744855967,0.4773662551440329,0.0,428.0,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,provide a digital open-collector input,243,243,127,116,0,0.522633744855967,0.4773662551440329,0.0,428.0,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,provide digital,231,231,122,109,0,0.5281385281385281,0.47186147186147187,0.0,407.5,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,provide digital signal,231,231,122,109,0,0.5281385281385281,0.47186147186147187,0.0,407.5,VERY_STRONG
binaerDigitalOpenColl_MN,MN1,provide digital signal input,231,231,122,109,0,0.5281385281385281,0.47186147186147187,0.0,407.5,VERY_STRONG
