rfq_id,predicted_requirement_count,actual_requirement_count,true_positives,false_positives,false_negatives,precision,recall,f1,predicted_requirements,actual_requirements
RFQ731-000001,13,14,10,3,2,0.7692307692307693,0.8333333333333334,0.8,"{'devCategory': 'G', 'characteristic': 'GP', 'housing': 'ST', 'powerSupply': '4', 'numberOfChannels': '1', 'explosionApproval': 'N', 'certification': 'IN', 'dataInterface': 'HS', 'stromSchaltbar': 'CAPABILITY', 'temperaturEingaenge': 'TT1', 'binaerOpenColl_MP': 'MP1', 'binaerDigitalOpenColl_MN': 'MN1', 'dynamicGasMaster': '1'}","{'devCategory': 'G', 'characteristic': 'GP', 'housing': 'ST', 'powerSupply': '4', 'numberOfChannels': '1', 'explosionApproval': 'N', 'protectionArea': 'N', 'certification': 'MN', 'dataInterface': 'HS', 'stromSchaltbar': 'CS1', 'temperaturEingaenge': 'TT1', 'binaerDigitalOpenColl_MN': 'MN1', 'waveInjector': 'FWI', 'dynamicGasMaster': '1'}"
RFQ731-000002,10,17,6,4,8,0.6,0.42857142857142855,0.5,"{'devCategory': 'G', 'characteristic': 'TE', 'housing': 'ST', 'powerSupply': '4', 'numberOfChannels': '1', 'certification': 'AG', 'dataInterface': 'HS', 'stromSchaltbar': 'FUNCTIONALITY', 'temperaturEingaenge': 'TT1', 'binaerOpenColl_MP': 'MP1'}","{'devCategory': 'G', 'characteristic': 'GP', 'housing': 'ST', 'powerSupply': '4', 'numberOfChannels': '1', 'explosionApproval': 'N', 'protectionArea': 'N', 'certification': 'MN', 'dataInterface': 'HS', 'stromSchaltbar': 'CS1', 'stromEingaenge': 'IS1', 'temperaturEingaenge': 'TT1', 'binaerDigitalOpenColl_MN': 'MN1', 'waveInjector': 'FWI', 'dev_advMeterVerification': '1', 'dynamicGasMaster': '1', 'customUserFluid': '1'}"
RFQ731-000003,10,13,7,3,4,0.7,0.6363636363636364,0.6666666666666666,"{'devCategory': 'F', 'characteristic': 'TE', 'housing': 'ST', 'powerSupply': '1', 'numberOfChannels': '1', 'certification': 'IN', 'dataInterface': 'NN', 'temperaturEingaenge': 'TT1', 'binaerOpenColl_MP': 'MP1', 'binaerDigitalOpenColl_MN': 'MN1'}","{'devCategory': 'F', 'characteristic': 'GP', 'housing': 'ST', 'powerSupply': '1', 'numberOfChannels': '1', 'explosionApproval': 'N', 'protectionArea': 'N', 'certification': 'NN', 'dataInterface': 'NN', 'temperaturEingaenge': 'TT1', 'binaerDigitalOpenColl_MN': 'MN1', 'waveInjector': 'FWI', 'dev_advMeterVerification': '1'}"
RFQ731-000004,6,13,4,2,7,0.6666666666666666,0.36363636363636365,0.4705882352941177,"{'characteristic': 'VG', 'housing': 'ST', 'numberOfChannels': '1', 'certification': 'AG', 'dataInterface': 'NN', 'binaerOpenColl_MP': 'MP1'}","{'devCategory': 'G', 'characteristic': 'ST', 'housing': 'ST', 'powerSupply': '1', 'numberOfChannels': '1', 'explosionApproval': 'A', 'protectionArea': '2', 'certification': 'NN', 'dataInterface': 'NN', 'binaerOpenColl_MP': 'MP1', 'dev_advMeterVerification': '1', 'customUserFluid': '1', 'steamApplication': 'N'}"
RFQ731-000005,8,14,4,4,7,0.5,0.36363636363636365,0.4210526315789474,"{'characteristic': 'TE', 'housing': 'ST', 'numberOfChannels': '1', 'certification': 'IN', 'dataInterface': 'NN', 'stromSchaltbar': 'FUNCTIONALITY', 'temperaturEingaenge': 'TT1', 'binaerOpenColl_MP': 'MP1'}","{'devCategory': 'S', 'characteristic': 'GP', 'housing': 'ST', 'powerSupply': '1', 'numberOfChannels': '1', 'explosionApproval': 'F', 'protectionArea': '2', 'certification': 'NN', 'dataInterface': 'NN', 'stromSchaltbar': 'CS1', 'stromEingaenge': 'IS1', 'temperaturEingaenge': 'TT1', 'binaerDigitalOpenColl_MN': 'MN1', 'waveInjector': 'FWI'}"
RFQ731-000006,6,14,5,1,8,0.8333333333333334,0.38461538461538464,0.5263157894736842,"{'devCategory': 'G', 'characteristic': 'GP', 'housing': 'ST', 'numberOfChannels': '1', 'certification': 'AG', 'dataInterface': 'NN'}","{'devCategory': 'G', 'characteristic': 'GP', 'housing': 'ST', 'powerSupply': '1', 'numberOfChannels': '1', 'explosionApproval': 'K', 'protectionArea': '2', 'certification': 'NN', 'dataInterface': 'NN', 'stromEingaenge': 'IS1', 'binaerOpenColl_MP': 'MP1', 'waveInjector': 'FWI', 'dynamicGasMaster': '1', 'customUserFluid': '1'}"
RFQ731-000007,11,13,7,4,4,0.6363636363636364,0.6363636363636364,0.6363636363636364,"{'devCategory': 'G', 'characteristic': 'GP', 'housing': 'ST', 'powerSupply': '4', 'numberOfChannels': '1', 'explosionApproval': 'N', 'certification': 'IN', 'dataInterface': 'NN', 'temperaturEingaenge': 'TT1', 'binaerOpenColl_MP': 'MP1', 'dev_advMeterVerification': '1'}","{'devCategory': 'F', 'characteristic': 'GP', 'housing': 'ST', 'powerSupply': '4', 'numberOfChannels': '1', 'explosionApproval': 'N', 'protectionArea': 'N', 'certification': 'MN', 'dataInterface': 'NN', 'binaerDigitalOpenColl_MN': 'MN1', 'waveInjector': 'FWI', 'dev_advMeterVerification': '1', 'customUserFluid': '1'}"
RFQ731-000008,6,14,3,3,9,0.5,0.25,0.3333333333333333,"{'devCategory': 'G', 'housing': 'ST', 'certification': 'IN', 'dataInterface': 'HS', 'stromSchaltbar': 'FUNCTIONALITY', 'binaerOpenColl_MP': 'MP1'}","{'devCategory': 'G', 'characteristic': 'ST', 'housing': 'ST', 'powerSupply': '1', 'numberOfChannels': '2', 'explosionApproval': 'F', 'protectionArea': '2', 'certification': 'NN', 'dataInterface': 'HS', 'stromSchaltbar': 'CS1', 'binaerDigitalOpenColl_MN': 'MN1', 'waveInjector': 'FWI', 'customUserFluid': '1', 'steamApplication': 'H'}"
RFQ731-000009,9,15,5,4,7,0.5555555555555556,0.4166666666666667,0.4761904761904762,"{'devCategory': 'G', 'characteristic': 'TE', 'housing': 'ST', 'powerSupply': '1', 'certification': 'IN', 'dataInterface': 'HS', 'stromSchaltbar': 'CAPABILITY', 'temperaturEingaenge': 'TT1', 'binaerOpenColl_MP': 'MP1'}","{'devCategory': 'G', 'characteristic': 'ST', 'housing': 'ST', 'powerSupply': '1', 'numberOfChannels': '2', 'explosionApproval': 'K', 'protectionArea': '2', 'certification': 'NN', 'dataInterface': 'HS', 'stromSchaltbar': 'CS1', 'temperaturEingaenge': 'TT1', 'binaerDigitalOpenColl_MN': 'MN1', 'waveInjector': 'FWI', 'customUserFluid': '1', 'steamApplication': 'H'}"
RFQ731-000010,9,13,6,3,5,0.6666666666666666,0.5454545454545454,0.6,"{'devCategory': 'G', 'characteristic': 'VG', 'housing': 'ST', 'numberOfChannels': '1', 'certification': 'IN', 'dataInterface': 'NN', 'binaerOpenColl_MP': 'MP1', 'binaerDigitalOpenColl_MN': 'MN1', 'dev_advMeterVerification': '1'}","{'devCategory': 'G', 'characteristic': 'ST', 'housing': 'ST', 'powerSupply': '1', 'numberOfChannels': '1', 'explosionApproval': 'K', 'protectionArea': '2', 'certification': 'NN', 'dataInterface': 'NN', 'binaerDigitalOpenColl_MN': 'MN1', 'dev_advMeterVerification': '1', 'customUserFluid': '1', 'steamApplication': 'N'}"
