rfq_id,sentence_index,characteristic,internal_value,confidence,characteristic_phrase,value_phrase,source_sentence,v4_threshold,v4_decision
RFQ731-000001,14,binaerDigitalOpenColl_MN,MN1,1.7858455882352944,provide digital signal input,provide digital signal input,"If possible, please provide digital signal input capability.",1.4,ACCEPT
RFQ731-000001,14,binaerOpenColl_MP,MP1,1.354166666666667,digital signal input,digital signal input,"If possible, please provide digital signal input capability.",1.2,ACCEPT
RFQ731-000001,10,certification,CN,1.2195121951219514,certification,certification,The equipment is required to support appropriate measurement certification.,0.3,ACCEPT
RFQ731-000001,4,characteristic,GP,1.4024390243902445,general-purpose configuration,general-purpose configuration,The equipment is required to support general-purpose configuration.,1.3,ACCEPT
RFQ731-000001,15,dev_advMeterVerification,1,1.5104166666666663,we would prefer advanced,we would prefer advanced,We would prefer advanced low-temperature measurement capability.,1.5,ACCEPT
RFQ731-000001,16,dynamicGasMaster,1,1.4809451219512195,must provide enhanced gas,must provide enhanced gas,The proposed solution must provide enhanced gas measurement capability.,1.1,ACCEPT
RFQ731-000001,8,explosionApproval,N,2.0470588235294125,does not require hazardous-area approval,does not require hazardous-area approval,We require the installation does not require hazardous-area approval.,1.5,ACCEPT
RFQ731-000001,17,housing,ST,2.7777777777777777,expected delivery lead time validity,expected delivery lead time validity,"Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.",0.2,ACCEPT
RFQ731-000001,7,numberOfChannels,1,1.4393382352941178,we require a single,we require a single,We require a single measurement channel.,1.1,ACCEPT
RFQ731-000001,6,powerSupply,4,1.585365853658537,alternative electrical supply,alternative electrical supply,We require the alternative electrical supply option.,1.5,ACCEPT
RFQ731-000001,12,stromSchaltbar,CS1,1.241869918699187,a switchable current-output,a switchable current-output,The equipment is required to support a switchable current-output capability.,1.2,ACCEPT
RFQ731-000001,13,temperaturEingaenge,TT1,1.7682926829268295,we would prefer temperature,we would prefer temperature,We would prefer temperature measurement capability.,1.2,ACCEPT
RFQ731-000001,15,waveInjector,FWI,1.5625,we would prefer advanced low-temperature,we would prefer advanced low-temperature,We would prefer advanced low-temperature measurement capability.,1.2,ACCEPT
RFQ731-000002,13,binaerDigitalOpenColl_MN,MN1,2.0470588235294125,like a digital open-collector input,like a digital open-collector input,"Where available, we would like a digital open-collector input.",1.4,ACCEPT
RFQ731-000002,8,certification,CN,1.2195121951219514,certification,certification,The proposed solution must provide the required measurement certification.,0.3,ACCEPT
RFQ731-000002,2,characteristic,GP,1.585365853658537,standard process configuration,standard process configuration,The equipment is required to support standard process configuration.,1.3,ACCEPT
RFQ731-000002,17,customUserFluid,1,2.0470588235294125,prefer a customer-specific fluid definition,prefer a customer-specific fluid definition,We would prefer a customer-specific fluid definition.,1.3,ACCEPT
RFQ731-000002,0,devCategory,F,1.2195121951219514,flow,flow,"Dear Sales Team,

Customer: Nova Instrumentation AG
RFQ Reference: RFQ731-000002
Customer Reference: Utility Measurement Upgrade
Country: Germany

We are currently working on our utility measurement upgrade and are looking for a suitable measurement solution for process flow measurement.",0.9,ACCEPT
RFQ731-000002,15,dev_advMeterVerification,1,1.7858455882352944,provide advanced verification functionality,provide advanced verification functionality,"If possible, please provide advanced verification functionality.",1.5,ACCEPT
RFQ731-000002,16,dynamicGasMaster,1,1.2649739583333337,dynamic gas measurement functionality,dynamic gas measurement functionality,We would prefer dynamic gas measurement functionality.,1.1,ACCEPT
RFQ731-000002,6,explosionApproval,A,2.0470588235294125,area where the applicable hazardous-area,area where the applicable hazardous-area,The equipment will be installed in an operating area where the applicable hazardous-area requirements must be met.,1.5,ACCEPT
RFQ731-000002,18,housing,ST,2.7777777777777777,expected delivery lead time validity,expected delivery lead time validity,"Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.",0.2,ACCEPT
RFQ731-000002,5,numberOfChannels,1,1.741176470588235,we require one measurement channel,we require one measurement channel,We require one measurement channel.,1.1,ACCEPT
RFQ731-000002,4,powerSupply,4,1.741176470588235,must provide an alternative power,must provide an alternative power,The proposed solution must provide an alternative power supply.,1.5,ACCEPT
RFQ731-000002,11,stromEingaenge,IS1,1.585365853658537,dedicated current-input channel,dedicated current-input channel,The equipment is required to support a dedicated current-input channel.,1.5,ACCEPT
RFQ731-000002,10,stromSchaltbar,CS1,1.8292682926829271,available we would like switchable,available we would like switchable,"Where available, we would like switchable current-output functionality.",1.2,ACCEPT
