canonical_configuration_id,row_count,duplicate_rows
CFG731_70b6eaf9262ca4d0,17,16
CFG731_b7c1a02b25610507,17,16
CFG731_574aa7a29f75cd60,15,14
CFG731_956456fc074ebc5a,15,14
CFG731_b43582909c828d95,14,13
CFG731_40b6e1db6c80bcc1,14,13
CFG731_c37386a371e13fa8,13,12
CFG731_22da0d6030817265,13,12
CFG731_6a47b38d62a9fed3,13,12
CFG731_07fb816f7dc25bc8,12,11
CFG731_757fbd3e8915b462,12,11
CFG731_d8c69b7395beabbb,12,11
CFG731_8b18ac1c34209d63,12,11
CFG731_2aca30183aab25a9,12,11
CFG731_9a761e6bfde35917,12,11
CFG731_0be7d6198235486b,12,11
CFG731_a4416ae9d698efa6,12,11
CFG731_a4610f5f38e7d946,12,11
CFG731_ee8e327bbb737abf,12,11
CFG731_92efd7a3c43da152,11,10
CFG731_d2a75fda6f761c1b,11,10
CFG731_a3b03637ed22317c,11,10
CFG731_7f63e10e4938ed7a,11,10
CFG731_ef8d68b6d278bfec,11,10
CFG731_77fac91021549398,11,10
CFG731_cfb2b92dd8f09f39,11,10
CFG731_b97ce0f180acf155,10,9
CFG731_7fea22051dcc86b6,10,9
CFG731_d432b6fd40e9e78c,10,9
CFG731_750dd83a06ba43cb,10,9
CFG731_d97c333965654bd3,10,9
CFG731_98ec9650b5463fd0,10,9
CFG731_7785b2914ebb6eaf,10,9
CFG731_819cb4e76943eca6,10,9
CFG731_8b6ed3cfa9ed1e59,10,9
CFG731_a40ab19ad6671fbe,10,9
CFG731_7b2f69a7ca55041b,10,9
CFG731_1060da033d1aaed1,10,9
CFG731_f79503cf8f87ea49,10,9
CFG731_327bfa077bbbd45e,10,9
CFG731_11c93eca01984a14,9,8
CFG731_5bfe9492c76587ec,9,8
CFG731_a9f22ebc14287e5d,9,8
CFG731_515a31451814aae9,9,8
CFG731_691a8f2ff165671d,9,8
CFG731_c0f6f70a47ed04ba,9,8
CFG731_8281908b452128f3,9,8
CFG731_e98d2be876599c40,9,8
CFG731_d5af433b36265df1,9,8
CFG731_5995fa9fd5d1242f,9,8
CFG731_68193b179adae994,9,8
CFG731_3c2aedfb429dc226,9,8
CFG731_7882c72c21497015,9,8
CFG731_9cc92f888af32c8a,9,8
CFG731_0c3b33750ffab3ac,9,8
CFG731_d2034bb5aa313dac,9,8
CFG731_2469d1b04bd775f6,9,8
CFG731_ab3b0ae98d7b2345,9,8
CFG731_ef211cb97feaddc8,9,8
CFG731_bbffb73f3dff6787,8,7
CFG731_49cd4cbef1081333,8,7
CFG731_7b1edd53e8bbad40,8,7
CFG731_6cc2f5d089c01baf,8,7
CFG731_37f66c3948c00e57,8,7
CFG731_cc03e3852895ae99,8,7
CFG731_ae2e4cfccaff4f50,8,7
CFG731_c759934398f2381a,8,7
CFG731_f9fd6a4462ec051a,8,7
CFG731_cc9ac35e4d9a1854,8,7
CFG731_288e4c99b4e02895,8,7
CFG731_0781a0fecc8f46d5,8,7
CFG731_4ca309199387f8d5,8,7
CFG731_19ec976991ce75a9,8,7
CFG731_55e37d2b9d20276c,8,7
CFG731_817824ee3a762453,8,7
CFG731_d124ccffa669c3a2,8,7
CFG731_68d95a26943b3650,8,7
CFG731_63eca10a00ae1f5d,8,7
CFG731_715a3d3226cbaffd,8,7
CFG731_faff6da73df00950,8,7
CFG731_e85a7fcdd0521e90,8,7
CFG731_f235f4dd7693c885,8,7
CFG731_007c0829be0a9482,8,7
CFG731_1d89d7fdc7355744,8,7
CFG731_b7a7770d19b6f648,8,7
CFG731_c5da2661a169f82b,8,7
CFG731_95a64c12c70f922a,8,7
CFG731_e03b41992c837b34,7,6
CFG731_aa4779c40e6c2de0,7,6
CFG731_baab4a7f51aced1f,7,6
CFG731_1f0c09edcd967945,7,6
CFG731_d3db38843cf9fb81,7,6
CFG731_ac57adca497d644f,7,6
CFG731_5be9d749d8317fd3,7,6
CFG731_1147f9711c4bff84,7,6
CFG731_fcc72e9951376cf3,7,6
CFG731_b27467571d893d92,7,6
CFG731_a69c8345e2cbb480,7,6
CFG731_31d150421c4341a3,7,6
CFG731_348f97ec6945fbf8,7,6
CFG731_ed85647cd384c17a,7,6
CFG731_5076f1c2c0488d0e,7,6
CFG731_a7d2a5a9ae465701,7,6
CFG731_2a989bd6dba74d9f,7,6
CFG731_37f37296c515d083,7,6
CFG731_e1516ef53069d5e2,7,6
CFG731_54559f782190a122,7,6
CFG731_243419c6708378b3,7,6
CFG731_0738cd529389f266,7,6
CFG731_3d8c1bbc0ef4249a,7,6
CFG731_8d78781f8753b72a,7,6
CFG731_fa6ab94f1cf566b3,7,6
CFG731_0d8116f4900c6919,7,6
CFG731_fd6959ad3c5fd9ed,7,6
CFG731_b827079551368856,7,6
CFG731_c9498cf6f4410d44,7,6
CFG731_22fecf5bb26e1132,7,6
CFG731_5e57a3f6d3b745b8,7,6
CFG731_a56f1437a0b4ca31,7,6
CFG731_874928f24c55285e,7,6
CFG731_81bffae40f4c3a60,7,6
CFG731_37e3938c6089bb2d,7,6
CFG731_0c11243388e65244,7,6
CFG731_e8331b2a91577f04,7,6
CFG731_400b0d973c930668,7,6
CFG731_a72f99e8160efda6,7,6
CFG731_7f5bfa7b21e81359,7,6
CFG731_2cb814ee06486282,7,6
CFG731_495876b6233d3864,7,6
CFG731_24b3128196e55c23,7,6
CFG731_bc9146cb8459e9c2,7,6
CFG731_8da1da530d6ae54d,7,6
CFG731_df5f598a914fb1cc,6,5
CFG731_6886c948a9d1ec0c,6,5
