metric,value
Oracle RFQs analyzed,5000.0
Oracle Top-1 correct,2529.0
Oracle Top-1 accuracy,0.5058
Failed Top-1 cases,2471.0
Mean changed characteristics in failed Top-1,1.5605018211250505
Median changed characteristics in failed Top-1,1.0
Failed cases with <=2 characteristic changes,2242.0
Failed cases with <=2 characteristic changes (%),0.9073249696479159
Total characteristic differences,3856.0
Predicted additional values,3856.0
Predicted missing values,0.0
Value conflicts,0.0
Predicted values not mentioned in RFQ,3856.0
Configuration rows,5000.0
Unique canonical configuration IDs,1979.0
Canonical IDs with duplicate rows,1097.0
Total duplicate configuration rows,3021.0
Exact duplicate IDs,1097.0
Duplicate IDs with different package contexts,0.0
Duplicate IDs with different characteristic signatures,0.0
