column_name,data_type,unique_values,missing_count,novalue_count,novalue_percentage,initial_type
OrgUnitAreaOfDocument,object,2,0,0,0.0,variable_characteristic
marke,str,1,0,0,0.0,constant_metadata
packageFixed_dev,str,9,0,0,0.0,variable_characteristic
installationsart,str,1,0,0,0.0,constant_metadata
devCategory,str,4,0,0,0.0,variable_characteristic
type,str,1,0,0,0.0,constant_metadata
characteristic,str,7,0,0,0.0,variable_characteristic
housing,str,2,0,0,0.0,variable_characteristic
powerSupply,str,3,0,0,0.0,variable_characteristic
numberOfChannels,object,3,0,0,0.0,variable_characteristic
explosionApproval,str,5,0,0,0.0,variable_characteristic
protectionArea,str,2,0,0,0.0,variable_characteristic
intrinsicSafety,str,1,0,0,0.0,constant_metadata
certification,str,6,0,0,0.0,variable_characteristic
dataInterface,str,27,0,0,0.0,variable_characteristic
binaerDigitalOptoRelay,str,1,0,1056,100.0,constant_metadata
binaerDigitalReedRelay,str,1,0,1056,100.0,constant_metadata
binaerDigitalOpenColl_MN,str,7,0,474,44.89,variable_characteristic
binaerDigitalOpenCollExia_MA,str,1,0,1056,100.0,constant_metadata
binaerOpenColl_MP,str,7,0,608,57.58,variable_characteristic
binaerOpenColl_BC,str,1,0,1056,100.0,constant_metadata
binaerOpenColl_SC,str,1,0,1056,100.0,constant_metadata
binaerOpenColl30v,str,1,0,1056,100.0,constant_metadata
binaerOpenCollExib,str,1,0,1056,100.0,constant_metadata
binaerOpenCollNamur,str,1,0,1056,100.0,constant_metadata
binaerOptoRelay_BO,str,1,0,1056,100.0,constant_metadata
binaerOptoRelay_SO,str,1,0,1056,100.0,constant_metadata
binaerReedRelay_BR,str,1,0,1056,100.0,constant_metadata
binaerReedRelay_SR,str,1,0,1056,100.0,constant_metadata
frequenz0_5khz_FO,str,1,0,1056,100.0,constant_metadata
frequenz0_5khz_FC,str,1,0,1056,100.0,constant_metadata
frequenz0_5khzNamur,str,1,0,1056,100.0,constant_metadata
frequenz5_15HzExia,str,1,0,1056,100.0,constant_metadata
spannung0_10v,str,1,0,1056,100.0,constant_metadata
spannung0_1v,str,1,0,1056,100.0,constant_metadata
stromAktiv,str,1,0,1056,100.0,constant_metadata
stromAktiv24,str,1,0,1056,100.0,constant_metadata
stromPassiv,str,1,0,1056,100.0,constant_metadata
stromPassivExib,str,1,0,1056,100.0,constant_metadata
StromPassivExia,str,1,0,1056,100.0,constant_metadata
stromSchaltbar,str,12,0,164,15.53,variable_characteristic
binaerEingaenge,str,1,0,1056,100.0,constant_metadata
spannungsEingaenge,str,1,0,1056,100.0,constant_metadata
stromEingaenge,str,10,0,314,29.73,variable_characteristic
stromEingaenge_passiv,str,1,0,1056,100.0,constant_metadata
stromEingaengeExia,str,1,0,1056,100.0,constant_metadata
temperaturEingaenge,str,10,0,154,14.58,variable_characteristic
temperaturEingaengeExi,str,1,0,1056,100.0,constant_metadata
hardwareAP,str,1,0,1056,100.0,constant_metadata
steamApplication,str,3,0,790,74.81,variable_characteristic
waveInjector,str,3,0,227,21.5,variable_characteristic
tagPlate,str,1,0,0,0.0,constant_metadata
inclusiveManual,str,1,0,0,0.0,constant_metadata
powerCable,str,1,0,1056,100.0,constant_metadata
carryingCase,str,1,0,1056,100.0,constant_metadata
measuringTape,str,1,0,1056,100.0,constant_metadata
dev_advMeterVerification,object,3,0,373,35.32,variable_characteristic
dynamicGasMaster,object,3,0,824,78.03,variable_characteristic
customUserFluid,str,2,0,334,31.63,variable_characteristic
