package,characteristic_a,characteristic_b,value_a,value_b,joint_count,joint_probability,conditional_b_given_a,conditional_a_given_b
"in {NOVALUE, 'F731PW'}",explosionApproval,certification,F,NN,4,0.2,1.0,1.0
"in {NOVALUE, 'F731PW'}",explosionApproval,certification,K,"in {'NN', 'WN'}",8,0.4,1.0,0.5
"in {NOVALUE, 'F731PW'}",explosionApproval,certification,"in {'A', 'E', 'P', 'J', 'S'}","in {'NN', 'WN'}",8,0.4,1.0,0.5
"in {NOVALUE, 'F731PW'}",stromEingaenge,temperaturEingaenge,NOVALUE,NOVALUE,20,1.0,1.0,1.0
"in {NOVALUE, 'F731PW'}",stromSchaltbar,stromEingaenge,"in {'CS1', 'CS2', 'CS4'}",NOVALUE,5,0.25,1.0,0.25
"in {NOVALUE, 'F731PW'}",stromSchaltbar,stromEingaenge,"in {'CS1', 'CS2'}",NOVALUE,5,0.25,1.0,0.25
"in {NOVALUE, 'F731PW'}",stromSchaltbar,stromEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS4'}",NOVALUE,5,0.25,1.0,0.25
"in {NOVALUE, 'F731PW'}",stromSchaltbar,stromEingaenge,"in {NOVALUE, 'CS1', 'CS2'}",NOVALUE,5,0.25,1.0,0.25
"in {NOVALUE, 'F731PW'}",stromSchaltbar,temperaturEingaenge,"in {'CS1', 'CS2', 'CS4'}",NOVALUE,5,0.25,1.0,0.25
"in {NOVALUE, 'F731PW'}",stromSchaltbar,temperaturEingaenge,"in {'CS1', 'CS2'}",NOVALUE,5,0.25,1.0,0.25
"in {NOVALUE, 'F731PW'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS4'}",NOVALUE,5,0.25,1.0,0.25
"in {NOVALUE, 'F731PW'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2'}",NOVALUE,5,0.25,1.0,0.25
"in {NOVALUE, 'F731PW'}",housing,powerSupply,"in {'ST', 'AL'}","in {'1', '4'}",20,1.0,1.0,1.0
"in {NOVALUE, 'F731PW'}",numberOfChannels,temperaturEingaenge,"in {1, 2}",NOVALUE,20,1.0,1.0,1.0
"in {NOVALUE, 'F731PW'}",dataInterface,certification,"in {'MR', 'BM', 'FF', 'PA', 'HS'}","in {'NN', 'WN'}",4,0.2,1.0,0.25
"in {NOVALUE, 'F731PW'}",dataInterface,certification,"in {'MR', 'BM', 'FF', 'PA'}","in {'NN', 'WN'}",4,0.2,1.0,0.25
"in {NOVALUE, 'F731PW'}",dataInterface,certification,"in {'MT', 'MR', 'BM', 'BT', 'FF', 'PA', 'HS'}",NN,1,0.05,1.0,0.25
"in {NOVALUE, 'F731PW'}",dataInterface,certification,"in {'MT', 'MR', 'BM', 'BT', 'FF', 'PA'}",NN,1,0.05,1.0,0.25
