canonical_configuration_id,row_count,unique_technical_signatures,unique_package_contexts,identity_status
CFG731_0029021d98da4557,4,1,1,EXACT_DUPLICATE_ROWS
CFG731_00533f723f7496de,4,1,1,EXACT_DUPLICATE_ROWS
CFG731_0064bc7bf2ed5868,1,1,1,UNIQUE_ROW
CFG731_007c0829be0a9482,8,1,1,EXACT_DUPLICATE_ROWS
CFG731_00e033bb831be6d5,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_00f08838a21d3799,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_011ca4ba794bd4d6,1,1,1,UNIQUE_ROW
CFG731_019ca39d01857aa6,1,1,1,UNIQUE_ROW
CFG731_021f4647ad1035b8,1,1,1,UNIQUE_ROW
CFG731_024d4a54a1e6d96e,1,1,1,UNIQUE_ROW
CFG731_026f2e047a5ce316,1,1,1,UNIQUE_ROW
CFG731_02c05dd3bc721c1b,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_02cc92e24847d6c0,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_02dc397796156de1,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_02ec1e408c44cf5d,1,1,1,UNIQUE_ROW
CFG731_031651b598bdbd79,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_0318c2a0a1c0c588,1,1,1,UNIQUE_ROW
CFG731_031d8f2fe50bf3d1,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_033fe1120fda8fbc,1,1,1,UNIQUE_ROW
CFG731_035be486053fdb66,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_038a2660d5cee54f,1,1,1,UNIQUE_ROW
CFG731_038da5d3a7dc468b,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_03a0acb5799247e8,1,1,1,UNIQUE_ROW
CFG731_03b7c52daf37d7c6,1,1,1,UNIQUE_ROW
CFG731_03ef652e52353f2f,1,1,1,UNIQUE_ROW
CFG731_03f5618878f919e9,1,1,1,UNIQUE_ROW
CFG731_040069031f4f021c,3,1,1,EXACT_DUPLICATE_ROWS
