rfq_id,target_package,predicted_package,true_configuration_id,predicted_configuration_id,true_score,predicted_score,score_difference_predicted_minus_true,exact_id_match,same_technical_signature,same_package,technical_equivalent,package_technical_equivalent,top1_case_category,num_changed_characteristics,changed_characteristics,technical_equivalent_rank,package_technical_equivalent_rank,exact_id_rank
RFQ731-000001,x731,x731,CFG731_bb4f0886ba308d63,CFG731_9a0f0b26c7f24725,21.6927433020168,21.6927433020168,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,2,dev_advMeterVerification|customUserFluid,6.0,6.0,6.0
RFQ731-000002,x731,x731,CFG731_83f956404d04e6cd,CFG731_83f956404d04e6cd,25.26687120444848,25.26687120444848,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000003,x731,x731,CFG731_bd00839e452c6958,CFG731_26a55fc6510692e1,18.902528998144003,18.902528998144003,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,1,customUserFluid,5.0,5.0,5.0
RFQ731-000004,G731ST-LT,G731ST-LT,CFG731_de503c5e46490150,CFG731_e03b41992c837b34,22.55250599586825,22.55250599586825,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,2,stromEingaenge|temperaturEingaenge,8.0,8.0,8.0
RFQ731-000005,x731,x731,CFG731_db395082b1a3b8ac,CFG731_db395082b1a3b8ac,22.940611540664392,22.940611540664392,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000006,x731,x731,CFG731_541ce2492ce71d94,CFG731_3b2a32abbf148ca1,20.327921389887216,20.327921389887216,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,3,stromSchaltbar|temperaturEingaenge|dev_advMeterVerification,3.0,3.0,3.0
RFQ731-000007,x731,x731,CFG731_134ecd7b8190bed1,CFG731_a59cc7e57b856164,19.755499301034664,19.755499301034664,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,2,stromSchaltbar|stromEingaenge,2.0,2.0,2.0
RFQ731-000008,G731ST-HT,G731ST-HT,CFG731_b5710e5f11e2cbc2,CFG731_3f42c988dc83cb23,25.751984721529897,25.751984721529897,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,1,stromEingaenge,4.0,4.0,4.0
RFQ731-000009,G731ST-HT,G731ST-HT,CFG731_646d8903da63e1f0,CFG731_646d8903da63e1f0,26.99506413179173,26.99506413179173,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000010,G731ST-LT,G731ST-LT,CFG731_9e44a82e6c1db982,CFG731_87d8ba5b87cf0a3f,22.72157556398946,22.72157556398946,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,2,stromEingaenge|temperaturEingaenge,5.0,5.0,5.0
RFQ731-000011,G731ST-HT,G731ST-HT,CFG731_cd71ec2726e971ef,CFG731_ef8d68b6d278bfec,25.28506140626629,25.28506140626629,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,1,temperaturEingaenge,4.0,4.0,4.0
RFQ731-000012,x731,x731,CFG731_6e27958dc8215006,CFG731_6e27958dc8215006,23.05019727261671,23.05019727261671,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000013,x731,x731,CFG731_6526112621a9ee97,CFG731_6526112621a9ee97,21.08350280362588,21.08350280362588,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000014,x731,x731,CFG731_5c624ef6fa2b6510,CFG731_5c624ef6fa2b6510,21.062198384178032,21.062198384178032,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000015,x731,x731,CFG731_5d255cf6dd296018,CFG731_5d255cf6dd296018,21.78703755868568,21.78703755868568,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000016,x731,x731,CFG731_ef02695e374fc418,CFG731_c39096767a7ae083,20.370116454090194,20.370116454090194,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,3,stromSchaltbar|temperaturEingaenge|dev_advMeterVerification,2.0,2.0,2.0
RFQ731-000017,F731WD_DualChannel,F731WD_DualChannel,CFG731_c37386a371e13fa8,CFG731_c37386a371e13fa8,30.890273125287308,30.890273125287308,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000018,F731TE,F731TE,CFG731_fd6959ad3c5fd9ed,CFG731_fd6959ad3c5fd9ed,30.16525792838132,30.16525792838132,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000019,x731,x731,CFG731_6ba028da3bba9c41,CFG731_cf0392d0aaac28b1,19.64430360805552,19.64430360805552,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,1,dev_advMeterVerification,2.0,2.0,2.0
RFQ731-000020,x731,x731,CFG731_48772fd385d8dcd5,CFG731_8d2d91c46ccfb471,22.961107795458645,22.961107795458645,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,2,dev_advMeterVerification|customUserFluid,2.0,2.0,2.0
RFQ731-000021,G731ST-HT,G731ST-HT,CFG731_5dd35c89836ec88e,CFG731_fcc72e9951376cf3,27.327531346320782,27.327531346320782,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,1,stromEingaenge,2.0,2.0,2.0
RFQ731-000022,G731ST-LT,G731ST-LT,CFG731_a40ab19ad6671fbe,CFG731_a40ab19ad6671fbe,26.949215780743785,26.949215780743785,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000023,x731,x731,CFG731_9ccdadb28a07accd,CFG731_5ea309f998205da7,21.281151774626046,21.281151774626046,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,2,dev_advMeterVerification|customUserFluid,6.0,6.0,6.0
RFQ731-000024,G731ST-LT,G731ST-LT,CFG731_1d89d7fdc7355744,CFG731_1d89d7fdc7355744,26.013318501830994,26.013318501830994,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000025,G731ST-HT,G731ST-HT,CFG731_a4416ae9d698efa6,CFG731_a4416ae9d698efa6,25.72347283305394,25.72347283305394,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000026,x731,x731,CFG731_1b365e0951e7dea4,CFG731_1b365e0951e7dea4,22.563254164075428,22.563254164075428,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
