metric,value
total_rfqs,5000.0
exact_top1_accuracy,0.5058
mandatory_equivalent_top1_accuracy,1.0
mandatory_equivalent_top3_accuracy,1.0
mandatory_equivalent_top5_accuracy,1.0
mandatory_equivalent_top10_accuracy,1.0
mandatory_preferred_equivalent_top1_accuracy,1.0
mandatory_preferred_equivalent_top3_accuracy,1.0
mandatory_preferred_equivalent_top5_accuracy,1.0
mandatory_preferred_equivalent_top10_accuracy,1.0
ground_truth_mandatory_valid_rate,1.0
ground_truth_mandatory_preferred_valid_rate,1.0
mean_valid_mandatory_configurations,14.3776
median_valid_mandatory_configurations,8.0
min_valid_mandatory_configurations,1.0
max_valid_mandatory_configurations,290.0
p25_valid_mandatory_configurations,4.0
p75_valid_mandatory_configurations,18.0
p90_valid_mandatory_configurations,33.0
p95_valid_mandatory_configurations,45.0
non_compliant_top1_count,0.0
non_compliant_top1_rate,0.0
