metric,value
total_rfqs,5000.0
exact_top1_accuracy,0.5058
mandatory_equivalent_top1_accuracy,1.0
mandatory_preferred_equivalent_top1_accuracy,1.0
mandatory_equivalent_top3_accuracy,1.0
mandatory_equivalent_top5_accuracy,1.0
mandatory_equivalent_top10_accuracy,1.0
mandatory_preferred_equivalent_top3_accuracy,1.0
mandatory_preferred_equivalent_top5_accuracy,1.0
mandatory_preferred_equivalent_top10_accuracy,1.0
ground_truth_mandatory_valid_rate,1.0
ground_truth_mandatory_preferred_valid_rate,1.0
mean_mandatory_valid_configurations,14.5894
median_mandatory_valid_configurations,8.0
minimum_mandatory_valid_configurations,1.0
maximum_mandatory_valid_configurations,290.0
p25_mandatory_valid_configurations,4.0
p75_mandatory_valid_configurations,19.0
p90_mandatory_valid_configurations,33.0
p95_mandatory_valid_configurations,46.0
