characteristic,evaluated_candidates,candidates_with_requirement,mandatory_evaluations,mandatory_violations,preferred_satisfied,mandatory_violation_rate
binaerDigitalOpenColl_MN,49790,21290,11258,1428,8755,0.12684313377154025
binaerOpenColl_MP,49790,19500,10690,832,8031,0.07782974742750234
certification,49790,49790,41306,1891,8069,0.045780274052195806
characteristic,49790,49790,47026,0,2764,0.0
customUserFluid,49790,30570,18070,2037,11133,0.11272827891532927
dataInterface,49790,49790,34502,4238,13436,0.12283345892991711
devCategory,49790,49790,48900,162,889,0.003312883435582822
dev_advMeterVerification,49790,33740,20096,1602,12557,0.07971735668789809
dynamicGasMaster,49790,10390,6582,246,3656,0.037374658158614404
explosionApproval,49790,49790,44680,2875,4722,0.06434646374216652
housing,49790,49790,27756,0,22034,0.0
numberOfChannels,49790,49790,44810,1685,4772,0.037603213568399914
powerSupply,49790,49790,35922,2097,13069,0.05837648237848672
protectionArea,49790,49790,44884,1003,4826,0.02234649318242581
steamApplication,49790,11530,8600,0,2930,0.0
stromEingaenge,49790,28650,19602,2499,7833,0.12748699112335476
stromSchaltbar,49790,30360,16510,1971,12209,0.11938219261053906
temperaturEingaenge,49790,32450,22320,2570,9034,0.11514336917562724
waveInjector,49790,35040,19730,0,15310,0.0
