rfq_id,rank,configuration_id,ground_truth_configuration_id,is_ground_truth_configuration,package_context,target_package,record_type,evidence_level,score,mandatory_total,mandatory_satisfied,mandatory_violated,mandatory_fully_satisfied,preferred_total,preferred_satisfied,preferred_different,unmentioned_features,candidate_status
RFQ731-000001,1,CFG731_9a0f0b26c7f24725,CFG731_bb4f0886ba308d63,False,x731,x731,DERIVED,MODERATE,21.6927433020168,10,10,0,True,4,4,0,2,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000001,2,CFG731_83f956404d04e6cd,CFG731_bb4f0886ba308d63,False,x731,x731,DERIVED,MODERATE,21.6927433020168,10,10,0,True,4,4,0,3,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000001,3,CFG731_ec83ad3bde5df955,CFG731_bb4f0886ba308d63,False,x731,x731,DERIVED,MODERATE,21.6927433020168,10,10,0,True,4,4,0,2,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000001,4,CFG731_399690ce112d8d2a,CFG731_bb4f0886ba308d63,False,x731,x731,DERIVED,MODERATE,21.6927433020168,10,10,0,True,4,4,0,1,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000001,5,CFG731_813afad06fd4a0a8,CFG731_bb4f0886ba308d63,False,x731,x731,DERIVED,MODERATE,21.6927433020168,10,10,0,True,4,4,0,1,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000001,6,CFG731_bb4f0886ba308d63,CFG731_bb4f0886ba308d63,True,x731,x731,DERIVED,MODERATE,21.6927433020168,10,10,0,True,4,4,0,0,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000001,7,CFG731_142da525ddb90041,CFG731_bb4f0886ba308d63,False,x731,x731,DERIVED,MODERATE,21.6927433020168,10,10,0,True,4,4,0,2,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000001,8,CFG731_8b9239fd1c516750,CFG731_bb4f0886ba308d63,False,x731,x731,DERIVED,MODERATE,18.64350457941413,10,10,0,True,4,3,1,1,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000001,9,CFG731_8bb159f1711e5f6c,CFG731_bb4f0886ba308d63,False,x731,x731,DERIVED,MODERATE,18.64350457941413,10,10,0,True,4,3,1,2,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000001,10,CFG731_c37552e153d601ab,CFG731_bb4f0886ba308d63,False,x731,x731,DERIVED,MODERATE,18.64350457941413,10,10,0,True,4,3,1,2,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000002,1,CFG731_83f956404d04e6cd,CFG731_83f956404d04e6cd,True,x731,x731,OBSERVED,OBSERVED,25.26687120444848,11,11,0,True,6,6,0,0,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000002,2,CFG731_142da525ddb90041,CFG731_83f956404d04e6cd,False,x731,x731,OBSERVED,OBSERVED,22.863621823349675,11,11,0,True,6,5,1,0,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000002,3,CFG731_ec83ad3bde5df955,CFG731_83f956404d04e6cd,False,x731,x731,OBSERVED,OBSERVED,22.81960357836957,11,11,0,True,6,5,1,0,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000002,4,CFG731_9a0f0b26c7f24725,CFG731_83f956404d04e6cd,False,x731,x731,OBSERVED,OBSERVED,22.07560043115492,11,10,1,False,6,6,0,0,MANDATORY_VIOLATION
RFQ731-000002,5,CFG731_3c4babe78beeb112,CFG731_83f956404d04e6cd,False,x731,x731,OBSERVED,OBSERVED,21.995190212647493,11,11,0,True,6,5,1,0,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000002,6,CFG731_d8a10cfbf11bf067,CFG731_83f956404d04e6cd,False,x731,x731,OBSERVED,OBSERVED,21.486970157575133,11,11,0,True,6,5,1,0,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000002,7,CFG731_60ab3311c49ebbc6,CFG731_83f956404d04e6cd,False,x731,x731,OBSERVED,OBSERVED,20.80557814387123,11,11,0,True,6,5,1,0,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000002,8,CFG731_eee37571734035ae,CFG731_83f956404d04e6cd,False,x731,x731,OBSERVED,OBSERVED,20.527579982241228,11,10,1,False,6,6,0,0,MANDATORY_VIOLATION
RFQ731-000002,9,CFG731_8d2d91c46ccfb471,CFG731_83f956404d04e6cd,False,x731,x731,OBSERVED,OBSERVED,20.451169326394588,11,10,1,False,6,6,0,0,MANDATORY_VIOLATION
RFQ731-000002,10,CFG731_8bb159f1711e5f6c,CFG731_83f956404d04e6cd,False,x731,x731,OBSERVED,OBSERVED,19.814383100747,11,10,1,False,6,5,1,0,MANDATORY_VIOLATION
RFQ731-000003,1,CFG731_26a55fc6510692e1,CFG731_bd00839e452c6958,False,x731,x731,DERIVED,LOW,18.902528998144003,9,9,0,True,4,4,0,1,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000003,2,CFG731_23d75dfa953165d2,CFG731_bd00839e452c6958,False,x731,x731,DERIVED,LOW,18.902528998144003,9,9,0,True,4,4,0,1,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000003,3,CFG731_97fec9a076550ea5,CFG731_bd00839e452c6958,False,x731,x731,DERIVED,LOW,18.902528998144003,9,9,0,True,4,4,0,2,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000003,4,CFG731_abcee67081353f16,CFG731_bd00839e452c6958,False,x731,x731,DERIVED,LOW,18.902528998144003,9,9,0,True,4,4,0,3,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000003,5,CFG731_bd00839e452c6958,CFG731_bd00839e452c6958,True,x731,x731,DERIVED,LOW,18.902528998144003,9,9,0,True,4,4,0,0,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000003,6,CFG731_3d5919a152529e0c,CFG731_bd00839e452c6958,False,x731,x731,DERIVED,LOW,18.902528998144003,9,9,0,True,4,4,0,2,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000003,7,CFG731_b54844b4c5cc208b,CFG731_bd00839e452c6958,False,x731,x731,DERIVED,LOW,18.902528998144003,9,9,0,True,4,4,0,2,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000003,8,CFG731_64e162d496afc031,CFG731_bd00839e452c6958,False,x731,x731,DERIVED,LOW,16.45526137206509,9,9,0,True,4,3,1,2,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000003,9,CFG731_f2f3c932d1048d8d,CFG731_bd00839e452c6958,False,x731,x731,DERIVED,LOW,16.38765205493836,9,9,0,True,4,3,1,1,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000003,10,CFG731_4db630d9810b0f27,CFG731_bd00839e452c6958,False,x731,x731,DERIVED,LOW,16.38765205493836,9,9,0,True,4,3,1,2,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000004,1,CFG731_e03b41992c837b34,CFG731_de503c5e46490150,False,G731ST-LT,G731ST-LT,DERIVED,VERY_STRONG,22.55250599586825,10,10,0,True,3,3,0,2,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000004,2,CFG731_ae877a3b18b65d0a,CFG731_de503c5e46490150,False,G731ST-LT,G731ST-LT,DERIVED,VERY_STRONG,22.55250599586825,10,10,0,True,3,3,0,1,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000004,3,CFG731_455da2f832a6b66d,CFG731_de503c5e46490150,False,G731ST-LT,G731ST-LT,DERIVED,VERY_STRONG,22.55250599586825,10,10,0,True,3,3,0,2,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000004,4,CFG731_996314000fcfec4b,CFG731_de503c5e46490150,False,G731ST-LT,G731ST-LT,DERIVED,VERY_STRONG,22.55250599586825,10,10,0,True,3,3,0,3,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000004,5,CFG731_98bb5036a27a91a8,CFG731_de503c5e46490150,False,G731ST-LT,G731ST-LT,DERIVED,VERY_STRONG,22.55250599586825,10,10,0,True,3,3,0,1,MANDATORY_SATISFIED_PREFERRED_ANALYZED
