rfq_id,ml_split,candidate_count,positive_candidates,target_rate,package,has_positive_target
RFQ731-000001,TRAIN,7,1,0.14285714285714285,X731,True
RFQ731-000002,TRAIN,1,1,1.0,X731,True
RFQ731-000003,TRAIN,7,1,0.14285714285714285,X731,True
RFQ731-000004,TRAIN,8,1,0.125,G731ST-LT,True
RFQ731-000005,TRAIN,1,1,1.0,X731,True
RFQ731-000006,TRAIN,8,1,0.125,X731,True
RFQ731-000007,VALIDATION,8,1,0.125,X731,True
RFQ731-000008,TRAIN,4,1,0.25,G731ST-HT,True
RFQ731-000009,TRAIN,2,1,0.5,G731ST-HT,True
RFQ731-000010,TRAIN,8,1,0.125,G731ST-LT,True
RFQ731-000011,TEST,4,1,0.25,G731ST-HT,True
RFQ731-000012,TRAIN,1,1,1.0,X731,True
RFQ731-000013,TRAIN,3,1,0.3333333333333333,X731,True
RFQ731-000014,TEST,4,1,0.25,X731,True
RFQ731-000015,TRAIN,2,1,0.5,X731,True
RFQ731-000016,TRAIN,5,1,0.2,X731,True
RFQ731-000017,VALIDATION,2,1,0.5,F731WD_DUALCHANNEL,True
RFQ731-000018,TRAIN,2,1,0.5,F731TE,True
RFQ731-000019,TRAIN,7,1,0.14285714285714285,X731,True
RFQ731-000020,TEST,2,1,0.5,X731,True
RFQ731-000021,TRAIN,2,1,0.5,G731ST-HT,True
RFQ731-000022,TRAIN,1,1,1.0,G731ST-LT,True
RFQ731-000023,TRAIN,6,1,0.16666666666666666,X731,True
RFQ731-000024,TRAIN,2,1,0.5,G731ST-LT,True
RFQ731-000025,TRAIN,4,1,0.25,G731ST-HT,True
RFQ731-000026,TRAIN,4,1,0.25,X731,True
RFQ731-000027,TRAIN,1,1,1.0,X731,True
RFQ731-000028,TRAIN,1,1,1.0,G731ST-HT,True
RFQ731-000029,TRAIN,2,1,0.5,X731,True
RFQ731-000030,TRAIN,6,1,0.16666666666666666,G731ST-HT,True
RFQ731-000031,VALIDATION,4,1,0.25,X731,True
RFQ731-000032,TRAIN,10,1,0.1,X731,True
RFQ731-000033,TEST,1,1,1.0,G731CA,True
RFQ731-000034,TRAIN,2,1,0.5,G731CA,True
RFQ731-000035,TRAIN,10,1,0.1,G731ST-LT,True
RFQ731-000036,TRAIN,6,1,0.16666666666666666,G731ST-HT,True
RFQ731-000037,VALIDATION,1,1,1.0,X731,True
RFQ731-000038,TRAIN,2,1,0.5,X731,True
RFQ731-000039,VALIDATION,1,1,1.0,F731WD_DUALCHANNEL,True
RFQ731-000040,TRAIN,1,1,1.0,X731,True
RFQ731-000041,TEST,6,1,0.16666666666666666,G731ST-HT,True
RFQ731-000042,TEST,6,1,0.16666666666666666,X731,True
RFQ731-000043,TRAIN,12,1,0.08333333333333333,X731,True
RFQ731-000044,TRAIN,4,1,0.25,X731,True
RFQ731-000045,TRAIN,1,1,1.0,F731WD_SINGLECHANNEL,True
RFQ731-000046,TRAIN,8,1,0.125,X731,True
RFQ731-000047,TRAIN,3,1,0.3333333333333333,X731,True
RFQ731-000048,TRAIN,2,1,0.5,G731ST-LT,True
RFQ731-000049,TRAIN,8,1,0.125,X731,True
RFQ731-000050,VALIDATION,2,1,0.5,F731WD_DUALCHANNEL,True
RFQ731-000051,VALIDATION,2,1,0.5,F731TE,True
RFQ731-000052,TRAIN,2,1,0.5,X731,True
RFQ731-000053,TEST,2,1,0.5,X731,True
RFQ731-000054,TRAIN,2,1,0.5,G731CA,True
RFQ731-000055,TRAIN,1,1,1.0,F731TE,True
RFQ731-000056,TRAIN,2,1,0.5,G731ST-LT,True
RFQ731-000057,TRAIN,4,1,0.25,X731,True
RFQ731-000058,TEST,2,1,0.5,F731WD_SINGLECHANNEL,True
RFQ731-000059,TRAIN,1,1,1.0,G731VG,True
RFQ731-000060,TRAIN,3,1,0.3333333333333333,X731,True
RFQ731-000061,VALIDATION,2,1,0.5,X731,True
RFQ731-000062,TRAIN,1,1,1.0,F731TE,True
RFQ731-000063,VALIDATION,1,1,1.0,X731,True
RFQ731-000064,TRAIN,1,1,1.0,F731PW,True
RFQ731-000065,TEST,10,1,0.1,X731,True
RFQ731-000066,TRAIN,1,1,1.0,F731TE,True
RFQ731-000067,TEST,1,1,1.0,X731,True
RFQ731-000068,TRAIN,7,1,0.14285714285714285,X731,True
RFQ731-000069,TRAIN,2,1,0.5,X731,True
RFQ731-000070,TRAIN,1,1,1.0,X731,True
RFQ731-000071,TEST,2,1,0.5,G731CA,True
RFQ731-000072,TRAIN,1,1,1.0,X731,True
RFQ731-000073,TRAIN,3,1,0.3333333333333333,X731,True
RFQ731-000074,TRAIN,6,1,0.16666666666666666,G731ST-LT,True
RFQ731-000075,TRAIN,2,1,0.5,X731,True
RFQ731-000076,TRAIN,1,1,1.0,F731WD_SINGLECHANNEL,True
RFQ731-000077,TRAIN,1,1,1.0,X731,True
RFQ731-000078,TRAIN,1,1,1.0,F731PW,True
RFQ731-000079,TRAIN,3,1,0.3333333333333333,X731,True
RFQ731-000080,TRAIN,6,1,0.16666666666666666,X731,True
RFQ731-000081,TRAIN,12,1,0.08333333333333333,G731ST-LT,True
RFQ731-000082,VALIDATION,14,1,0.07142857142857142,X731,True
RFQ731-000083,TRAIN,1,1,1.0,F731TE,True
