metric,value
rows,17153
rfqs,5000
columns,51
positive_rows,5000
negative_rows,12153
positive_rate,0.29149419926543463
duplicate_rfq_candidate_pairs,0
realistic_baseline_feature_count,23
provenance_aware_feature_count,7
mechanistic_upper_bound_feature_count,35
constant_feature_count,5
unclassified_feature_count,4
high_target_association_count,1
numeric_feature_count,16
high_correlation_pair_count,34
direct_forbidden_or_gt_fields_present,4
potential_target_copy_count,0
leakage_governance_pass,True
