feature,governance_class,proposed_regime,dtype,missing_rate,cardinality
rfq_id,EVALUATION_ONLY,EXCLUDED,str,0.0,5000
canonical_configuration_id,EVALUATION_ONLY,EXCLUDED,str,0.0,1766
ml_split,EVALUATION_ONLY,EXCLUDED,str,0.0,3
ml_target,FORBIDDEN,EXCLUDED,int64,0.0,2
record_type,PROVENANCE,PROVENANCE_AWARE,str,0.0,2
generation_method,PROVENANCE,PROVENANCE_AWARE,str,0.0,4
evidence_level,PROVENANCE,PROVENANCE_AWARE,str,0.0,5
source_frequency,PROVENANCE,PROVENANCE_AWARE,int64,0.0,5
nearest_real_distance,PROVENANCE,PROVENANCE_AWARE,int64,0.0,3
num_changed_characteristics,PROVENANCE,PROVENANCE_AWARE,int64,0.0,3
evidence_score,PROVENANCE,PROVENANCE_AWARE,float64,0.0,64
mandatory_total,REQUIREMENT_DERIVED,REALISTIC_BASELINE,int64,0.0,13
mandatory_satisfied,REQUIREMENT_DERIVED,REALISTIC_BASELINE,int64,0.0,13
mandatory_violations,REQUIREMENT_DERIVED,REALISTIC_BASELINE,int64,0.0,1
preferred_total,REQUIREMENT_DERIVED,REALISTIC_BASELINE,int64,0.0,11
preferred_satisfied,REQUIREMENT_DERIVED,REALISTIC_BASELINE,int64,0.0,11
preferred_differences,REQUIREMENT_DERIVED,REALISTIC_BASELINE,int64,0.0,1
unmentioned_features,REQUIREMENT_DERIVED,REALISTIC_BASELINE,int64,0.0,8
mandatory_valid,REQUIREMENT_DERIVED,REALISTIC_BASELINE,boolean,0.0,1
mandatory_preferred_valid,REQUIREMENT_DERIVED,REALISTIC_BASELINE,boolean,0.0,1
source_frequency_score,MECHANISTIC,MECHANISTIC_UPPER_BOUND,float64,0.0,5
real_proximity_score,MECHANISTIC,MECHANISTIC_UPPER_BOUND,float64,0.0,3
low_change_score,MECHANISTIC,MECHANISTIC_UPPER_BOUND,float64,0.0,3
observed_configuration_score,MECHANISTIC,MECHANISTIC_UPPER_BOUND,float64,0.0,2
evidence_score_normalized,MECHANISTIC,MECHANISTIC_UPPER_BOUND,float64,0.0,64
rfq_ground_truth_record_type,GROUND_TRUTH_CONTEXT,EXCLUDED,str,0.0,2
rfq_ground_truth_evidence_level,GROUND_TRUTH_CONTEXT,EXCLUDED,str,0.0,5
rfq_ground_truth_nearest_real_distance,GROUND_TRUTH_CONTEXT,EXCLUDED,int64,0.0,3
rfq_requirement_count,UNCLASSIFIED,EXCLUDED,int64,0.0,8
rfq_mandatory_requirement_count,UNCLASSIFIED,EXCLUDED,int64,0.0,13
rfq_preferred_requirement_count,UNCLASSIFIED,EXCLUDED,int64,0.0,11
rfq_unique_required_characteristics,UNCLASSIFIED,EXCLUDED,int64,0.0,8
config_devCategory,TECHNICAL,REALISTIC_BASELINE,str,0.0,4
config_characteristic,TECHNICAL,REALISTIC_BASELINE,str,0.0,7
config_housing,TECHNICAL,REALISTIC_BASELINE,str,0.0,1
config_powerSupply,TECHNICAL,REALISTIC_BASELINE,int64,0.0,2
config_numberOfChannels,TECHNICAL,REALISTIC_BASELINE,int64,0.0,2
config_explosionApproval,TECHNICAL,REALISTIC_BASELINE,str,0.0,4
config_protectionArea,TECHNICAL,REALISTIC_BASELINE,str,0.0,2
config_certification,TECHNICAL,REALISTIC_BASELINE,str,0.0,3
config_dataInterface,TECHNICAL,REALISTIC_BASELINE,str,0.0,5
config_stromSchaltbar,TECHNICAL,REALISTIC_BASELINE,str,0.0,3
config_stromEingaenge,TECHNICAL,REALISTIC_BASELINE,str,0.0,3
config_temperaturEingaenge,TECHNICAL,REALISTIC_BASELINE,str,0.0,3
config_binaerDigitalOpenColl_MN,TECHNICAL,REALISTIC_BASELINE,str,0.0,4
config_binaerOpenColl_MP,TECHNICAL,REALISTIC_BASELINE,str,0.0,4
config_waveInjector,TECHNICAL,REALISTIC_BASELINE,str,0.0,2
config_dev_advMeterVerification,TECHNICAL,REALISTIC_BASELINE,str,0.0,2
config_dynamicGasMaster,TECHNICAL,REALISTIC_BASELINE,str,0.0,2
config_customUserFluid,TECHNICAL,REALISTIC_BASELINE,str,0.0,2
config_steamApplication,TECHNICAL,REALISTIC_BASELINE,str,0.0,3
