feature,governance_class,final_status,missing_rate,cardinality,target_association_strength,high_target_association,is_constant
rfq_id,EVALUATION_ONLY,EXCLUDED_EVALUATION_ONLY,0.0,5000,0.0,False,False
canonical_configuration_id,EVALUATION_ONLY,EXCLUDED_EVALUATION_ONLY,0.0,1766,0.8151820771934092,True,False
ml_split,EVALUATION_ONLY,EXCLUDED_EVALUATION_ONLY,0.0,3,0.0,False,False
record_type,PROVENANCE,PROVENANCE_AWARE,0.0,2,0.5174234629320399,False,False
generation_method,PROVENANCE,PROVENANCE_AWARE,0.0,4,0.5229211976036374,False,False
evidence_level,PROVENANCE,PROVENANCE_AWARE,0.0,5,0.5192166866514143,False,False
source_frequency,PROVENANCE,PROVENANCE_AWARE,0.0,5,0.569457232703103,False,False
nearest_real_distance,PROVENANCE,PROVENANCE_AWARE,0.0,3,0.5081054705279788,False,False
num_changed_characteristics,PROVENANCE,PROVENANCE_AWARE,0.0,3,0.5153241000245927,False,False
evidence_score,PROVENANCE,PROVENANCE_AWARE,0.0,64,0.4707229405477313,False,False
mandatory_total,REQUIREMENT_DERIVED,REALISTIC_BASELINE,0.0,13,0.07153884217100445,False,False
mandatory_satisfied,REQUIREMENT_DERIVED,REALISTIC_BASELINE,0.0,13,0.07153884217100445,False,False
mandatory_violations,REQUIREMENT_DERIVED,EXCLUDED_CONSTANT,0.0,1,,False,True
preferred_total,REQUIREMENT_DERIVED,REALISTIC_BASELINE,0.0,11,0.0486241577832242,False,False
preferred_satisfied,REQUIREMENT_DERIVED,REALISTIC_BASELINE,0.0,11,0.0486241577832242,False,False
preferred_differences,REQUIREMENT_DERIVED,EXCLUDED_CONSTANT,0.0,1,,False,True
unmentioned_features,REQUIREMENT_DERIVED,REALISTIC_BASELINE,0.0,8,0.1849419589882765,False,False
mandatory_valid,REQUIREMENT_DERIVED,EXCLUDED_CONSTANT,0.0,1,,False,True
mandatory_preferred_valid,REQUIREMENT_DERIVED,EXCLUDED_CONSTANT,0.0,1,,False,True
source_frequency_score,MECHANISTIC,MECHANISTIC_ONLY,0.0,5,0.569457232703103,False,False
real_proximity_score,MECHANISTIC,MECHANISTIC_ONLY,0.0,3,0.5081054705279788,False,False
low_change_score,MECHANISTIC,MECHANISTIC_ONLY,0.0,3,0.5153241000245927,False,False
observed_configuration_score,MECHANISTIC,MECHANISTIC_ONLY,0.0,2,0.517464716812238,False,False
evidence_score_normalized,MECHANISTIC,MECHANISTIC_ONLY,0.0,64,0.4707229405477313,False,False
rfq_ground_truth_record_type,GROUND_TRUTH_CONTEXT,EXCLUDED_GROUND_TRUTH_CONTEXT,0.0,2,0.2815247611341786,False,False
rfq_ground_truth_evidence_level,GROUND_TRUTH_CONTEXT,EXCLUDED_GROUND_TRUTH_CONTEXT,0.0,5,0.30342395921294885,False,False
rfq_ground_truth_nearest_real_distance,GROUND_TRUTH_CONTEXT,EXCLUDED_GROUND_TRUTH_CONTEXT,0.0,3,0.2840839210057234,False,False
rfq_requirement_count,UNCLASSIFIED,EXCLUDED_UNCLASSIFIED,0.0,8,0.1849419589882765,False,False
rfq_mandatory_requirement_count,UNCLASSIFIED,EXCLUDED_UNCLASSIFIED,0.0,13,0.07153884217100445,False,False
rfq_preferred_requirement_count,UNCLASSIFIED,EXCLUDED_UNCLASSIFIED,0.0,11,0.0486241577832242,False,False
rfq_unique_required_characteristics,UNCLASSIFIED,EXCLUDED_UNCLASSIFIED,0.0,8,0.1849419589882765,False,False
config_devCategory,TECHNICAL,REALISTIC_BASELINE,0.0,4,0.13492197579095833,False,False
config_characteristic,TECHNICAL,REALISTIC_BASELINE,0.0,7,0.26436213482065124,False,False
config_housing,TECHNICAL,EXCLUDED_CONSTANT,0.0,1,0.0,False,True
config_powerSupply,TECHNICAL,REALISTIC_BASELINE,0.0,2,0.02400120741142039,False,False
config_numberOfChannels,TECHNICAL,REALISTIC_BASELINE,0.0,2,0.054072455381661305,False,False
config_explosionApproval,TECHNICAL,REALISTIC_BASELINE,0.0,4,0.048333786563267506,False,False
config_protectionArea,TECHNICAL,REALISTIC_BASELINE,0.0,2,0.022909376351084285,False,False
config_certification,TECHNICAL,REALISTIC_BASELINE,0.0,3,0.09616225398964914,False,False
config_dataInterface,TECHNICAL,REALISTIC_BASELINE,0.0,5,0.1749745282197603,False,False
config_stromSchaltbar,TECHNICAL,REALISTIC_BASELINE,0.0,3,0.3420996644263063,False,False
config_stromEingaenge,TECHNICAL,REALISTIC_BASELINE,0.0,3,0.20856854151416537,False,False
config_temperaturEingaenge,TECHNICAL,REALISTIC_BASELINE,0.0,3,0.2732549065217624,False,False
config_binaerDigitalOpenColl_MN,TECHNICAL,REALISTIC_BASELINE,0.0,4,0.16806087158323468,False,False
config_binaerOpenColl_MP,TECHNICAL,REALISTIC_BASELINE,0.0,4,0.1832240203233689,False,False
config_waveInjector,TECHNICAL,REALISTIC_BASELINE,0.0,2,0.15158665916877068,False,False
config_dev_advMeterVerification,TECHNICAL,REALISTIC_BASELINE,0.0,2,0.09873378137132813,False,False
config_dynamicGasMaster,TECHNICAL,REALISTIC_BASELINE,0.0,2,0.012799556270224752,False,False
config_customUserFluid,TECHNICAL,REALISTIC_BASELINE,0.0,2,0.09365986328971738,False,False
config_steamApplication,TECHNICAL,REALISTIC_BASELINE,0.0,3,0.03655873124493936,False,False
