feature,governance_class,regime,pearson_with_target,spearman_with_target,categorical_association,association_type,association_strength,high_association_flag
rfq_id,EVALUATION_ONLY,EXCLUDED,,,0.0,categorical,0.0,False
canonical_configuration_id,EVALUATION_ONLY,EXCLUDED,,,0.8151820771934092,categorical,0.8151820771934092,True
ml_split,EVALUATION_ONLY,EXCLUDED,,,0.0,categorical,0.0,False
record_type,PROVENANCE,PROVENANCE_AWARE,,,0.5174234629320399,categorical,0.5174234629320399,False
generation_method,PROVENANCE,PROVENANCE_AWARE,,,0.5229211976036374,categorical,0.5229211976036374,False
evidence_level,PROVENANCE,PROVENANCE_AWARE,,,0.5192166866514143,categorical,0.5192166866514143,False
source_frequency,PROVENANCE,PROVENANCE_AWARE,0.5656890698180974,0.569457232703103,,numeric,0.569457232703103,False
nearest_real_distance,PROVENANCE,PROVENANCE_AWARE,-0.48587725524021297,-0.5081054705279788,,numeric,0.5081054705279788,False
num_changed_characteristics,PROVENANCE,PROVENANCE_AWARE,-0.514464368941339,-0.5153241000245927,,numeric,0.5153241000245927,False
evidence_score,PROVENANCE,PROVENANCE_AWARE,0.3588772617781659,0.4707229405477313,,numeric,0.4707229405477313,False
mandatory_total,REQUIREMENT_DERIVED,REALISTIC_BASELINE,0.07666003760977148,0.07153884217100445,,numeric,0.07153884217100445,False
mandatory_satisfied,REQUIREMENT_DERIVED,REALISTIC_BASELINE,0.07666003760977148,0.07153884217100445,,numeric,0.07153884217100445,False
mandatory_violations,REQUIREMENT_DERIVED,REALISTIC_BASELINE,,,,numeric,,False
preferred_total,REQUIREMENT_DERIVED,REALISTIC_BASELINE,0.05042869754910708,0.0486241577832242,,numeric,0.0486241577832242,False
preferred_satisfied,REQUIREMENT_DERIVED,REALISTIC_BASELINE,0.05042869754910708,0.0486241577832242,,numeric,0.0486241577832242,False
preferred_differences,REQUIREMENT_DERIVED,REALISTIC_BASELINE,,,,numeric,,False
unmentioned_features,REQUIREMENT_DERIVED,REALISTIC_BASELINE,-0.1847329369566909,-0.1849419589882765,,numeric,0.1849419589882765,False
mandatory_valid,REQUIREMENT_DERIVED,REALISTIC_BASELINE,,,,numeric,,False
mandatory_preferred_valid,REQUIREMENT_DERIVED,REALISTIC_BASELINE,,,,numeric,,False
source_frequency_score,MECHANISTIC,MECHANISTIC_UPPER_BOUND,0.5656890698180985,0.569457232703103,,numeric,0.569457232703103,False
real_proximity_score,MECHANISTIC,MECHANISTIC_UPPER_BOUND,0.4858772552402128,0.5081054705279788,,numeric,0.5081054705279788,False
low_change_score,MECHANISTIC,MECHANISTIC_UPPER_BOUND,0.514464368941339,0.5153241000245927,,numeric,0.5153241000245927,False
observed_configuration_score,MECHANISTIC,MECHANISTIC_UPPER_BOUND,0.5174647168122395,0.517464716812238,,numeric,0.517464716812238,False
evidence_score_normalized,MECHANISTIC,MECHANISTIC_UPPER_BOUND,0.35887726177816676,0.4707229405477313,,numeric,0.4707229405477313,False
rfq_ground_truth_record_type,GROUND_TRUTH_CONTEXT,EXCLUDED,,,0.2815247611341786,categorical,0.2815247611341786,False
rfq_ground_truth_evidence_level,GROUND_TRUTH_CONTEXT,EXCLUDED,,,0.30342395921294885,categorical,0.30342395921294885,False
rfq_ground_truth_nearest_real_distance,GROUND_TRUTH_CONTEXT,EXCLUDED,-0.28966833409135945,-0.2840839210057234,,numeric,0.2840839210057234,False
rfq_requirement_count,UNCLASSIFIED,EXCLUDED,0.1847329369566908,0.1849419589882765,,numeric,0.1849419589882765,False
rfq_mandatory_requirement_count,UNCLASSIFIED,EXCLUDED,0.07666003760977148,0.07153884217100445,,numeric,0.07153884217100445,False
rfq_preferred_requirement_count,UNCLASSIFIED,EXCLUDED,0.05042869754910708,0.0486241577832242,,numeric,0.0486241577832242,False
rfq_unique_required_characteristics,UNCLASSIFIED,EXCLUDED,0.1847329369566908,0.1849419589882765,,numeric,0.1849419589882765,False
config_devCategory,TECHNICAL,REALISTIC_BASELINE,,,0.13492197579095833,categorical,0.13492197579095833,False
config_characteristic,TECHNICAL,REALISTIC_BASELINE,,,0.26436213482065124,categorical,0.26436213482065124,False
config_housing,TECHNICAL,REALISTIC_BASELINE,,,0.0,categorical,0.0,False
config_powerSupply,TECHNICAL,REALISTIC_BASELINE,-0.024001207411420488,-0.02400120741142039,,numeric,0.02400120741142039,False
config_numberOfChannels,TECHNICAL,REALISTIC_BASELINE,0.05407245538166115,0.054072455381661305,,numeric,0.054072455381661305,False
config_explosionApproval,TECHNICAL,REALISTIC_BASELINE,,,0.048333786563267506,categorical,0.048333786563267506,False
config_protectionArea,TECHNICAL,REALISTIC_BASELINE,,,0.022909376351084285,categorical,0.022909376351084285,False
config_certification,TECHNICAL,REALISTIC_BASELINE,,,0.09616225398964914,categorical,0.09616225398964914,False
config_dataInterface,TECHNICAL,REALISTIC_BASELINE,,,0.1749745282197603,categorical,0.1749745282197603,False
config_stromSchaltbar,TECHNICAL,REALISTIC_BASELINE,,,0.3420996644263063,categorical,0.3420996644263063,False
config_stromEingaenge,TECHNICAL,REALISTIC_BASELINE,,,0.20856854151416537,categorical,0.20856854151416537,False
config_temperaturEingaenge,TECHNICAL,REALISTIC_BASELINE,,,0.2732549065217624,categorical,0.2732549065217624,False
config_binaerDigitalOpenColl_MN,TECHNICAL,REALISTIC_BASELINE,,,0.16806087158323468,categorical,0.16806087158323468,False
config_binaerOpenColl_MP,TECHNICAL,REALISTIC_BASELINE,,,0.1832240203233689,categorical,0.1832240203233689,False
config_waveInjector,TECHNICAL,REALISTIC_BASELINE,,,0.15158665916877068,categorical,0.15158665916877068,False
config_dev_advMeterVerification,TECHNICAL,REALISTIC_BASELINE,,,0.09873378137132813,categorical,0.09873378137132813,False
config_dynamicGasMaster,TECHNICAL,REALISTIC_BASELINE,,,0.012799556270224752,categorical,0.012799556270224752,False
config_customUserFluid,TECHNICAL,REALISTIC_BASELINE,,,0.09365986328971738,categorical,0.09365986328971738,False
config_steamApplication,TECHNICAL,REALISTIC_BASELINE,,,0.03655873124493936,categorical,0.03655873124493936,False
