metric,value
rows,17153.0
rfqs,5000.0
candidate_configuration_ids,1766.0
positive_rows,5000.0
negative_rows,12153.0
positive_rate,0.29149419926543463
realistic_baseline_feature_count,4.0
provenance_aware_feature_count,11.0
mechanistic_upper_bound_feature_count,17.0
forbidden_columns_present,1.0
evaluation_only_columns_present,3.0
constant_feature_count,5.0
unclassified_feature_count,26.0
high_association_feature_count,1.0
high_numeric_correlation_pair_count,34.0
duplicate_rfq_candidate_pairs,0.0
mean_missing_rate_all_features,0.0
max_missing_rate_all_features,0.0
potential_target_copy_feature_count,0.0
