feature,regime,rationale,use_in_realistic_baseline,recommended_usage,dtype,feature_kind,unique_non_null,missing_count,missing_rate,constant_feature,pearson_with_target,spearman_with_target,categorical_association,high_association_flag
canonical_configuration_id,EVALUATION_ONLY,"Identifier, grouping or evaluation-only context",NO,Retain for grouping/evaluation only,str,categorical_high_cardinality,1766,0,0.0,False,,,0.8151820771934092,True
ml_split,EVALUATION_ONLY,"Identifier, grouping or evaluation-only context",NO,Retain for grouping/evaluation only,str,categorical_low_cardinality,3,0,0.0,False,,,0.0,False
rfq_id,EVALUATION_ONLY,"Identifier, grouping or evaluation-only context",NO,Retain for grouping/evaluation only,str,categorical_high_cardinality,5000,0,0.0,False,,,0.0,False
ml_target,FORBIDDEN,"Direct target, post-choice or ground-truth information",NO,Never use as predictor,int64,numeric,2,0,0.0,False,,,,False
evidence_level,PROVENANCE_PROCESS,Synthetic provenance/process metadata,NO,Use only in provenance-aware sensitivity experiment,str,categorical_low_cardinality,5,0,0.0,False,,,0.5192166866514143,False
evidence_score,PROVENANCE_PROCESS,Synthetic provenance/process metadata,NO,Use only in provenance-aware sensitivity experiment,float64,numeric,64,0,0.0,False,0.3588772617781659,0.4707229405477313,,False
generation_method,PROVENANCE_PROCESS,Synthetic provenance/process metadata,NO,Use only in provenance-aware sensitivity experiment,str,categorical_low_cardinality,4,0,0.0,False,,,0.5229211976036374,False
nearest_real_distance,PROVENANCE_PROCESS,Synthetic provenance/process metadata,NO,Use only in provenance-aware sensitivity experiment,int64,numeric,3,0,0.0,False,-0.48587725524021297,-0.5081054705279788,,False
num_changed_characteristics,PROVENANCE_PROCESS,Synthetic provenance/process metadata,NO,Use only in provenance-aware sensitivity experiment,int64,numeric,3,0,0.0,False,-0.514464368941339,-0.5153241000245927,,False
record_type,PROVENANCE_PROCESS,Synthetic provenance/process metadata,NO,Use only in provenance-aware sensitivity experiment,str,categorical_low_cardinality,2,0,0.0,False,,,0.5174234629320399,False
