feature,model_role,in_realistic_baseline,in_provenance_aware,in_mechanistic_upper_bound
canonical_configuration_id,EVALUATION_ONLY,False,False,False
config_binaerDigitalOpenColl_MN,EXCLUDED_UNCLASSIFIED,False,False,False
config_binaerOpenColl_MP,EXCLUDED_UNCLASSIFIED,False,False,False
config_certification,EXCLUDED_UNCLASSIFIED,False,False,False
config_characteristic,EXCLUDED_UNCLASSIFIED,False,False,False
config_customUserFluid,EXCLUDED_UNCLASSIFIED,False,False,False
config_dataInterface,EXCLUDED_UNCLASSIFIED,False,False,False
config_devCategory,EXCLUDED_UNCLASSIFIED,False,False,False
config_dev_advMeterVerification,EXCLUDED_UNCLASSIFIED,False,False,False
config_dynamicGasMaster,EXCLUDED_UNCLASSIFIED,False,False,False
config_explosionApproval,EXCLUDED_UNCLASSIFIED,False,False,False
config_housing,EXCLUDED_UNCLASSIFIED,False,False,False
config_numberOfChannels,EXCLUDED_UNCLASSIFIED,False,False,False
config_powerSupply,EXCLUDED_UNCLASSIFIED,False,False,False
config_protectionArea,EXCLUDED_UNCLASSIFIED,False,False,False
config_steamApplication,EXCLUDED_UNCLASSIFIED,False,False,False
config_stromEingaenge,EXCLUDED_UNCLASSIFIED,False,False,False
config_stromSchaltbar,EXCLUDED_UNCLASSIFIED,False,False,False
config_temperaturEingaenge,EXCLUDED_UNCLASSIFIED,False,False,False
config_waveInjector,EXCLUDED_UNCLASSIFIED,False,False,False
evidence_level,PROVENANCE_AWARE,False,True,True
evidence_score,PROVENANCE_AWARE,False,True,True
evidence_score_normalized,MECHANISTIC_UPPER_BOUND,False,False,True
generation_method,PROVENANCE_AWARE,False,True,True
low_change_score,MECHANISTIC_UPPER_BOUND,False,False,True
mandatory_preferred_valid,EXCLUDED_UNCLASSIFIED,False,False,False
mandatory_satisfied,REALISTIC_BASELINE,True,True,True
mandatory_total,REALISTIC_BASELINE,True,True,True
mandatory_valid,EXCLUDED_UNCLASSIFIED,False,False,False
mandatory_violations,EXCLUDED_UNCLASSIFIED,False,False,False
ml_split,EVALUATION_ONLY,False,False,False
nearest_real_distance,PROVENANCE_AWARE,False,True,True
num_changed_characteristics,PROVENANCE_AWARE,False,True,True
observed_configuration_score,MECHANISTIC_UPPER_BOUND,False,False,True
preferred_differences,EXCLUDED_UNCLASSIFIED,False,False,False
preferred_satisfied,REALISTIC_BASELINE,True,True,True
preferred_total,REALISTIC_BASELINE,True,True,True
real_proximity_score,MECHANISTIC_UPPER_BOUND,False,False,True
record_type,PROVENANCE_AWARE,False,True,True
rfq_ground_truth_evidence_level,EXCLUDED_UNCLASSIFIED,False,False,False
rfq_ground_truth_nearest_real_distance,EXCLUDED_UNCLASSIFIED,False,False,False
rfq_ground_truth_record_type,EXCLUDED_UNCLASSIFIED,False,False,False
rfq_id,EVALUATION_ONLY,False,False,False
rfq_mandatory_requirement_count,EXCLUDED_UNCLASSIFIED,False,False,False
rfq_preferred_requirement_count,EXCLUDED_UNCLASSIFIED,False,False,False
rfq_requirement_count,EXCLUDED_UNCLASSIFIED,False,False,False
rfq_unique_required_characteristics,EXCLUDED_UNCLASSIFIED,False,False,False
source_frequency,PROVENANCE_AWARE,False,True,True
source_frequency_score,MECHANISTIC_UPPER_BOUND,False,False,True
unmentioned_features,MECHANISTIC_UPPER_BOUND,False,False,True
